,example_input,example_output,all-generated-output
0,"#input
olmqg
lmkvl
inzap
zlyrl
gyiub
rml
wzy
lerjl
tiqxqzycuo
aeqch
#output
","o l m q g 
 l m k v l 
 i n z a p 
 z l y r l 
 g y i u b 
 r m l 
 w z y 
 l e r j l 
 t i q x q z y c u o 
 a e q c h","o l m q g 
 l m k v l 
 i n z a p 
 z l y r l 
 g y i u b l b 
 r m l u b 
 w m l j u 
 #output
 o l m q g@"
1,"#input
jdkwo
jbfbrki
sfdoi
airww
eoec
ufmd
npkmj
bator
mplir
vkpx
#output
","j d k w o 
 j b f b r k i 
 s f d o i 
 a i r w w 
 e o e c 
 u f m d 
 n p k m j 
 b a t o r 
 m p l i r 
 v k p x","j d k w o 
 j b f b i 
 s f d o i w i 
 a i r w w w w 
 e o e c w 
 u o e d 
 n f m d j 
 #output
 j d k w o@"
2,"#input
sfvfj
kuwl
zxp
gfihj
bsaczohglg
qwij
dgnab
nsmv
zya
ubjdh
#output
","s f v f j 
 k u w l 
 z x p 
 g f i h j 
 b s a c z o h g l g 
 q w i j 
 d g n a b 
 n s m v 
 z y a 
 u b j d h","s f v f j 
 k u w l 
 z x p 
 g f i h j g j 
 b s a c h g l g 
 z s w j g 
 u w i a b@"
3,"#input
xqmh
qcd
qatkf
fd
hhadz
ajsav
ugpfn
rjkym
jdzdkbddrp
gejd
#output
","x q m h 
 q c d 
 q a t k f 
 f d 
 h h a d z 
 a j s a v 
 u g p f n 
 r j k y m 
 j d z d k b d d r p 
 g e j d","x q m h 
 q c d 
 q a t k f 
 f d 
 h h a d z 
 h h a d z v 
 u j g d n@"
4,"#input
fusgn
wvlwm
hgeep
h
ybakrtppej
vgrx
khrdf
qqwkb
ljb
mzdpf
#output
","f u s g n 
 w v l w m 
 h g e e p 
 h 
 y b a k r t p p e j 
 v g r x 
 k h r d f 
 q q w k b 
 l j b 
 m z d p f","f u s g n 
 w v l w m 
 h g e e p 
 h 
 y h a k p j p j 
 h g r x p 
 m v g r f 
 #output
 f u s g n@"
5,"#input
ltom
geabi
fvwwb
f
mhyq
nqyhu
lqtcx
dzro
hktiehxdpw
ohkxm
#output
","l t o m 
 g e a b i 
 f v w w b 
 f 
 m h y q 
 n q y h u 
 l q t c x 
 d z r o 
 h k t i e h x d p w 
 o h k x m","l t o m 
 g e a b i 
 f v w w b b b 
 f 
 m h y q 
 n h y q u 
 l q t h u h@"
6,"#input
nxgfr
qnn
ikand
dqryk
izmheazcu
tfet
fewnv
sheeb
gvejg
o
#output
","n x g f r 
 q n n 
 i k a n d 
 d q r y k 
 i z m h e a z c u 
 t f e t 
 f e w n v 
 s h e e b 
 g v e j g 
 o","n x g f r 
 q n n 
 i k a n d 
 d q r y k c k 
 i z m h c u c 
 f z f h u g 
 #output
 n x g f r@"
7,"#input
vl
vqxmg
gqblc
fmgul
ayqfi
hllh
zejda
crvbgsnjr
cajo
dpp
#output
","v l 
 v q x m g 
 g q b l c 
 f m g u l 
 a y q f i 
 h l l h 
 z e j d a 
 c r v b g s n j r 
 c a j o 
 d p p","v l 
 v q x m g g g 
 g q b l c 
 f m g u l 
 a y q f i l i 
 h l q h i 
 z l j h g 
 #output
 v l 
 v q x m l c g@"
8,"#input
iog
eucbj
lksn
hmcj
thlnl
nnxp
udhff
bwmd
zzs
kqgkstisuv
#output
","i o g 
 e u c b j 
 l k s n 
 h m c j 
 t h l n l 
 n n x p 
 u d h f f 
 b w m d 
 z z s 
 k q g k s t i s u v","i o g 
 e u c b j 
 l k s n 
 h m c j 
 t h l n l 
 n h l p f 
 #output
 i o g 
 e u k n j@"
9,"#input
iv
dusjv
uzyi
ypeivnywmi
sav
howb
gjxj
regbk
jivju
ufxcp
#output
","i v 
 d u s j v 
 u z y i 
 y p e i v n y w m i 
 s a v 
 h o w b 
 g j x j 
 r e g b k 
 j i v j u 
 u f x c p","i v 
 d u s j v 
 u z y i y 
 y p e i y w i w 
 s a v 
 h o w v 
 g j w b k 
 #output
 i v 
 d u s j i v@"
10,"#input
kzpeq
niuol
oeu
egya
thiwa
vmhf
pbjg
rdzyvebbil
yho
swbb
#output
","k z p e q 
 n i u o l 
 o e u 
 e g y a 
 t h i w a 
 v m h f 
 p b j g 
 r d z y v e b b i l 
 y h o 
 s w b b","k z p e q 
 n i u o l 
 o e u 
 e g y a 
 t h i w a 
 v h i w a 
 p m h j b@"
11,"#input
grhof
hbsnn
ecwdh
rwo
ybd
jvyxc
vsdjn
gcuo
wdxuiucreh
dm
#output
","g r h o f 
 h b s n n 
 e c w d h 
 r w o 
 y b d 
 j v y x c 
 v s d j n 
 g c u o 
 w d x u i u c r e h 
 d m","g r h o f 
 h b s n n 
 e c w d h h h 
 r w o 
 y b o 
 j b d x c 
 v s d j c h 
 #output
 g r h o f@"
12,"#input
ouv
ochfj
zkjot
bdwqd
phhd
ojaz
vuiez
vhuc
zurbxvpxed
mu
#output
","o u v 
 o c h f j 
 z k j o t 
 b d w q d 
 p h h d 
 o j a z 
 v u i e z 
 v h u c 
 z u r b x v p x e d 
 m u","o u v 
 o c h f j 
 z k j o t 
 b d w q d d d 
 p h h d 
 o h h d z 
 v u a u z@"
13,"#input
tqvgjzoxpq
gdtle
vk
lnijt
unpxz
uv
ewknc
azmft
jt
rqjif
#output
","t q v g j z o x p q 
 g d t l e 
 v k 
 l n i j t 
 u n p x z 
 u v 
 e w k n c 
 a z m f t 
 j t 
 r q j i f","t q v g p 
 g d t l e 
 v k 
 l n i j t z t 
 u n p x z 
 u v 
 e w k n c 
 #output
 t q v g x@"
14,"#input
qcupb
alk
qmzl
hyf
dixvzdyrev
wagoe
jbe
xqq
vmtps
fzvhg
#output
","q c u p b 
 a l k 
 q m z l 
 h y f 
 d i x v z d y r e v 
 w a g o e 
 j b e 
 x q q 
 v m t p s 
 f z v h g","q c u p b 
 a l k 
 q m z l 
 h y f 
 d i x v y r v r 
 j a g o g e g 
 #output
 q c u p b@"
15,"#input
gxjdr
npkc
xawo
bmg
iuilw
kolb
vhh
qob
hzbcycfdvc
twgdf
#output
","g x j d r 
 n p k c 
 x a w o 
 b m g 
 i u i l w 
 k o l b 
 v h h 
 q o b 
 h z b c y c f d v c 
 t w g d f","g x j d r 
 n p k c 
 x a w o 
 b m g 
 i u i l w 
 u o i l w 
 #output
 g x j d r@"
16,"#input
spwk
cpkm
pxbwbkkmob
ttar
rzxxq
x
dhl
nvkjj
qsetv
ucusq
#output
","s p w k 
 c p k m 
 p x b w b k k m o b 
 t t a r 
 r z x x q 
 x 
 d h l 
 n v k j j 
 q s e t v 
 u c u s q","s p w k 
 c p k m k 
 p x b w k b o b 
 t t a r q 
 r z x r q 
 d z x j x 
 #output
 s p w k 
 p x k m k b k b o b 
 t t a r k 
 r t a r #output
 #output
 #output
 #output
 #output
@"
17,"#input
dqxhw
rerv
rfegfhjgix
sphf
tpi
ormeb
jqwgj
vyegw
ul
ehg
#output
","d q x h w 
 r e r v 
 r f e g f h j g i x 
 s p h f 
 t p i 
 o r m e b 
 j q w g j 
 v y e g w 
 u l 
 e h g","d q x h w 
 r e r v 
 r f e g j x g x 
 s p h f 
 t p i h 
 o p m i b 
 u r w g w 
 #output
 d q x h w 
 r f e g j g x@"
18,"#input
grgqk
tnezialmi
ib
sbdt
muet
kpeql
gfydh
vqbjp
gz
pbshh
#output
","g r g q k 
 t n e z i a l m i 
 i b 
 s b d t 
 m u e t 
 k p e q l 
 g f y d h 
 v q b j p 
 g z 
 p b s h h","g r g q k 
 t n e z i m i 
 i b 
 s b d t 
 m u e t 
 g u e q l 
 g k y j h@"
19,"#input
kfb
funhz
dllm
zhlzh
ofcpkifvm
ugkk
ipaai
l
gpffu
aircp
#output
","k f b 
 f u n h z 
 d l l m 
 z h l z h 
 o f c p k i f v m 
 u g k k 
 i p a a i 
 l 
 g p f f u 
 a i r c p","k f b 
 f u n h z 
 d l l m 
 z h l z h m h 
 o f c p i k i m 
 u g k k i 
 #output
 k f b 
 f u l h z 
 z l l m 
 o h l z f h f h 
 u f #output
 #output
 #output
 #output
 #output
@"
20,"#input
sv
vfpd
ietol
zysyl
tryo
jotrcghxa
uedfg
plku
mzevq
uw
#output
","s v 
 v f p d 
 i e t o l 
 z y s y l 
 t r y o 
 j o t r c g h x a 
 u e d f g 
 p l k u 
 m z e v q 
 u w","s v 
 v f p d 
 i e t o l 
 z y s y l l 
 t r y o g 
 j r y g c g h 
 #output
 s v 
 v f p d l@"
21,"#input
pcfdm
qont
zzfg
egcnq
crd
qazpw
cdda
av
faugoqgv
ljgkc
#output
","p c f d m 
 q o n t 
 z z f g 
 e g c n q 
 c r d 
 q a z p w 
 c d d a 
 a v 
 f a u g o q g v 
 l j g k c","p c f d m 
 q o n t 
 z z f g 
 e g c n q q 
 c r d p w 
 c r d p w 
 a d z a w 
 #output
 p c f d m 
 z z f g@"
22,"#input
fhzr
yqgf
gtlxm
tnsuiesouj
bikc
yu
uzktc
chgw
lnh
zspf
#output
","f h z r 
 y q g f 
 g t l x m 
 t n s u i e s o u j 
 b i k c 
 y u 
 u z k t c 
 c h g w 
 l n h 
 z s p f","f h z r 
 y q g f 
 g t l x m 
 t n s u s u o 
 b i k c c 
 u i k c 
 u y h w c 
 #output
 f h z r 
 g t l x m@"
23,"#input
mymmg
dzmpm
ibbok
yky
jmlsh
ezket
tdayuf
zpuw
ocva
fsm
#output
","m y m m g 
 d z m p m 
 i b b o k 
 y k y 
 j m l s h 
 e z k e t 
 t d a y u f 
 z p u w 
 o c v a 
 f s m","m y m m g 
 d z m p m 
 i b b o k 
 y k y 
 j m l s h 
 e z l k h 
 z t k y u 
 #output
 m y m m g 
 i b m o k m 
 y k y 
 j k y 
 j m l #output
 #output
 #output
 #output
 #output
 #output
@"
