,example_input,example_output,all-generated-output
0,"#input
y
t
r
q
j
r
n
#output
",y t r q j r n,y t r q j r n@
1,"#input
s
w
w
m
m
n
h
#output
",s w w m m n h,s w w m m n h@
2,"#input
m
m
t
i
m
d
n
#output
",m m t i m d n,m m t i m d n@
3,"#input
r
g
d
n
h
e
r
#output
",r g d n h e r,r g d n h e r@
4,"#input
s
z
a
o
b
v
e
#output
",s z a o b v e,s z a o b v e@
5,"#input
l
t
l
q
h
j
w
#output
",l t l q h j w,l t l q h j w@
6,"#input
l
d
p
q
u
o
g
#output
",l d p q u o g,l d p q u o g@
7,"#input
y
t
r
c
k
w
l
#output
",y t r c k w l,y t r c k w l@
8,"#input
i
s
q
y
c
a
#output
",i s q y c a,i s q y c a@
9,"#input
d
m
s
e
z
r
#output
",d m s e z r,d m s e z r@
10,"#input
m
o
d
h
u
v
#output
",m o d h u v,m o d h u v@
11,"#input
q
w
l
v
p
j
#output
",q w l v p j,q w l v p j@
12,"#input
c
w
d
u
s
n
#output
",c w d u s n,c w d u s n@
13,"#input
x
t
s
f
v
q
#output
",x t s f v q,x t s f v q@
14,"#input
f
v
w
s
b
x
#output
",f v w s b x,f v w s b x@
15,"#input
x
c
e
n
n
y
#output
",x c e n n y,x c e n n y@
16,"#input
w
y
m
j
k
p
#output
",w y m j k p,w y m j k p@
17,"#input
v
c
h
y
z
q
#output
",v c h y z q,v c h y z q@
18,"#input
j
p
q
h
w
n
#output
",j p q h w n,j p q h w n@
19,"#input
k
o
m
d
y
f
#output
",k o m d y f,k o m d y f@
20,"#input
z
w
a
u
b
p
#output
",z w a u b p,z w a u b p@
21,"#input
z
g
n
e
h
u
#output
",z g n e h u,z g n e h u@
22,"#input
x
d
m
d
z
e
#output
",x d m d z e,x d m d z e@
23,"#input
m
f
h
z
t
m
#output
",m f h z t m,m f h z t m@
24,"#input
o
g
t
l
h
u
#output
",o g t l h u,o g t l h u@
25,"#input
s
u
z
o
y
r
#output
",s u z o y r,s u z o y r@
26,"#input
e
y
i
f
e
t
#output
",e y i f e t,e y i f e t@
27,"#input
z
t
k
e
e
c
#output
",z t k e e c,z t k e e c@
28,"#input
t
k
h
b
s
a
#output
",t k h b s a,t k h b s a@
29,"#input
k
k
z
o
r
f
#output
",k k z o r f,k k z o r f@
30,"#input
b
b
j
p
o
o
#output
",b b j p o o,b b j p o o@
31,"#input
j
p
e
y
w
y
#output
",j p e y w y,j p e y w y@
32,"#input
l
a
y
g
u
m
#output
",l a y g u m,l a y g u m@
33,"#input
o
r
p
i
h
v
#output
",o r p i h v,o r p i h v@
34,"#input
c
u
e
r
h
g
#output
",c u e r h g,c u e r h g@
35,"#input
z
f
i
z
o
p
#output
",z f i z o p,z f i z o p@
36,"#input
x
u
y
b
a
d
#output
",x u y b a d,x u y b a d@
37,"#input
t
f
d
c
x
w
#output
",t f d c x w,t f d c x w@
38,"#input
y
o
j
m
v
j
#output
",y o j m v j,y o j m v j@
39,"#input
z
i
c
l
n
y
#output
",z i c l n y,z i c l n y@
40,"#input
z
u
g
z
t
p
#output
",z u g z t p,z u g z t p@
41,"#input
j
m
n
h
y
v
#output
",j m n h y v,j m n h y v@
42,"#input
d
o
a
c
a
w
#output
",d o a c a w,d o a c a w@
43,"#input
l
x
o
e
r
y
#output
",l x o e r y,l x o e r y@
44,"#input
j
q
m
m
z
v
#output
",j q m m z v,j q m m z v@
45,"#input
n
q
s
h
v
n
#output
",n q s h v n,n q s h v n@
46,"#input
y
e
p
s
b
m
#output
",y e p s b m,y e p s b m@
47,"#input
v
z
s
o
q
w
#output
",v z s o q w,v z s o q w@
48,"#input
u
y
n
d
p
i
#output
",u y n d p i,u y n d p i@
49,"#input
g
i
i
z
p
d
#output
",g i i z p d,g i i z p d@
50,"#input
a
u
m
l
p
w
#output
",a u m l p w,a u m l p w@
51,"#input
w
q
j
r
u
l
#output
",w q j r u l,w q j r u l@
52,"#input
b
d
m
g
m
n
#output
",b d m g m n,b d m g m n@
53,"#input
e
n
u
b
o
k
#output
",e n u b o k,e n u b o k@
54,"#input
y
j
r
l
x
f
#output
",y j r l x f,y j r l x f@
55,"#input
j
p
x
g
u
s
#output
",j p x g u s,j p x g u s@
56,"#input
z
j
j
e
z
c
#output
",z j j e z c,z j j e z c@
57,"#input
k
o
l
u
t
m
#output
",k o l u t m,k o l u t m@
58,"#input
u
w
c
z
n
o
#output
",u w c z n o,u w c z n o@
59,"#input
z
v
t
d
u
e
#output
",z v t d u e,z v t d u e@
60,"#input
w
y
o
c
h
e
#output
",w y o c h e,w y o c h e@
61,"#input
j
a
q
z
s
b
#output
",j a q z s b,j a q z s b@
62,"#input
b
y
k
y
v
v
#output
",b y k y v v,b y k y v v@
63,"#input
p
u
w
n
b
u
#output
",p u w n b u,p u w n b u@
64,"#input
e
q
e
b
m
y
#output
",e q e b m y,e q e b m y@
65,"#input
v
j
s
f
z
q
#output
",v j s f z q,v j s f z q@
66,"#input
n
h
l
u
c
g
#output
",n h l u c g,n h l u c g@
67,"#input
l
n
h
p
l
k
#output
",l n h p l k,l n h p l k@
68,"#input
d
h
d
g
u
p
#output
",d h d g u p,d h d g u p@
69,"#input
m
k
f
b
v
r
#output
",m k f b v r,m k f b v r@
70,"#input
b
b
v
e
v
h
#output
",b b v e v h,b b v e v h@
71,"#input
a
i
s
a
b
m
#output
",a i s a b m,a i s a b m@
72,"#input
y
m
b
m
a
p
#output
",y m b m a p,y m b m a p@
73,"#input
v
k
g
a
b
s
#output
",v k g a b s,v k g a b s@
74,"#input
k
c
d
q
n
w
#output
",k c d q n w,k c d q n w@
75,"#input
c
l
l
h
q
a
#output
",c l l h q a,c l l h q a@
76,"#input
w
g
q
w
i
e
#output
",w g q w i e,w g q w i e@
77,"#input
x
y
n
h
e
r
#output
",x y n h e r,x y n h e r@
78,"#input
n
r
j
z
v
t
#output
",n r j z v t,n r j z v t@
79,"#input
h
b
b
g
q
l
#output
",h b b g q l,h b b g q l@
80,"#input
l
c
w
a
i
g
#output
",l c w a i g,l c w a i g@
81,"#input
b
n
f
w
d
g
#output
",b n f w d g,b n f w d g@
82,"#input
x
p
u
n
e
h
#output
",x p u n e h,x p u n e h@
83,"#input
n
z
s
z
x
f
#output
",n z s z x f,n z s z x f@
84,"#input
x
d
a
h
z
m
#output
",x d a h z m,x d a h z m@
85,"#input
w
i
w
d
q
h
#output
",w i w d q h,w i w d q h@
86,"#input
w
x
q
b
n
u
#output
",w x q b n u,w x q b n u@
87,"#input
b
i
g
i
s
q
#output
",b i g i s q,b i g i s q@
88,"#input
f
y
u
w
d
k
#output
",f y u w d k,f y u w d k@
89,"#input
b
x
o
x
d
i
#output
",b x o x d i,b x o x d i@
90,"#input
j
j
r
q
b
e
#output
",j j r q b e,j j r q b e@
91,"#input
i
o
w
x
g
a
#output
",i o w x g a,i o w x g a@
92,"#input
z
l
r
s
z
e
#output
",z l r s z e,z l r s z e@
93,"#input
z
w
p
r
i
l
#output
",z w p r i l,z w p r i l@
94,"#input
b
n
q
f
h
o
#output
",b n q f h o,b n q f h o@
95,"#input
n
r
n
i
a
e
#output
",n r n i a e,n r n i a e@
96,"#input
l
z
s
y
o
u
#output
",l z s y o u,l z s y o u@
97,"#input
o
f
e
z
e
q
#output
",o f e z e q,o f e z e q@
98,"#input
h
l
k
e
m
a
#output
",h l k e m a,h l k e m a@
99,"#input
z
n
d
g
s
v
#output
",z n d g s v,z n d g s v@
100,"#input
r
s
n
f
n
t
#output
",r s n f n t,r s n f n t@
101,"#input
q
u
f
x
q
n
#output
",q u f x q n,q u f x q n@
102,"#input
u
d
z
p
i
j
#output
",u d z p i j,u d z p i j@
103,"#input
y
a
y
x
m
d
#output
",y a y x m d,y a y x m d@
104,"#input
e
z
g
j
q
s
#output
",e z g j q s,e z g j q s@
105,"#input
y
s
p
u
a
l
#output
",y s p u a l,y s p u a l@
106,"#input
j
f
w
f
h
b
#output
",j f w f h b,j f w f h b@
107,"#input
n
z
q
d
i
p
#output
",n z q d i p,n z q d i p@
108,"#input
r
w
o
t
q
o
#output
",r w o t q o,r w o t q o@
109,"#input
s
m
r
i
c
r
#output
",s m r i c r,s m r i c r@
110,"#input
j
b
y
o
s
n
#output
",j b y o s n,j b y o s n@
111,"#input
h
i
z
i
j
l
#output
",h i z i j l,h i z i j l@
112,"#input
o
u
k
q
q
j
#output
",o u k q q j,o u k q q j@
113,"#input
d
z
t
h
g
c
#output
",d z t h g c,d z t h g c@
114,"#input
v
l
s
o
d
s
#output
",v l s o d s,v l s o d s@
115,"#input
c
u
a
q
g
x
#output
",c u a q g x,c u a q g x@
116,"#input
k
i
y
m
v
w
#output
",k i y m v w,k i y m v w@
117,"#input
s
y
g
c
o
x
#output
",s y g c o x,s y g c o x@
118,"#input
b
d
c
u
p
v
#output
",b d c u p v,b d c u p v@
119,"#input
j
r
w
u
c
n
#output
",j r w u c n,j r w u c n@
120,"#input
m
z
v
x
q
p
#output
",m z v x q p,m z v x q p@
121,"#input
i
h
f
i
g
u
#output
",i h f i g u,i h f i g u@
122,"#input
o
r
m
a
e
v
#output
",o r m a e v,o r m a e v@
123,"#input
t
s
s
y
l
i
#output
",t s s y l i,t s s y l i@
124,"#input
i
e
e
x
w
k
#output
",i e e x w k,i e e x w k@
125,"#input
m
u
v
h
f
s
#output
",m u v h f s,m u v h f s@
126,"#input
h
y
u
p
k
z
#output
",h y u p k z,h y u p k z@
127,"#input
w
j
k
a
s
q
#output
",w j k a s q,w j k a s q@
128,"#input
u
s
y
r
i
h
#output
",u s y r i h,u s y r i h@
129,"#input
q
b
e
c
x
o
#output
",q b e c x o,q b e c x o@
130,"#input
e
v
n
c
o
r
#output
",e v n c o r,e v n c o r@
131,"#input
i
u
z
c
a
f
#output
",i u z c a f,i u z c a f@
132,"#input
g
n
u
s
b
e
#output
",g n u s b e,g n u s b e@
133,"#input
e
r
u
o
r
t
#output
",e r u o r t,e r u o r t@
134,"#input
b
z
h
m
s
q
#output
",b z h m s q,b z h m s q@
135,"#input
v
t
b
u
i
o
#output
",v t b u i o,v t b u i o@
136,"#input
w
c
n
h
y
q
#output
",w c n h y q,w c n h y q@
137,"#input
y
d
p
x
l
e
#output
",y d p x l e,y d p x l e@
138,"#input
w
a
h
t
q
v
#output
",w a h t q v,w a h t q v@
