,example_input,example_output,all-generated-output
0,"#input
olmqg
lmkvl
inzap
zlyrl
gyiub
rml
wzy
lerjl
tiqxqzycuo
aeqch
#output
","g q m l o 
 l v k m l 
 p a z n i 
 l r y l z 
 b u i y g 
 l m r 
 y z w 
 l j r e l 
 o u c y z q x q i t 
 h c q e a","a 
 h c q m o 
 l z z e 
 h y c q x 
 h c q e g@"
1,"#input
jdkwo
jbfbrki
sfdoi
airww
eoec
ufmd
npkmj
bator
mplir
vkpx
#output
","o w k d j 
 i k r b f b j 
 i o d f s 
 w w r i a 
 c e o e 
 d m f u 
 j m k p n 
 r o t a b 
 r i l p m 
 x p k v","o k d j 
 j m k b j 
 r o t a 
 r i l p m 
 x p k v@"
2,"#input
sfvfj
kuwl
zxp
gfihj
bsaczohglg
qwij
dgnab
nsmv
zya
ubjdh
#output
","j f v f s 
 l w u k 
 p x z 
 j h i f g 
 g l g h o z c a s b 
 j i w q 
 b a n g d 
 v m s n 
 a y z 
 h d j b u","j v w f s 
 l w u k 
 v m s g 
 a y z 
 h d j b u@"
3,"#input
xqmh
qcd
qatkf
fd
hhadz
ajsav
ugpfn
rjkym
jdzdkbddrp
gejd
#output
","h m q x 
 d c q 
 f k t a q 
 d f 
 z d a h h 
 v a s j a 
 n f p g u 
 m y k j r 
 p r d d b k d z d j 
 d j e g","n j p 
 m y k p q 
 d b z d j 
 p r d e h 
 d j e g@"
4,"#input
fusgn
wvlwm
hgeep
h
ybakrtppej
vgrx
khrdf
qqwkb
ljb
mzdpf
#output
","n g s u f 
 m w l v w 
 p e e g h 
 h 
 j e p p t r k a b y 
 x r g v 
 f d r h k 
 b k w q q 
 b j l 
 f p d z m","x j n 
 n d r z 
 b k w q h 
 b j l 
 f p d z m@"
5,"#input
ltom
geabi
fvwwb
f
mhyq
nqyhu
lqtcx
dzro
hktiehxdpw
ohkxm
#output
","m o t l 
 i b a e g 
 b w w v f 
 f 
 q y h m 
 u h y q n 
 x c t q l 
 o r z d 
 w p d x h e i t k h 
 m x k h o","x c 
 m t z d 
 i t k h f 
 w p d e n 
 m x k h m@"
6,"#input
nxgfr
qnn
ikand
dqryk
izmheazcu
tfet
fewnv
sheeb
gvejg
o
#output
","r f g x n 
 n n q 
 d n a k i 
 k y r q d 
 u c z a e h m z i 
 t e f t 
 v n w e f 
 b e e h s 
 g j e v g 
 o","r e w t 
 g n w e f 
 b e e h s 
 g j e v g 
 o@"
7,"#input
vl
vqxmg
gqblc
fmgul
ayqfi
hllh
zejda
crvbgsnjr
cajo
dpp
#output
","l v 
 g m x q v 
 c l b q g 
 l u g m f 
 i f q y a 
 h l l h 
 a d j e z 
 r j n s g b v r c 
 o j a c 
 p p d","l j 
 a 
 r j n i j 
 o j p m c 
 p m d 
 #output
 p 
 a 
 j i n p a 
 c m p j a@"
8,"#input
iog
eucbj
lksn
hmcj
thlnl
nnxp
udhff
bwmd
zzs
kqgkstisuv
#output
","g o i 
 j b c u e 
 n s k l 
 j c m h 
 l n l h t 
 p x n n 
 f f h d u 
 d m w b 
 s z z 
 v u s i t s k g q k","s f 
 d 
 g m w h 
 s u g s z 
 v u g k q@"
9,"#input
iv
dusjv
uzyi
ypeivnywmi
sav
howb
gjxj
regbk
jivju
ufxcp
#output
","v i 
 v j s u d 
 i y z u 
 i m w y n v i e p y 
 v a s 
 b w o h 
 j x j g 
 k b g e r 
 u j v i j 
 p c x f u","y j 
 v j s d 
 v e g e y 
 u j v i j 
 p c x f u@"
10,"#input
kzpeq
niuol
oeu
egya
thiwa
vmhf
pbjg
rdzyvebbil
yho
swbb
#output
","q e p z k 
 l o u i n 
 u e o 
 a y g e 
 a w i h t 
 f h m v 
 g j b p 
 l i b b e v y z d r 
 o h y 
 b b w s","q e p z k 
 q 
 l e p z n 
 o h y 
 b b w s@"
11,"#input
grhof
hbsnn
ecwdh
rwo
ybd
jvyxc
vsdjn
gcuo
wdxuiucreh
dm
#output
","f o h r g 
 n n s b h 
 h d w c e 
 o w r 
 d b y 
 c x y v j 
 n j d s v 
 o u c g 
 h e r c u i u x d w 
 m d","h c 
 f e h t 
 o u d g 
 h e d u x 
 m d@"
12,"#input
ouv
ochfj
zkjot
bdwqd
phhd
ojaz
vuiez
vhuc
zurbxvpxed
mu
#output
","v u o 
 j f h c o 
 t o j k z 
 d q w d b 
 d h h p 
 z a j o 
 z e i u v 
 c u h v 
 d e x p v x b r u z 
 u m","v j 
 z e 
 c u a g 
 d e z u o 
 j e u h@"
13,"#input
tqvgjzoxpq
gdtle
vk
lnijt
unpxz
uv
ewknc
azmft
jt
rqjif
#output
","q p x o z j g v q t 
 e l t d g 
 k v 
 t j i n l 
 z x p n u 
 v u 
 c n k w e 
 t f m z a 
 t j 
 f i j q r","z 
 z 
 q n k 
 f i j n u 
 z e 
 f i j q r@"
14,"#input
qcupb
alk
qmzl
hyf
dixvzdyrev
wagoe
jbe
xqq
vmtps
fzvhg
#output
","b p u c q 
 k l a 
 l z m q 
 f y h 
 v e r y d z v x i d 
 e o g a w 
 e b j 
 q q x 
 s p t m v 
 g h v z f","b j w 
 y b j 
 q q x 
 s p t m v 
 g h v z f@"
15,"#input
gxjdr
npkc
xawo
bmg
iuilw
kolb
vhh
qob
hzbcycfdvc
twgdf
#output
","r d j x g 
 c k p n 
 o w a x 
 g m b 
 w l i u i 
 b l o k 
 h h v 
 b o q 
 c v d f c y c b z h 
 f d g w t","r c v 
 d c j x n 
 c k k m x 
 c v d f k i@"
16,"#input
spwk
cpkm
pxbwbkkmob
ttar
rzxxq
x
dhl
nvkjj
qsetv
ucusq
#output
","k w p s 
 m k p c 
 b o m k k b w b x p 
 r a t t 
 q x x z r 
 x 
 l h d 
 j j k v n 
 v t e s q 
 q s u c u","w z 
 k p c 
 w b k x d 
 v t e s q 
 q s u c u@"
17,"#input
dqxhw
rerv
rfegfhjgix
sphf
tpi
ormeb
jqwgj
vyegw
ul
ehg
#output
","w h x q d 
 v r e r 
 x i g j h f g e f r 
 f h p s 
 i p t 
 b e m r o 
 j g w q j 
 w g e y v 
 l u 
 g h e","w x 
 w g m 
 w g e q j 
 x u 
 g e e@"
18,"#input
grgqk
tnezialmi
ib
sbdt
muet
kpeql
gfydh
vqbjp
gz
pbshh
#output
","k q g r g 
 i m l a i z e n t 
 b i 
 t d b s 
 t e u m 
 l q e p k 
 h d y f g 
 p j b q v 
 z g 
 h h s b p","k q y p 
 a d y q 
 p j b z 
 z g 
 h h s b p@"
19,"#input
kfb
funhz
dllm
zhlzh
ofcpkifvm
ugkk
ipaai
l
gpffu
aircp
#output
","b f k 
 z h n u f 
 m l l d 
 h z l h z 
 m v f i k p c f o 
 k k g u 
 i a a p i 
 l 
 u f f p g 
 p c r i a","k b g 
 i a a p i 
 l 
 u f f p g 
 p c r i a@"
