,example_input,example_output,all-generated-output
0,"#input
ofkzj
aotge
nkucz
gykymey
gxxsa
#output
","o f k z j 
 a o t g e 
 n k u c z 
 g y k y m e y 
 g x x s a","o f k z j 
 a o t g e 
 n k u c z 
 g y k y m e y 
 g x x s a@"
1,"#input
eeyyy
noyyw
wqepo
nqjf
jqkaemyk
#output
","e e y y y 
 n o y y w 
 w q e p o 
 n q j f 
 j q k a e m y k","e e y y y 
 n o y y w 
 w q e p o 
 n q j f 
 j q k a e m y k@"
2,"#input
oiqea
mymfd
pidzx
znynci
pvzag
#output
","o i q e a 
 m y m f d 
 p i d z x 
 z n y n c i 
 p v z a g","o i q e a 
 m y m f d 
 p i d z x 
 z n y n c i 
 p v z a g@"
3,"#input
mboxg
waxgs
gydpjl
ucoao
gwtl
#output
","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l@"
4,"#input
kns
rkeyt
cnduhie
mrzsz
cvywp
#output
","k n s 
 r k e y t 
 c n d u h i e 
 m r z s z 
 c v y w p","k n s 
 r k e y t 
 c n d u h i e 
 m r z s z 
 c v y w p@"
5,"#input
cwoj
juyy
aghcb
thvdh
qjoefze
#output
","c w o j 
 j u y y 
 a g h c b 
 t h v d h 
 q j o e f z e","c w o j 
 j u y y 
 a g h c b 
 t h v d h 
 q j o e f z e@"
6,"#input
cnjzp
wrbrnu
zgytv
xugdc
eifb
#output
","c n j z p 
 w r b r n u 
 z g y t v 
 x u g d c 
 e i f b","c n j z p 
 w r b r n u 
 z g y t v 
 x u g d c 
 e i f b@"
7,"#input
vdbr
jpmu
kygxthb
dvvex
ykjzv
#output
","v d b r 
 j p m u 
 k y g x t h b 
 d v v e x 
 y k j z v","v d b r 
 j p m u 
 k y g x t h b 
 d v v e x 
 y k j z v@"
8,"#input
wmwql
xeeeo
frda
nhxqabp
sdcx
#output
","w m w q l 
 x e e e o 
 f r d a 
 n h x q a b p 
 s d c x","w m w q l 
 x e e e o 
 f r d a 
 n h x q a b p 
 s d c x@"
9,"#input
rdpk
gojtd
ltbovq
lfezl
kiuxc
#output
","r d p k 
 g o j t d 
 l t b o v q 
 l f e z l 
 k i u x c","r d p k 
 g o j t d 
 l t b o v q 
 l f e z l 
 k i u x c@"
10,"#input
rbv
pffhr
qsnni
clpufeu
laxqu
#output
","r b v 
 p f f h r 
 q s n n i 
 c l p u f e u 
 l a x q u","r b v 
 p f f h r 
 q s n n i 
 c l p u f e u 
 l a x q u@"
11,"#input
plsym
cifbz
gzufjn
ppudn
gtjx
#output
","p l s y m 
 c i f b z 
 g z u f j n 
 p p u d n 
 g t j x","p l s y m 
 c i f b z 
 g z u f j n 
 p p u d n 
 g t j x@"
12,"#input
vlzla
uufu
kjhfw
agvax
rnngdd
#output
","v l z l a 
 u u f u 
 k j h f w 
 a g v a x 
 r n n g d d","v l z l a 
 u u f u 
 k j h f w 
 a g v a x 
 r n n g d d@"
13,"#input
kxtn
gfo
znfwo
ituso
akdxpnq
#output
","k x t n 
 g f o 
 z n f w o 
 i t u s o 
 a k d x p n q","k x t n 
 g f o 
 z n f w o 
 i t u s o 
 a k d x p n q@"
14,"#input
trqtd
ngv
iunwhs
ysyjt
ergzo
#output
","t r q t d 
 n g v 
 i u n w h s 
 y s y j t 
 e r g z o","t r q t d 
 n g v 
 i u n w h s 
 y s y j t 
 e r g z o@"
15,"#input
wmfru
wzfat
bjq
gvejwk
gjebg
#output
","w m f r u 
 w z f a t 
 b j q 
 g v e j w k 
 g j e b g","w m f r u 
 w z f a t 
 b j q 
 g v e j w k 
 g j e b g@"
16,"#input
pa
neror
ejloe
jsifdyv
gkruf
#output
","p a 
 n e r o r 
 e j l o e 
 j s i f d y v 
 g k r u f","p a 
 n e r o r 
 e j l o e 
 j s i f d y v 
 g k r u f@"
17,"#input
dmwse
rvsuh
qjovi
yuk
chnfra
#output
","d m w s e 
 r v s u h 
 q j o v i 
 y u k 
 c h n f r a","d m w s e 
 r v s u h 
 q j o v i 
 y u k 
 c h n f r a@"
18,"#input
lpamk
lu
nxtvm
ayjaynp
tatyz
#output
","l p a m k 
 l u 
 n x t v m 
 a y j a y n p 
 t a t y z","l p a m k 
 l u 
 n x t v m 
 a y j a y n p 
 t a t y z@"
19,"#input
frtoy
agdyv
pyw
lsad
pkmculk
#output
","f r t o y 
 a g d y v 
 p y w 
 l s a d 
 p k m c u l k","f r t o y 
 a g d y v 
 p y w 
 l s a d 
 p k m c u l k@"
