,example_input,example_output,all-generated-output
0,"#input
vjqfo
mzgs
hfnr
lkumd
kudip
ycmp
jntgr
rxa
xhfn
epahz
#output
","v j q f o 
 m z g s 
 h f n r 
 l k u m d 
 k u d i p 
 y c m p 
 j n t g r 
 r x a 
 x h f n 
 e p a h z","v j q f o 
 m z g s 
 h f n r 
 l k u m d 
 k u d i p 
 y c m g p@"
1,"#input
wigsc
eo
ihjtr
zcam
ozawm
vhf
fbbsd
hkbwg
zhffh
egkti
#output
","w i g s c 
 e o 
 i h j t r 
 z c a m 
 o z a w m 
 v h f 
 f b b s d 
 h k b w g 
 z h f f h 
 e g k t i","w i g s c 
 e o 
 i h j t r 
 z c a m 
 o z a w m 
 v z f b g@"
2,"#input
xih
gecbw
piye
sghuk
krdm
jygc
rgjxb
eapy
swuye
orwcx
#output
","x i h 
 g e c b w 
 p i y e 
 s g h u k 
 k r d m 
 j y g c 
 r g j x b 
 e a p y 
 s w u y e 
 o r w c x","x i h 
 g e c b w 
 p i y e 
 s g h u k 
 k r d m 
 j r g c b@"
3,"#input
sbluo
vxs
jrl
shud
hxsjb
mkzx
dfujf
uvovv
yyxg
gnnul
#output
","s b l u o 
 v x s 
 j r l 
 s h u d 
 h x s j b 
 m k z x 
 d f u j f 
 u v o v v 
 y y x g 
 g n n u l","s b l u o 
 v x s 
 j r l 
 s h u d 
 h x s j b 
 m x s x b@"
4,"#input
vbwao
edoag
unsu
jmcko
sboh
lxn
umlee
gqbgb
jud
hlti
#output
","v b w a o 
 e d o a g 
 u n s u 
 j m c k o 
 s b o h 
 l x n 
 u m l e e 
 g q b g b 
 j u d 
 h l t i","v b w a o 
 e d o a g 
 u n s u 
 j m c k o 
 s b o h 
 l x n e 
 l x n e b@"
5,"#input
ayi
l
eqvdj
gwwly
ntlmf
lruuz
itrqc
wocfg
qrgrj
mgws
#output
","a y i 
 l 
 e q v d j 
 g w w l y 
 n t l m f 
 l r u u z 
 i t r q c 
 w o c f g 
 q r g r j 
 m g w s","a y i 
 l 
 e q v d j 
 g w w l y 
 n t l m f 
 l r l u z@"
6,"#input
fnry
sgx
kgtds
uzaj
iknc
ewej
qsqo
qzkvy
nywfi
ibiek
#output
","f n r y 
 s g x 
 k g t d s 
 u z a j 
 i k n c 
 e w e j 
 q s q o 
 q z k v y 
 n y w f i 
 i b i e k","f n r y 
 s g x 
 k g t d s 
 u z a j 
 i k n c 
 e w n j 
 n #output
 f n r y 
 #output
 f 
 c 
 #output
 f 
 c 
 #output
 a 
 y 
 #output
 a 
 y 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
7,"#input
gjkxr
fccal
ashws
acu
jjcxe
hkzap
kows
pg
syvaq
sntu
#output
","g j k x r 
 f c c a l 
 a s h w s 
 a c u 
 j j c x e 
 h k z a p 
 k o w s 
 p g 
 s y v a q 
 s n t u","g j k x r 
 f c c a l 
 a s h w s 
 a c u 
 j j c x e 
 h k z x p 
 k #output
 g 
 v 
 #output
 g 
 a 
 #output
 g 
 a 
 #output
 a 
 a 
 #output
 a 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
8,"#input
ugucg
agopb
dn
dbid
rwdqt
ijoru
uipnb
ffgpy
wsspt
s
#output
","u g u c g 
 a g o p b 
 d n 
 d b i d 
 r w d q t 
 i j o r u 
 u i p n b 
 f f g p y 
 w s s p t 
 s","u g u c g 
 a g o p b 
 d n 
 d b i d 
 r w d q t 
 i j o r b@"
9,"#input
kyqds
iut
wo
wxavd
asibf
jman
pxak
hitcv
iuclg
hvwv
#output
","k y q d s 
 i u t 
 w o 
 w x a v d 
 a s i b f 
 j m a n 
 p x a k 
 h i t c v 
 i u c l g 
 h v w v","k y q d s 
 i u t 
 w o 
 w x a v d 
 a s i b f 
 j s i n f@"
10,"#input
uxnds
ikq
rvbdn
jcj
hrqmw
xxwkc
nfdub
imv
olpvo
zgv
#output
","u x n d s 
 i k q 
 r v b d n 
 j c j 
 h r q m w 
 x x w k c 
 n f d u b 
 i m v 
 o l p v o 
 z g v","u x n d s 
 i k q 
 r v b d n 
 j c j 
 h r q m w 
 x r x k b 
 x #output
 u x n d s 
 #output
 u 
 c 
 #output
 u 
 c 
 #output
 u 
 y 
 #output
 y 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
11,"#input
n
gbsc
pmpb
grcf
ylvne
htfvg
gfsj
tyep
ywrld
cbvwn
#output
","n 
 g b s c 
 p m p b 
 g r c f 
 y l v n e 
 h t f v g 
 g f s j 
 t y e p 
 y w r l d 
 c b v w n","n 
 g b s c 
 p m p b 
 g r c f 
 y l v n e 
 h t f v e 
 h t f n@"
12,"#input
yhpvt
ubsji
qtmrp
ykx
yzsf
wpux
xpus
sx
bhhb
cyvhc
#output
","y h p v t 
 u b s j i 
 q t m r p 
 y k x 
 y z s f 
 w p u x 
 x p u s 
 s x 
 b h h b 
 c y v h c","y h p v t 
 u b s j i 
 q t m r p 
 y k x 
 y z s f 
 w p u x@"
13,"#input
li
mif
zlztr
wlffb
gzljy
qlhq
myjms
fn
incxx
thfpw
#output
","l i 
 m i f 
 z l z t r 
 w l f f b 
 g z l j y 
 q l h q 
 m y j m s 
 f n 
 i n c x x 
 t h f p w","l i 
 m i f 
 z l z t r 
 w l f f b 
 g z l j y 
 q l h q y 
 m n l x@"
14,"#input
a
ip
konq
hsslz
awmz
xnaer
gdlcg
vophi
cgiea
aoyov
#output
","a 
 i p 
 k o n q 
 h s s l z 
 a w m z 
 x n a e r 
 g d l c g 
 v o p h i 
 c g i e a 
 a o y o v","a 
 i p 
 k o n q 
 h s s l z 
 a w m z 
 x n l e r 
 x n l e r@"
15,"#input
bupj
rbpsr
iuju
zxid
oirqd
fuqj
s
nkgkc
fsesf
jfej
#output
","b u p j 
 r b p s r 
 i u j u 
 z x i d 
 o i r q d 
 f u q j 
 s 
 n k g k c 
 f s e s f 
 j f e j","b u p j 
 r b p s r 
 i u j u 
 z x i d 
 o i r q d 
 f u q j@"
16,"#input
dunc
g
yig
yuyyb
ounuk
lbpb
srzuh
djsis
lbohv
qhqp
#output
","d u n c 
 g 
 y i g 
 y u y y b 
 o u n u k 
 l b p b 
 s r z u h 
 d j s i s 
 l b o h v 
 q h q p","d u n c 
 g 
 y i g 
 y u y y b 
 o u n u k 
 l b n b k 
 l b r b@"
17,"#input
lrzwq
ulhn
rj
oexmw
yblle
r
ewdm
ksjaz
jfniz
rmcrb
#output
","l r z w q 
 u l h n 
 r j 
 o e x m w 
 y b l l e 
 r 
 e w d m 
 k s j a z 
 j f n i z 
 r m c r b","l r z w q 
 u l h n 
 r j 
 o e x m w 
 y b l l e 
 r b l m e 
 r #output
 l r z w q 
 #output
 l 
 c 
 #output
 l 
 c 
 #output
 l 
 y 
 #output
 l 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
18,"#input
hwfw
hvv
ciha
spnsd
squgu
bav
qama
dpbb
mswzb
ydtk
#output
","h w f w 
 h v v 
 c i h a 
 s p n s d 
 s q u g u 
 b a v 
 q a m a 
 d p b b 
 m s w z b 
 y d t k","h w f w 
 h v v 
 c i h a 
 s p n s d 
 s q u g u 
 b q a g u@"
