,example_input,example_output,all-generated-output
0,"#input
nhvqb
zmiil
agsui
eokgm
kmvh
#output
","b q v h n 
 l i i m z 
 i u s g a 
 m g k o e 
 h v m k","b q v h n 
 l i i m z 
 i u s g a 
 m g k o e 
 h v m k@"
1,"#input
inkvl
mbmpd
lnjo
xkyto
gwhtj
#output
","l v k n i 
 d p m b m 
 o j n l 
 o t y k x 
 j t h w g","l v k n i 
 d p m b m 
 o j n l 
 o t y k x 
 j t h w g@"
2,"#input
lircl
zeqa
frysi
hccsr
blpxp
#output
","l c r i l 
 a q e z 
 i s y r f 
 r s c c h 
 p x p l b","l c r i l 
 a q e z 
 i s y r f 
 r s c c h 
 p x p l b@"
3,"#input
yxrcd
fjqcc
swgb
fbniy
tjhle
#output
","d c r x y 
 c c q j f 
 b g w s 
 y i n b f 
 e l h j t","d c r x y 
 c c q j f 
 b g w s 
 y i n b f 
 e l h j t@"
4,"#input
ttyv
euslf
fpxpu
dswd
htbfz
#output
","v y t t 
 f l s u e 
 u p x p f 
 d w s d 
 z f b t h","v y t t 
 f l s u e 
 u p x p f 
 d w s d 
 z f b t h@"
5,"#input
woasa
zuexc
pgnzp
mmtah
qcw
#output
","a s a o w 
 c x e u z 
 p z n g p 
 h a t m m 
 w c q","a s a o w 
 c x e u z 
 p z n g p 
 h a t m m 
 w c q@"
6,"#input
uihpp
lnarb
gkqz
gakh
ctllp
#output
","p p h i u 
 b r a n l 
 z q k g 
 h k a g 
 p l l t c","p p h i u 
 b r a n l 
 z q k g 
 h k a g 
 p l l t c@"
7,"#input
ihac
koya
apktk
hovdu
jslbz
#output
","c a h i 
 a y o k 
 k t k p a 
 u d v o h 
 z b l s j","c a h i 
 a y o k 
 k t k p a 
 u d v o h 
 z b l s j@"
8,"#input
uanzt
bchyw
sbfy
dlwbv
mpcu
#output
","t z n a u 
 w y h c b 
 y f b s 
 v b w l d 
 u c p m","t z n a u 
 w y h c b 
 y f b s 
 v b w l d 
 u c p m@"
9,"#input
lgliq
vobxm
bbd
kcxkg
msije
#output
","q i l g l 
 m x b o v 
 d b b 
 g k x c k 
 e j i s m","q i l g l 
 m x b o v 
 d b b 
 g k x c k 
 e j i s m@"
