,example_input,example_output,all-generated-output
0,"#input
cnjzp
wrbrnu
zgytv
xugdc
eifb
#output
","p z j n c 
 u n r b r w 
 v t y g z 
 c d g u x 
 b f i e","p z j n c 
 u n r b r w 
 v t y g z 
 c d g u x 
 b f i e@"
1,"#input
rdpk
gojtd
ltbovq
lfezl
kiuxc
#output
","k p d r 
 d t j o g 
 q v o b t l 
 l z e f l 
 c x u i k","k p d r 
 d t j o g 
 q v o b t l 
 l z e f l 
 c x u i k@"
2,"#input
plsym
cifbz
gzufjn
ppudn
gtjx
#output
","m y s l p 
 z b f i c 
 n j f u z g 
 n d u p p 
 x j t g","m y s l p 
 z b f i c 
 n j f u z g 
 n d u p p 
 x j t g@"
3,"#input
trqtd
ngv
iunwhs
ysyjt
ergzo
#output
","d t q r t 
 v g n 
 s h w n u i 
 t j y s y 
 o z g r e","d t q r t 
 v g n 
 s h w n u i 
 t j y s y 
 o z g r e@"
4,"#input
wmfru
wzfat
bjq
gvejwk
gjebg
#output
","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g@"
5,"#input
dmwse
rvsuh
qjovi
yuk
chnfra
#output
","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c@"
6,"#input
rpkx
qqvhy
ekpqgd
mbbma
yhif
#output
","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y@"
7,"#input
sh
vsbrmgm
vglls
hsfdd
ddzgp
#output
","h s 
 m g m r b s v 
 s l l g v 
 d d f s h 
 p g z d d","h s 
 m g m r b s v 
 s l l g v 
 d d f s h 
 p g z d d@"
8,"#input
uoqij
bvhp
csxvu
slkifd
fly
#output
","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f@"
9,"#input
xfjqd
vyfwvk
az
ntnfi
dpbri
#output
","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d@"
10,"#input
qd
aesnwr
dmbbp
hchji
yifrs
#output
","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y@"
11,"#input
xeqw
zxfs
waer
sglqd
cadbfc
#output
","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c@"
12,"#input
qpmt
ctxj
nzqcs
hyrmrt
xdsw
#output
","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x@"
13,"#input
hcye
mjim
mfisq
ovmvly
iuvw
#output
","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i@"
14,"#input
greo
sityy
fcogeg
llzxu
gmg
#output
","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g@"
15,"#input
ovie
spc
yvyqto
zgpze
zwvrn
#output
","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z@"
16,"#input
jxznt
yuk
cxji
xxro
iiyqed
#output
","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i@"
17,"#input
zcxe
motw
dwr
fquwsq
akqya
#output
","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a@"
18,"#input
sthp
mimuoj
sm
ffppi
pogyc
#output
","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p@"
19,"#input
sfycs
krgz
wo
acrblv
swyqp
#output
","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s@"
20,"#input
gskpz
vnbk
qyqiha
jtm
kkol
#output
","z p k s g 
 k b n v 
 a h i q y q 
 m t j 
 l o k k","z p k s g 
 k b n v 
 a h i q y q 
 m t j 
 l o k k@"
