,example_input,example_output,all-generated-output
0,"#input
kqpkp
bittp
ffo
iaiai
hoense
mkaaj
#output
","p k p q k 
 p t t i b 
 o f f 
 i a i a i 
 e s n e o h 
 j a a k m","p k p q k 
 p t t i b 
 o f f 
 i a i a i 
 e s n e o h 
 j a a k m@"
1,"#input
vrje
juulaq
kmmy
ddzry
nyvz
kwpz
#output
","e j r v 
 q a l u u j 
 y m m k 
 y r z d d 
 z v y n 
 z p w k","e j r v 
 q a l u u j 
 y m m k 
 y r z d d 
 z v y n 
 z p w k@"
2,"#input
tdxw
fbkwsl
ropgm
rddku
wjanw
vy
#output
","w x d t 
 l s w k b f 
 m g p o r 
 u k d d r 
 w n a j w 
 y v","w x d t 
 l s w k b f 
 m g p o r 
 u k d d r 
 w n a j w 
 y v@"
3,"#input
qhpyt
h
jlqrf
yeqiht
frwnp
xttmb
#output
","t y p h q 
 h 
 f r q l j 
 t h i q e y 
 p n w r f 
 b m t t x","t y p h q 
 h 
 f r q l j 
 t h i q e y 
 p n w r f 
 b m t t x@"
4,"#input
fgjz
gnzddi
kjcdm
rznr
zopvj
jk
#output
","z j g f 
 i d d z n g 
 m d c j k 
 r n z r 
 j v p o z 
 k j","z j g f 
 i d d z n g 
 m d c j k 
 r n z r 
 j v p o z 
 k j@"
5,"#input
bxf
kuisi
uubfur
piuk
zctfr
gtk
#output
","f x b 
 i s i u k 
 r u f b u u 
 k u i p 
 r f t c z 
 k t g","f x b 
 i s i u k 
 r u f b u u 
 k u i p 
 r f t c z 
 k t g@"
6,"#input
bujqv
b
abhgyp
pmk
ajffv
xtfvc
#output
","v q j u b 
 b 
 p y g h b a 
 k m p 
 v f f j a 
 c v f t x","v q j u b 
 b 
 p y g h b a 
 k m p 
 v f f j a 
 c v f t x@"
7,"#input
xvpx
qtgibs
ej
ows
tcnum
dxktz
#output
","x p v x 
 s b i g t q 
 j e 
 s w o 
 m u n c t 
 z t k x d","x p v x 
 s b i g t q 
 j e 
 s w o 
 m u n c t 
 z t k x d@"
8,"#input
ygwx
awltvu
hszwi
nlzc
zabi
pz
#output
","x w g y 
 u v t l w a 
 i w z s h 
 c z l n 
 i b a z 
 z p","x w g y 
 u v t l w a 
 i w z s h 
 c z l n 
 i b a z 
 z p@"
9,"#input
xchpt
xyix
rgxual
i
ebhpq
eyek
#output
","t p h c x 
 x i y x 
 l a u x g r 
 i 
 q p h b e 
 k e y e","t p h c x 
 x i y x 
 l a u x g r 
 i 
 q p h b e 
 k e y e@"
10,"#input
zkgeo
gx
gwnrihz
o
upcbf
mvpg
#output
","o e g k z 
 x g 
 z h i r n w g 
 o 
 f b c p u 
 g p v m","o e g k z 
 x g 
 z h i r n w g 
 o 
 f b c p u 
 g p v m@"
11,"#input
mpzt
khsbe
xpdnfws
x
kjgcb
ca
#output
","t z p m 
 e b s h k 
 s w f n d p x 
 x 
 b c g j k 
 a c","t z p m 
 e b s h k 
 s w f n d p x 
 x 
 b c g j k 
 a c@"
12,"#input
csfyb
cw
oi
ogpk
ohxxio
xigao
#output
","b y f s c 
 w c 
 i o 
 k p g o 
 o i x x h o 
 o a g i x","b y f s c 
 w c 
 i o 
 k p g o 
 o i x x h o 
 o a g i x@"
13,"#input
cyc
jvdin
wgfoy
vi
wehwtx
wrd
#output
","c y c 
 n i d v j 
 y o f g w 
 i v 
 x t w h e w 
 d r w","c y c 
 n i d v j 
 y o f g w 
 i v 
 x t w h e w 
 d r w@"
14,"#input
dtzg
pikans
ikrqa
hi
uika
jxh
#output
","g z t d 
 s n a k i p 
 a q r k i 
 i h 
 a k i u 
 h x j","g z t d 
 s n a k i p 
 a q r k i 
 i h 
 a k i u 
 h x j@"
15,"#input
w
lip
mktnd
htgyxo
xxdk
zfmf
#output
","w 
 p i l 
 d n t k m 
 o x y g t h 
 k d x x 
 f m f z","w 
 p i l 
 d n t k m 
 o x y g t h 
 k d x x 
 f m f z@"
16,"#input
b
zwsdc
tjmxi
e
paesny
swbih
#output
","b 
 c d s w z 
 i x m j t 
 e 
 y n s e a p 
 h i b w s","b 
 c d s w z 
 i x m j t 
 e 
 y n s e a p 
 h i b w s@"
17,"#input
bnos
bfbx
aglwfs
w
ptph
jrle
#output
","s o n b 
 x b f b 
 s f w l g a 
 w 
 h p t p 
 e l r j","s o n b 
 x b f b 
 s f w l g a 
 w 
 h p t p 
 e l r j@"
18,"#input
wlrd
oj
hdrl
rt
srtkwe
quusa
#output
","d r l w 
 j o 
 l r d h 
 t r 
 e w k t r s 
 a s u u q","d r l w 
 j o 
 l r d h 
 t r 
 e w k t r s 
 a s u u q@"
19,"#input
nkxb
yavbv
vdw
ielfnv
fdr
mi
#output
","b x k n 
 v b v a y 
 w d v 
 v n f l e i 
 r d f 
 i m","b x k n 
 v b v a y 
 w d v 
 v n f l e i 
 r d f 
 i m@"
20,"#input
nkjbp
myjdle
p
ozjqr
xoxn
vk
#output
","p b j k n 
 e l d j y m 
 p 
 r q j z o 
 n x o x 
 k v","p b j k n 
 e l d j y m 
 p 
 r q j z o 
 n x o x 
 k v@"
21,"#input
mhczh
o
ga
nzidxo
jplu
fnyp
#output
","h z c h m 
 o 
 a g 
 o x d i z n 
 u l p j 
 p y n f","h z c h m 
 o 
 a g 
 o x d i z n 
 u l p j 
 p y n f@"
22,"#input
eimln
qgciax
t
kn
nxrqo
lnz
#output
","n l m i e 
 x a i c g q 
 t 
 n k 
 o q r x n 
 z n l","n l m i e 
 x a i c g q 
 t 
 n k 
 o q r x n 
 z n l@"
23,"#input
hbc
ctxkqc
f
livc
rpapv
oqf
#output
","c b h 
 c q k x t c 
 f 
 c v i l 
 v p a p r 
 f q o","c b h 
 c q k x t c 
 f 
 c v i l 
 v p a p r 
 f q o@"
24,"#input
qm
zcoc
fb
gypef
weabsp
wpl
#output
","m q 
 c o c z 
 b f 
 f e p y g 
 p s b a e w 
 l p w","m q 
 c o c z 
 b f 
 f e p y g 
 p s b a e w 
 l p w@"
25,"#input
si
cksyw
pcsw
j
tbzxwx
vrpb
#output
","i s 
 w y s k c 
 w s c p 
 j 
 x w x z b t 
 b p r v","i s 
 w y s k c 
 w s c p 
 j 
 x w x z b t 
 b p r v@"
26,"#input
q
tlb
fhdmf
xt
wuufua
rzdlm
#output
","q 
 b l t 
 f m d h f 
 t x 
 a u f u u w 
 m l d z r","q 
 b l t 
 f m d h f 
 t x 
 a u f u u w 
 m l d z r@"
27,"#input
gszx
wyio
edioxc
guv
hlsu
b
#output
","x z s g 
 o i y w 
 c x o i d e 
 v u g 
 u s l h 
 b","x z s g 
 o i y w 
 c x o i d e 
 v u g 
 u s l h 
 b@"
28,"#input
vb
vackjb
fatw
a
czjdt
tfeh
#output
","b v 
 b j k c a v 
 w t a f 
 a 
 t d j z c 
 h e f t","b v 
 b j k c a v 
 w t a f 
 a 
 t d j z c 
 h e f t@"
