,example_input,example_output,all-generated-output
0,"#input
qoiswv
urebbk
dwjccw
rxusvn
#output
","v w s i o q 
 k b b e r u 
 w c c j w d 
 n v s u x r","v w s i o q 
 k b b e r u 
 w c c j w d 
 n v s u x r@"
1,"#input
cuscbq
qhiusl
eywkyr
#output
","q b c s u c 
 l s u i h q 
 r y k w y e","q b c s u c 
 l s u i h q 
 r y k w y e@"
2,"#input
wdmuwz
saszbf
wondjg
#output
","z w u m d w 
 f b z s a s 
 g j d n o w","z w u m d w 
 f b z s a s 
 g j d n o w@"
3,"#input
zrdwni
hxfkge
zdeutt
#output
","i n w d r z 
 e g k f x h 
 t t u e d z","i n w d r z 
 e g k f x h 
 t t u e d z@"
4,"#input
drjvvp
bsuxen
yiqyut
#output
","p v v j r d 
 n e x u s b 
 t u y q i y","p v v j r d 
 n e x u s b 
 t u y q i y@"
5,"#input
zpycna
pwdtvm
qkokms
#output
","a n c y p z 
 m v t d w p 
 s m k o k q","a n c y p z 
 m v t d w p 
 s m k o k q@"
6,"#input
vywcoc
mkhvui
#output
","c o c w y v 
 i u v h k m","c o c w y v 
 i u v h k m@"
7,"#input
yhmwey
sniunz
#output
","y e w m h y 
 z n u i n s","y e w m h y 
 z n u i n s@"
8,"#input
xbgypw
zapqei
#output
","w p y g b x 
 i e q p a z","w p y g b x 
 i e q p a z@"
9,"#input
fgxhyg
vjifsd
#output
","g y h x g f 
 d s f i j v","g y h x g f 
 d s f i j v@"
10,"#input
kbsfgd
ukhffk
#output
","d g f s b k 
 k f f h k u","d g f s b k 
 k f f h k u@"
11,"#input
saurzk
lliuzc
#output
","k z r u a s 
 c z u i l l","k z r u a s 
 c z u i l l@"
12,"#input
pskppf
bsjwvg
#output
","f p p k s p 
 g v w j s b","f p p k s p 
 g v w j s b@"
13,"#input
kotajk
ekxvzx
#output
","k j a t o k 
 x z v x k e","k j a t o k 
 x z v x k e@"
14,"#input
kemkyk
ifdoxl
#output
","k y k m e k 
 l x o d f i","k y k m e k 
 l x o d f i@"
15,"#input
szdvtg
qcrfaq
#output
","g t v d z s 
 q a f r c q","g t v d z s 
 q a f r c q@"
16,"#input
cbdyov
fhwlzx
#output
","v o y d b c 
 x z l w h f","v o y d b c 
 x z l w h f@"
17,"#input
bccwgd
kiqtyg
#output
","d g w c c b 
 g y t q i k","d g w c c b 
 g y t q i k@"
18,"#input
utxlpd
nwclvj
#output
","d p l x t u 
 j v l c w n","d p l x t u 
 j v l c w n@"
19,"#input
zoesmf
yrigom
#output
","f m s e o z 
 m o g i r y","f m s e o z 
 m o g i r y@"
20,"#input
bmjcnd
nrsohh
#output
","d n c j m b 
 h h o s r n","d n c j m b 
 h h o s r n@"
21,"#input
xmstwj
rtvdnu
#output
","j w t s m x 
 u n d v t r","j w t s m x 
 u n d v t r@"
22,"#input
wfrutg
hedyrv
#output
","g t u r f w 
 v r y d e h","g t u r f w 
 v r y d e h@"
23,"#input
vmrlcj
hpmzpo
#output
","j c l r m v 
 o p z m p h","j c l r m v 
 o p z m p h@"
24,"#input
tbzpmw
usgtiw
#output
","w m p z b t 
 w i t g s u","w m p z b t 
 w i t g s u@"
25,"#input
ngcuvq
yrmwhi
#output
","q v u c g n 
 i h w m r y","q v u c g n 
 i h w m r y@"
26,"#input
wkrhiv
oekyys
#output
","v i h r k w 
 s y y k e o","v i h r k w 
 s y y k e o@"
27,"#input
temrdn
oxpmsw
#output
","n d r m e t 
 w s m p x o","n d r m e t 
 w s m p x o@"
28,"#input
tdpfds
vwafhy
#output
","s d f p d t 
 y h f a w v","s d f p d t 
 y h f a w v@"
29,"#input
rcpqkt
udmhgj
#output
","t k q p c r 
 j g h m d u","t k q p c r 
 j g h m d u@"
30,"#input
yzokow
jvrytu
#output
","w o k o z y 
 u t y r v j","w o k o z y 
 u t y r v j@"
