,example_input,example_output,all-generated-output
0,"#input
qvrvnbbfw
bjylzna
gtjqqrp
qlpixbw
ppkxsxiduc
wzinfpc
kxmqatxjx
#output
","w f b b n v r v q 
 a n z l y j b 
 p r q q j t g 
 w b x i p l q 
 c u d i x s x k p p 
 c p f n i z w 
 x j x t a q m x k","x t w c 
 c p 
 c p i n z 
 z 
 x q 
 #output
 x j x y j b 
 n z@"
1,"#input
itlwksdxhr
ybkkqhdp
mjwmeap
dxluya
nhuecv
pzdolloiyt
nsiyknrpk
#output
","r h x d s k w l t i 
 p d h q k k b y 
 p a e m w j m 
 a y u l x d 
 v c e u h n 
 t y i o l l o d z p 
 k p r n k y i s n","r p y l u 
 k p 
 t 
 y p 
 k p r y i@"
2,"#input
zfdtog
ewsukaslf
cnlcrkgvyp
hbrmhf
yfspuud
kroxymoln
ctcopkpkh
#output
","g o t d f z 
 f l s a k u s w e 
 p y v g k r c l n c 
 f h m r b h 
 d u u p s f y 
 n l o m y x o r k 
 h k p k p o c t c","p k t z 
 o p 
 o l d e o 
 p c w t c@"
3,"#input
lttupy
rypjgbf
syfxga
rurojzr
ykifnuj
rbxgmmb
bxcscfx
jycmlrvr
#output
","y p u t t l 
 f b g j p y r 
 a g x f y s 
 r z j o r u r 
 j u n f i k y 
 b m m g x b r 
 x f c s c x b 
 r v r l m c y j","r z 
 p m c j y 
 x f j t y 
 z 
 r m l t 
 #output
 z 
 y j t t 
 y 
 t@"
4,"#input
cdilgiss
fpzgjbkm
rnclkdrgau
mxnotf
karaszr
bgunasqblc
wurasmz
#output
","s s i g l i d c 
 m k b j g z p f 
 u a g r d k l c n r 
 f t o n x m 
 r z s a r a k 
 c l b q s a n u g b 
 z m s a r u w","s 
 z a 
 g 
 a l s a@"
5,"#input
ycfotwt
eiuaaiwlnc
sldrxq
fsvysasrd
csvzhjl
rchkxie
lwvbxdommk
#output
","t w t o f c y 
 c n l w i a a u i e 
 q x r d l s 
 d r s a s y v s f 
 l j h z v s c 
 e i x k h c r 
 k m m o d x b v w l","m o t c y 
 t 
 x i d k@"
6,"#input
hsjnbnzt
svfqsz
pyccrx
guisqhtg
ewaozuoxd
pcqieilbo
ihhlsndozr
#output
","t z n b n j s h 
 z s q f v s 
 x r c c y p 
 g t h q s i u g 
 d x o u z o a w e 
 o b l i e i q c p 
 r z o d n s l h h i","o z o z j 
 i 
 l e i q s 
 z n o l h@"
7,"#input
istmpbhnul
kqufqoeg
expbmki
ppelrphvu
nukaqucd
tcqiza
vpyvdfdu
#output
","l u n h b p m t s i 
 g e o q f u q k 
 i k m b p x e 
 u v h p r l e p p 
 d c u q a k u n 
 a z i q c t 
 u d f d v y p v","f p 
 d f 
 p 
 a z i a@"
8,"#input
akoyoedtt
yaivfyffls
agcjbq
chehqhq
hbhtyn
faejbrem
luoycodlbf
#output
","t t d e o y o k a 
 s l f f y f v i a y 
 q b j c g a 
 q h q h e h c 
 n y t h b h 
 m e r b j e a f 
 f b l d o c y o u l","l d e 
 f w 
 e w 
 o e 
 f t l e l@"
9,"#input
enqvpyoy
oqznxssfzs
tcrkqmskae
ythsgn
mszxzkks
xektzvxx
nxanef
#output
","y o y p v q n e 
 s z f s s x n z q o 
 e a k s m q k r c t 
 n g s h t y 
 s k k z x z s m 
 x x v z t k e x 
 f e n a x n","y 
 y z 
 p c 
 z t n a x 
 z e x a e@"
