,example_input,example_output,all-generated-output
0,"#input
kbsfgd
ukhffk
#output
","d g f s b k 
 k f f h k u","d g f s b k 
 k f f h k u@"
1,"#input
cqtirv
vserpb
#output
","v r i t q c 
 b p r e s v","v r i t q c 
 b p r e s v@"
2,"#input
kzjowm
eakzqj
#output
","m w o j z k 
 j q z k a e","m w o j z k 
 j q z k a e@"
3,"#input
vmrlcj
hpmzpo
#output
","j c l r m v 
 o p z m p h","j c l r m v 
 o p z m p h@"
4,"#input
awewwd
biuwar
#output
","d w w e w a 
 r a w u i b","d w w e w a 
 r a w u i b@"
5,"#input
wkrhiv
oekyys
#output
","v i h r k w 
 s y y k e o","v i h r k w 
 s y y k e o@"
6,"#input
jecytu
uwowoi
#output
","u t y c e j 
 i o w o w u","u t y c e j 
 i o w o w u@"
7,"#input
yzokow
jvrytu
#output
","w o k o z y 
 u t y r v j","w o k o z y 
 u t y r v j@"
8,"#input
caowrn
tawmmt
#output
","n r w o a c 
 t m m w a t","n r w o a c 
 t m m w a t@"
9,"#input
gdtvmw
agoylo
#output
","w m v t d g 
 o l y o g a","w m v t d g 
 o l y o g a@"
10,"#input
eaezoh
lsmkce
#output
","h o z e a e 
 e c k m s l","h o z e a e 
 e c k m s l@"
11,"#input
rwpssn
yxemcv
#output
","n s s p w r 
 v c m e x y","n s s p w r 
 v c m e x y@"
12,"#input
xkmdhd
hdnipx
#output
","d h d m k x 
 x p i n d h","d h d m k x 
 x p i n d h@"
13,"#input
scgfcr
urahgt
#output
","r c f g c s 
 t g h a r u","r c f g c s 
 t g h a r u@"
14,"#input
kjmlau
ycvkpt
#output
","u a l m j k 
 t p k v c y","u a l m j k 
 t p k v c y@"
15,"#input
siixdy
ecduns
#output
","y d x i i s 
 s n u d c e","y d x i i s 
 s n u d c e@"
16,"#input
vmgyev
spedlw
#output
","v e y g m v 
 w l d e p s","v e y g m v 
 w l d e p s@"
17,"#input
tvjkvr
hbkcpb
#output
","r v k j v t 
 b p c k b h","r v k j v t 
 b p c k b h@"
18,"#input
qdrmcs
dcfana
#output
","s c m r d q 
 a n a f c d","s c m r d q 
 a n a f c d@"
19,"#input
icjmfv
bnakqt
#output
","v f m j c i 
 t q k a n b","v f m j c i 
 t q k a n b@"
20,"#input
xzoquw
bafqhn
#output
","w u q o z x 
 n h q f a b","w u q o z x 
 n h q f a b@"
21,"#input
wxpgsx
grzvav
#output
","x s g p x w 
 v a v z r g","x s g p x w 
 v a v z r g@"
22,"#input
qlmsca
afsllw
#output
","a c s m l q 
 w l l s f a","a c s m l q 
 w l l s f a@"
