,example_input,example_output,all-generated-output
0,"#input
vywcoc
mkhvui
#output
","c o c w y v 
 i u v h k m","c o c w y v 
 i u v h k m@"
1,"#input
fgxhyg
vjifsd
#output
","g y h x g f 
 d s f i j v","g y h x g f 
 d s f i j v@"
2,"#input
kbsfgd
ukhffk
#output
","d g f s b k 
 k f f h k u","d g f s b k 
 k f f h k u@"
3,"#input
kotajk
ekxvzx
#output
","k j a t o k 
 x z v x k e","k j a t o k 
 x z v x k e@"
4,"#input
szdvtg
qcrfaq
#output
","g t v d z s 
 q a f r c q","g t v d z s 
 q a f r c q@"
5,"#input
cqtirv
vserpb
#output
","v r i t q c 
 b p r e s v","v r i t q c 
 b p r e s v@"
6,"#input
utxlpd
nwclvj
#output
","d p l x t u 
 j v l c w n","d p l x t u 
 j v l c w n@"
7,"#input
kzjowm
eakzqj
#output
","m w o j z k 
 j q z k a e","m w o j z k 
 j q z k a e@"
8,"#input
pqocgd
lxxwie
#output
","d g c o q p 
 e i w x x l","d g c o q p 
 e i w x x l@"
9,"#input
vmrlcj
hpmzpo
#output
","j c l r m v 
 o p z m p h","j c l r m v 
 o p z m p h@"
10,"#input
vzzeck
xvcqyj
#output
","k c e z z v 
 j y q c v x","k c e z z v 
 j y q c v x@"
11,"#input
kpxmas
lcncfl
#output
","s a m x p k 
 l f c n c l","s a m x p k 
 l f c n c l@"
12,"#input
kcyvdf
zokxpq
#output
","f d v y c k 
 q p x k o z","f d v y c k 
 q p x k o z@"
13,"#input
fggxpm
jrxytt
#output
","m p x g g f 
 t t y x r j","m p x g g f 
 t t y x r j@"
14,"#input
rmnfqm
qkwzfk
#output
","m q f n m r 
 k f z w k q","m q f n m r 
 k f z w k q@"
15,"#input
momefi
lzywzz
#output
","i f e m o m 
 z z w y z l","i f e m o m 
 z z w y z l@"
16,"#input
nvbwta
bglbxg
#output
","a t w b v n 
 g x b l g b","a t w b v n 
 g x b l g b@"
17,"#input
qdrmcs
dcfana
#output
","s c m r d q 
 a n a f c d","s c m r d q 
 a n a f c d@"
18,"#input
jvhgei
mbgofx
#output
","i e g h v j 
 x f o g b m","i e g h v j 
 x f o g b m@"
19,"#input
tsvhnn
siiqtt
#output
","n n h v s t 
 t t q i i s","n n h v s t 
 t t q i i s@"
20,"#input
xdqmfz
ihrfti
#output
","z f m q d x 
 i t f r h i","z f m q d x 
 i t f r h i@"
21,"#input
fyemeh
beqwph
#output
","h e m e y f 
 h p w q e b","h e m e y f 
 h p w q e b@"
22,"#input
aeuahq
aioyed
#output
","q h a u e a 
 d e y o i a","q h a u e a 
 d e y o i a@"
