,example_input,example_output,all-generated-output
0,"#input
afczpb
rbwbwfeh
vvokuqw
nmdttjba
linoke
#output
","a f c z p b 
 r b w b w f e h 
 v v o k u q w 
 n m d t t j b a 
 l i n o k e","a f c z p b 
 r b w b w f e h 
 v v o k u q w 
 n m d t t j b a 
 l i n o k e@"
1,"#input
roltkcb
tmkdqh
wziaawjz
bhzskhyypc
#output
","r o l t k c b 
 t m k d q h 
 w z i a a w j z 
 b h z s k h y y p c","r o l t k c b 
 t m k d q h 
 w z i a a w j z 
 b h z s k h y y p c@"
2,"#input
kvgrtnox
zponqs
oujbravqq
xxjxkif
#output
","k v g r t n o x 
 z p o n q s 
 o u j b r a v q q 
 x x j x k i f","k v g r t n o x 
 z p o n q s 
 o u j b r a v q q 
 x x j x k i f@"
3,"#input
ldcqdfxn
pkclqh
ovvhwez
esbdbqgaw
#output
","l d c q d f x n 
 p k c l q h 
 o v v h w e z 
 e s b d b q g a w","l d c q d f x n 
 p k c l q h 
 o v v h w e z 
 e s b d b q g a w@"
4,"#input
xxvqpoie
qaemybt
nkicyrk
cmbewcy
#output
","x x v q p o i e 
 q a e m y b t 
 n k i c y r k 
 c m b e w c y","x x v q p o i e 
 q a e m y b t 
 n k i c y r k 
 c m b e w c y@"
5,"#input
jqkzioe
decfpm
zhcwct
qwmyoxckzh
#output
","j q k z i o e 
 d e c f p m 
 z h c w c t 
 q w m y o x c k z h","j q k z i o e 
 d e c f p m 
 z h c w c t 
 q w m y o x c k z h@"
6,"#input
aqplnfk
zlpsnge
btmdsbmh
cklrhpx
#output
","a q p l n f k 
 z l p s n g e 
 b t m d s b m h 
 c k l r h p x","a q p l n f k 
 z l p s n g e 
 b t m d s b m h 
 c k l r h p x@"
7,"#input
uhkxiuin
owyxur
tzelzq
xtukumzqp
#output
","u h k x i u i n 
 o w y x u r 
 t z e l z q 
 x t u k u m z q p","u h k x i u i n 
 o w y x u r 
 t z e l z q 
 x t u k u m z q p@"
8,"#input
ghliggq
cbajsn
hjwwda
njxyuddig
#output
","g h l i g g q 
 c b a j s n 
 h j w w d a 
 n j x y u d d i g","g h l i g g q 
 c b a j s n 
 h j w w d a 
 n j x y u d d i g@"
9,"#input
frapqdt
ofbtcd
loxdudh
ogwlzdeg
#output
","f r a p q d t 
 o f b t c d 
 l o x d u d h 
 o g w l z d e g","f r a p q d t 
 o f b t c d 
 l o x d u d h 
 o g w l z d e g@"
10,"#input
vlqthgnp
vczgvmw
petssim
fduvep
#output
","v l q t h g n p 
 v c z g v m w 
 p e t s s i m 
 f d u v e p","v l q t h g n p 
 v c z g v m w 
 p e t s s i m 
 f d u v e p@"
11,"#input
rrsebsh
bavhbb
eswboil
dncejpyh
#output
","r r s e b s h 
 b a v h b b 
 e s w b o i l 
 d n c e j p y h","r r s e b s h 
 b a v h b b 
 e s w b o i l 
 d n c e j p y h@"
12,"#input
ctrmjwi
iioduk
xzqdcwchh
hzjdge
#output
","c t r m j w i 
 i i o d u k 
 x z q d c w c h h 
 h z j d g e","c t r m j w i 
 i i o d u k 
 x z q d c w c h h 
 h z j d g e@"
13,"#input
rrjhzex
eehntd
rgtygsf
szrdrahp
#output
","r r j h z e x 
 e e h n t d 
 r g t y g s f 
 s z r d r a h p","r r j h z e x 
 e e h n t d 
 r g t y g s f 
 s z r d r a h p@"
14,"#input
suygxdcfm
uhjdqf
xdrzri
ozgtxwq
#output
","s u y g x d c f m 
 u h j d q f 
 x d r z r i 
 o z g t x w q","s u y g x d c f m 
 u h j d q f 
 x d r z r i 
 o z g t x w q@"
