,example_input,example_output,all-generated-output
0,"#input
rindz
vitrs
ev
cblwl
eafbot
ldfi
lrf
#output
","z d n i r 
 s r t i v 
 v e 
 l w l b c 
 t o b f a e 
 i f d l 
 f r l","z d n i r 
 s r t i v 
 v e 
 l w l b c 
 t o b f a e 
 i f d l 
 f r l@"
1,"#input
mapod
sbrhu
nljv
sndbg
vssntpy
ebldu
#output
","d o p a m 
 u h r b s 
 v j l n 
 g b d n s 
 y p t n s s v 
 u d l b e","d o p a m 
 u h r b s 
 v j l n 
 g b d n s 
 y p t n s s v 
 u d l b e@"
2,"#input
ddvwy
fhbjqd
nayvj
sxsuj
qogli
uxoax
#output
","y w v d d 
 d q j b h f 
 j v y a n 
 j u s x s 
 i l g o q 
 x a o x u","y w v d d 
 d q j b h f 
 j v y a n 
 j u s x s 
 i l g o q 
 x a o x u@"
3,"#input
kqpkp
bittp
ffo
iaiai
hoense
mkaaj
#output
","p k p q k 
 p t t i b 
 o f f 
 i a i a i 
 e s n e o h 
 j a a k m","p k p q k 
 p t t i b 
 o f f 
 i a i a i 
 e s n e o h 
 j a a k m@"
4,"#input
cijyy
mjff
kvri
qsdhs
qdejxc
ytvd
#output
","y y j i c 
 f f j m 
 i r v k 
 s h d s q 
 c x j e d q 
 d v t y","y y j i c 
 f f j m 
 i r v k 
 s h d s q 
 c x j e d q 
 d v t y@"
5,"#input
yhxi
cuvnt
ihef
hfrh
dojga
vkghvi
#output
","i x h y 
 t n v u c 
 f e h i 
 h r f h 
 a g j o d 
 i v h g k v","i x h y 
 t n v u c 
 f e h i 
 h r f h 
 a g j o d 
 i v h g k v@"
6,"#input
f
mcv
bwtl
hw
iiran
orqhxap
oqaph
#output
","f 
 v c m 
 l t w b 
 w h 
 n a r i i 
 p a x h q r o 
 h p a q o","f 
 v c m 
 l t w b 
 w h 
 n a r i i 
 p a x h q r o 
 h p a q o@"
7,"#input
jkrn
xikwc
kpuzd
uquxwo
ngg
yt
yw
#output
","n r k j 
 c w k i x 
 d z u p k 
 o w x u q u 
 g g n 
 t y 
 w y","n r k j 
 c w k i x 
 d z u p k 
 o w x u q u 
 g g n 
 t y 
 w y@"
8,"#input
vrje
juulaq
kmmy
ddzry
nyvz
kwpz
#output
","e j r v 
 q a l u u j 
 y m m k 
 y r z d d 
 z v y n 
 z p w k","e j r v 
 q a l u u j 
 y m m k 
 y r z d d 
 z v y n 
 z p w k@"
9,"#input
waebw
cagn
nptll
bxlwyu
xae
rdzp
#output
","w b e a w 
 n g a c 
 l l t p n 
 u y w l x b 
 e a x 
 p z d r","w b e a w 
 n g a c 
 l l t p n 
 u y w l x b 
 e a x 
 p z d r@"
10,"#input
vbnwr
cgka
vrvh
ahrlqy
iur
sxnbc
#output
","r w n b v 
 a k g c 
 h v r v 
 y q l r h a 
 r u i 
 c b n x s","r w n b v 
 a k g c 
 h v r v 
 y q l r h a 
 r u i 
 c b n x s@"
11,"#input
lod
cbhzb
hoojon
dodd
ddce
hfzyf
#output
","d o l 
 b z h b c 
 n o j o o h 
 d d o d 
 e c d d 
 f y z f h","d o l 
 b z h b c 
 n o j o o h 
 d d o d 
 e c d d 
 f y z f h@"
12,"#input
wxko
nyfgu
cjtymy
makbl
zeg
hxnj
#output
","o k x w 
 u g f y n 
 y m y t j c 
 l b k a m 
 g e z 
 j n x h","o k x w 
 u g f y n 
 y m y t j c 
 l b k a m 
 g e z 
 j n x h@"
13,"#input
cykhg
dbw
pzunx
jgqczq
bsyzu
wpm
#output
","g h k y c 
 w b d 
 x n u z p 
 q z c q g j 
 u z y s b 
 m p w","g h k y c 
 w b d 
 x n u z p 
 q z c q g j 
 u z y s b 
 m p w@"
14,"#input
xxlz
jalks
ugj
payerx
ct
jtv
wae
#output
","z l x x 
 s k l a j 
 j g u 
 x r e y a p 
 t c 
 v t j 
 e a w","z l x x 
 s k l a j 
 j g u 
 x r e y a p 
 t c 
 v t j 
 e a w@"
15,"#input
tdxw
fbkwsl
ropgm
rddku
wjanw
vy
#output
","w x d t 
 l s w k b f 
 m g p o r 
 u k d d r 
 w n a j w 
 y v","w x d t 
 l s w k b f 
 m g p o r 
 u k d d r 
 w n a j w 
 y v@"
16,"#input
qhpyt
h
jlqrf
yeqiht
frwnp
xttmb
#output
","t y p h q 
 h 
 f r q l j 
 t h i q e y 
 p n w r f 
 b m t t x","t y p h q 
 h 
 f r q l j 
 t h i q e y 
 p n w r f 
 b m t t x@"
17,"#input
yvrbr
imgd
qx
wbczis
csntc
nacmi
#output
","r b r v y 
 d g m i 
 x q 
 s i z c b w 
 c t n s c 
 i m c a n","r b r v y 
 d g m i 
 x q 
 s i z c b w 
 c t n s c 
 i m c a n@"
18,"#input
ub
zylua
xrjno
wruujz
uhf
bxxcs
#output
","b u 
 a u l y z 
 o n j r x 
 z j u u r w 
 f h u 
 s c x x b","b u 
 a u l y z 
 o n j r x 
 z j u u r w 
 f h u 
 s c x x b@"
19,"#input
gpz
afbbh
eyvoo
abptpb
uvph
dbm
#output
","z p g 
 h b b f a 
 o o v y e 
 b p t p b a 
 h p v u 
 m b d","z p g 
 h b b f a 
 o o v y e 
 b p t p b a 
 h p v u 
 m b d@"
20,"#input
fgjz
gnzddi
kjcdm
rznr
zopvj
jk
#output
","z j g f 
 i d d z n g 
 m d c j k 
 r n z r 
 j v p o z 
 k j","z j g f 
 i d d z n g 
 m d c j k 
 r n z r 
 j v p o z 
 k j@"
21,"#input
fhuffw
ksji
cdfw
ktf
vbxfo
l
jx
#output
","w f f u h f 
 i j s k 
 w f d c 
 f t k 
 o f x b v 
 l 
 x j","w f f u h f 
 i j s k 
 w f d c 
 f t k 
 o f x b v 
 l 
 x j@"
22,"#input
bxf
kuisi
uubfur
piuk
zctfr
gtk
#output
","f x b 
 i s i u k 
 r u f b u u 
 k u i p 
 r f t c z 
 k t g","f x b 
 i s i u k 
 r u f b u u 
 k u i p 
 r f t c z 
 k t g@"
23,"#input
aoey
npfnb
wmwud
q
medde
ozasph
#output
","y e o a 
 b n f p n 
 d u w m w 
 q 
 e d d e m 
 h p s a z o","y e o a 
 b n f p n 
 d u w m w 
 q 
 e d d e m 
 h p s a z o@"
24,"#input
ljzh
rzxtnt
w
vbdnq
exori
rkmfq
#output
","h z j l 
 t n t x z r 
 w 
 q n d b v 
 i r o x e 
 q f m k r","h z j l 
 t n t x z r 
 w 
 q n d b v 
 i r o x e 
 q f m k r@"
25,"#input
rcmu
zflop
zjv
egtoy
dnmkwl
g
j
#output
","u m c r 
 p o l f z 
 v j z 
 y o t g e 
 l w k m n d 
 g 
 j","u m c r 
 p o l f z 
 v j z 
 y o t g e 
 l w k m n d 
 g 
 j@"
26,"#input
qvty
itdi
wlddgv
uuw
llem
tlvwr
#output
","y t v q 
 i d t i 
 v g d d l w 
 w u u 
 m e l l 
 r w v l t","y t v q 
 i d t i 
 v g d d l w 
 w u u 
 m e l l 
 r w v l t@"
27,"#input
hnev
rbm
qshcrw
cfy
sovtt
ijpqm
#output
","v e n h 
 m b r 
 w r c h s q 
 y f c 
 t t v o s 
 m q p j i","v e n h 
 m b r 
 w r c h s q 
 y f c 
 t t v o s 
 m q p j i@"
28,"#input
heirc
senor
rnt
lgxvt
jbmirp
x
#output
","c r i e h 
 r o n e s 
 t n r 
 t v x g l 
 p r i m b j 
 x","c r i e h 
 r o n e s 
 t n r 
 t v x g l 
 p r i m b j 
 x@"
29,"#input
tell
uhs
bovn
fuekw
fzeskvy
rx
#output
","l l e t 
 s h u 
 n v o b 
 w k e u f 
 y v k s e z f 
 x r","l l e t 
 s h u 
 n v o b 
 w k e u f 
 y v k s e z f 
 x r@"
30,"#input
bujqv
b
abhgyp
pmk
ajffv
xtfvc
#output
","v q j u b 
 b 
 p y g h b a 
 k m p 
 v f f j a 
 c v f t x","v q j u b 
 b 
 p y g h b a 
 k m p 
 v f f j a 
 c v f t x@"
31,"#input
zjco
fopoi
tilh
n
odvxe
pcljbt
#output
","o c j z 
 i o p o f 
 h l i t 
 n 
 e x v d o 
 t b j l c p","o c j z 
 i o p o f 
 h l i t 
 n 
 e x v d o 
 t b j l c p@"
32,"#input
laijk
stt
yqo
jdkrk
ehdusl
iag
#output
","k j i a l 
 t t s 
 o q y 
 k r k d j 
 l s u d h e 
 g a i","k j i a l 
 t t s 
 o q y 
 k r k d j 
 l s u d h e 
 g a i@"
33,"#input
silih
fwnt
pbali
mrtxhs
xj
fui
#output
","h i l i s 
 t n w f 
 i l a b p 
 s h x t r m 
 j x 
 i u f","h i l i s 
 t n w f 
 i l a b p 
 s h x t r m 
 j x 
 i u f@"
34,"#input
lwyjf
s
yrad
xook
vejma
kvdvnv
#output
","f j y w l 
 s 
 d a r y 
 k o o x 
 a m j e v 
 v n v d v k","f j y w l 
 s 
 d a r y 
 k o o x 
 a m j e v 
 v n v d v k@"
35,"#input
fr
mehst
cszzhs
gjpbw
vhhe
nzp
#output
","r f 
 t s h e m 
 s h z z s c 
 w b p j g 
 e h h v 
 p z n","r f 
 t s h e m 
 s h z z s c 
 w b p j g 
 e h h v 
 p z n@"
36,"#input
zvul
n
sqpd
hvme
kypobis
sjxpl
#output
","l u v z 
 n 
 d p q s 
 e m v h 
 s i b o p y k 
 l p x j s","l u v z 
 n 
 d p q s 
 e m v h 
 s i b o p y k 
 l p x j s@"
37,"#input
cjw
pdip
lii
bnss
xjsdovg
uqsg
#output
","w j c 
 p i d p 
 i i l 
 s s n b 
 g v o d s j x 
 g s q u","w j c 
 p i d p 
 i i l 
 s s n b 
 g v o d s j x 
 g s q u@"
38,"#input
macbu
izutdw
q
mbykn
vgjju
pkg
#output
","u b c a m 
 w d t u z i 
 q 
 n k y b m 
 u j j g v 
 g k p","u b c a m 
 w d t u z i 
 q 
 n k y b m 
 u j j g v 
 g k p@"
39,"#input
wj
urg
xnpxq
lffirrk
yquu
fona
#output
","j w 
 g r u 
 q x p n x 
 k r r i f f l 
 u u q y 
 a n o f","j w 
 g r u 
 q x p n x 
 k r r i f f l 
 u u q y 
 a n o f@"
