,example_input,example_output,all-generated-output
0,"#input
puovnqdkbv
iqphrdruow
uwvfhybprf
bgifwvxda
fawbhzduhp
#output
","p u o v n q d k b v 
 i q p h r d r u o w 
 u w v f h y b p r f 
 b g i f w v x d a 
 f a w b h z d u h p","p u o v n 
 p u o v n 
 f a w b h 
 f a w b h 
 u w v f h 
 #output
 p 
 p 
 p u o v n 
 f a w f h 
 u w v f h 
 #output
 h 
 p 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
1,"#input
uthqnfghhq
gjhplzdqml
ujeonlkko
niqpcabzsd
pntwgpkkrs
#output
","u t h q n f g h h q 
 g j h p l z d q m l 
 u j e o n l k k o 
 n i q p c a b z s d 
 p n t w g p k k r s","u t h q n 
 u t h q n 
 g j h p l 
 u j e o n@"
2,"#input
ireveizsxk
zjfifrmouk
uoihgtolhb
fouqtnvqv
rjiamcljix
#output
","i r e v e i z s x k 
 z j f i f r m o u k 
 u o i h g t o l h b 
 f o u q t n v q v 
 r j i a m c l j i x","i r e v e 
 z j f i f 
 z j f i f 
 u o i h g 
 #output
 i r e v e 
 z j f i f 
 u o i h g@"
3,"#input
kcoknbtkhr
zfvegmifh
kvkmmdbwsf
skzaukbvfx
jlmqdacyfd
#output
","k c o k n b t k h r 
 z f v e g m i f h 
 k v k m m d b w s f 
 s k z a u k b v f x 
 j l m q d a c y f d","k c o k n 
 k c o k n 
 z f v e g 
 z f v e d 
 k v k m m@"
4,"#input
cylqzgzlxa
fgwuxabeza
dvgtyuajim
zsbvspny
ttdknrodnq
#output
","c y l q z g z l x a 
 f g w u x a b e z a 
 d v g t y u a j i m 
 z s b v s p n y 
 t t d k n r o d n q","c y l q z 
 f g w u x 
 f g w u x 
 d v g t y@"
5,"#input
hhkiomagg
shkobkppjn
clrqbfhcoq
yvfcngtfeb
thsbjzyap
#output
","h h k i o m a g g 
 s h k o b k p p j n 
 c l r q b f h c o q 
 y v f c n g t f e b 
 t h s b j z y a p","h h k i o 
 h h k i o 
 t h s b j 
 c l r q b 
 t h s b j 
 #output
 h h k i o 
 h h k i o 
 t h k o b 
 t h s b j@"
6,"#input
kevzuvkj
eaaockhctv
mpqmjaovcb
pehualowja
eiqgaayjat
#output
","k e v z u v k j 
 e a a o c k h c t v 
 m p q m j a o v c b 
 p e h u a l o w j a 
 e i q g a a y j a t","k e v z u 
 k e v z u 
 e a a o c 
 e i q g a@"
7,"#input
dgzdthohkm
seklgrih
duvpliphpb
kzayfsjrmw
cmatidnklo
#output
","d g z d t h o h k m 
 s e k l g r i h 
 d u v p l i p h p b 
 k z a y f s j r m w 
 c m a t i d n k l o","d g z d t 
 s e k l g 
 c m a t i 
 d u v p l 
 #output
 d 
 s 
 s 
 f z a y f 
 k z a t i@"
8,"#input
pjpxdxjoe
ttiobliww
kmburopzsm
fzvepnbbsb
alathiyoal
#output
","p j p x d x j o e 
 t t i o b l i w w 
 k m b u r o p z s m 
 f z v e p n b b s b 
 a l a t h i y o a l","p j p x d 
 p j p x d 
 k m i o b 
 a l a t h 
 #output
 p 
 p 
 p 
 f z v e p 
 a l a t h@"
9,"#input
giqhihzzws
tfdlcartsx
vdtcdbsec
znsaqzgdgh
oonbczvgn
#output
","g i q h i h z z w s 
 t f d l c a r t s x 
 v d t c d b s e c 
 z n s a q z g d g h 
 o o n b c z v g n","g i q h i 
 g i q h i 
 g f d l c 
 z o n b c 
 #output
 g 
 g 
 g 
 g 
 #output
 i 
 g 
 g s o a q 
 z o n b c 
 z o n b c 
 v d #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
10,"#input
zzgdojgzuy
ydmigntrwg
oncdhqbvyb
rnsngnnp
kssqthotfo
#output
","z z g d o j g z u y 
 y d m i g n t r w g 
 o n c d h q b v y b 
 r n s n g n n p 
 k s s q t h o t f o","z z g d o 
 z z g d o 
 y d m i g 
 o n c d h@"
11,"#input
bndodjbmv
vubjksgvyl
wcbljrwtao
swqxxpyxgb
xyfzmmjjl
#output
","b n d o d j b m v 
 v u b j k s g v y l 
 w c b l j r w t a o 
 s w q x x p y x g b 
 x y f z m m j j l","b n d o d 
 b n d o d 
 v u b j k 
 x y f z m 
 #output
 b 
 b 
 b w 
 v u b o x 
 x y f z m@"
12,"#input
cfjswmrnj
zectwqvdw
wqabwsjufo
guspcwrpaz
smxuslfzop
#output
","c f j s w m r n j 
 z e c t w q v d w 
 w q a b w s j u f o 
 g u s p c w r p a z 
 s m x u s l f z o p","c f j s w 
 z e c t w 
 z e c t w 
 w q a b w@"
13,"#input
bcsagzmylp
cjnsvycocx
yqhnamov
vxblxdwyfe
yqnxuzfkfq
#output
","b c s a g z m y l p 
 c j n s v y c o c x 
 y q h n a m o v 
 v x b l x d w y f e 
 y q n x u z f k f q","b c s a g 
 b c s a g 
 y q n s v 
 v x b l x 
 y q h n 
 #output
 b 
 b 
 b 
 b l v n a 
 v x b l x 
 y q h n@"
14,"#input
hkjnwdydjw
pqwjxdharb
ldixwdoaiv
nbzhsgvhd
mgpcgplab
#output
","h k j n w d y d j w 
 p q w j x d h a r b 
 l d i x w d o a i v 
 n b z h s g v h d 
 m g p c g p l a b","h k j n w 
 h k j n w 
 p q w j x 
 m g p c g 
 p l w x w 
 #output
 h k j n w 
 p q w j x 
 #output
 h 
 h k j n w 
 p q w j x 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
15,"#input
luzdynutf
oznwoshyj
kfhvvbvzqx
sugzmwmezq
bsxwcwwpt
#output
","l u z d y n u t f 
 o z n w o s h y j 
 k f h v v b v z q x 
 s u g z m w m e z q 
 b s x w c w w p t","l u z d y 
 l u z d y 
 k f h w o 
 k f h v v 
 b s g z m 
 #output
 l u z d y 
 k 
 #output
 l u z d y 
 k 
 #output
 y 
 k 
 o z n w o #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
16,"#input
fflwrhzlo
yulthbxzny
abbwgcygja
oeisxgwq
znzcammkii
#output
","f f l w r h z l o 
 y u l t h b x z n y 
 a b b w g c y g j a 
 o e i s x g w q 
 z n z c a m m k i i","f f l w r 
 f f l w r 
 f u l t h 
 z n z c a 
 #output
 f 
 a 
 f u l t h 
 a b b w g@"
17,"#input
oyqdzeifu
vkbbzbvomi
zwytjahazl
ujyrgoakmr
twachmje
#output
","o y q d z e i f u 
 v k b b z b v o m i 
 z w y t j a h a z l 
 u j y r g o a k m r 
 t w a c h m j e","o y q d z 
 o y q b z 
 #output
 o y q d z 
 o y q 
 u j b b z 
 u w y r g@"
18,"#input
qvxnfuxqu
oqvgdjbrkr
ockbzrzck
dmszqidodl
sxuospfmu
#output
","q v x n f u x q u 
 o q v g d j b r k r 
 o c k b z r z c k 
 d m s z q i d o d l 
 s x u o s p f m u","q v x n f 
 #output
 q v x n f 
 q v x n f 
 #output
 q 
 q 
 v 
 #output
 q 
 q 
 v 
 r 
 #output
 q 
 q 
 v 
 r o #output
 q 
 q 
 v 
 #output
 q 
 #output
 q 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
19,"#input
echcqkpqne
vamczyqjp
zgfhbamz
nyhuciwmtw
yebldkyohx
#output
","e c h c q k p q n e 
 v a m c z y q j p 
 z g f h b a m z 
 n y h u c i w m t w 
 y e b l d k y o h x","e c h c q 
 e c h c q 
 y a m c z 
 n y h u c 
 y e f h b 
 #output
 e 
 e 
 v 
 y e b l d 
 y e f h b 
 v a m c z@"
