,example_input,example_output,all-generated-output
0,"#input
txbjeo
rcalr
pqdl
amnrp
xkkm
#output
","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x@"
1,"#input
qd
aesnwr
dmbbp
hchji
yifrs
#output
","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y@"
2,"#input
hcye
mjim
mfisq
ovmvly
iuvw
#output
","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i@"
3,"#input
ovie
spc
yvyqto
zgpze
zwvrn
#output
","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z@"
4,"#input
dmvnlu
blf
vytdu
tmyzf
ukgl
#output
","u l n v m d 
 f l b 
 u d t y v 
 f z y m t 
 l g k u","u l n v m d 
 f l b 
 u d t y v 
 f z y m t 
 l g k u@"
5,"#input
fhxzmv
xon
ndhr
xfjff
mfog
#output
","v m z x h f 
 n o x 
 r h d n 
 f f j f x 
 g o f m","v m z x h f 
 n o x 
 r h d n 
 f f j f x 
 g o f m@"
6,"#input
kapxwi
xfuuz
vcph
tq
jpaco
#output
","i w x p a k 
 z u u f x 
 h p c v 
 q t 
 o c a p j","i w x p a k 
 z u u f x 
 h p c v 
 q t 
 o c a p j@"
7,"#input
dtiiur
ystvp
zlkq
qvrm
uic
#output
","r u i i t d 
 p v t s y 
 q k l z 
 m r v q 
 c i u","r u i i t d 
 p v t s y 
 q k l z 
 m r v q 
 c i u@"
8,"#input
sthp
mimuoj
sm
ffppi
pogyc
#output
","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p@"
9,"#input
sfycs
krgz
wo
acrblv
swyqp
#output
","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s@"
10,"#input
uclptk
flbe
fifm
gpqjw
wbl
#output
","k t p l c u 
 e b l f 
 m f i f 
 w j q p g 
 l b w","k t p l c u 
 e b l f 
 m f i f 
 w j q p g 
 l b w@"
11,"#input
pwqydx
tgs
ivmo
xbel
tlrhh
#output
","x d y q w p 
 s g t 
 o m v i 
 l e b x 
 h h r l t","x d y q w p 
 s g t 
 o m v i 
 l e b x 
 h h r l t@"
12,"#input
zxky
urlphr
kyn
uhocy
unlm
#output
","y k x z 
 r h p l r u 
 n y k 
 y c o h u 
 m l n u","y k x z 
 r h p l r u 
 n y k 
 y c o h u 
 m l n u@"
13,"#input
prqmp
xvjxum
ft
gcpk
xtaez
#output
","p m q r p 
 m u x j v x 
 t f 
 k p c g 
 z e a t x","p m q r p 
 m u x j v x 
 t f 
 k p c g 
 z e a t x@"
14,"#input
gash
mrqka
ecqpdu
xs
zpbbi
#output
","h s a g 
 a k q r m 
 u d p q c e 
 s x 
 i b b p z","h s a g 
 a k q r m 
 u d p q c e 
 s x 
 i b b p z@"
15,"#input
rknvlv
tozzc
tdg
listi
dx
#output
","v l v n k r 
 c z z o t 
 g d t 
 i t s i l 
 x d","v l v n k r 
 c z z o t 
 g d t 
 i t s i l 
 x d@"
16,"#input
kjkzgt
vbnu
yl
sovc
hibqm
#output
","t g z k j k 
 u n b v 
 l y 
 c v o s 
 m q b i h","t g z k j k 
 u n b v 
 l y 
 c v o s 
 m q b i h@"
17,"#input
glxcao
moqp
bkspe
dt
vcdx
#output
","o a c x l g 
 p q o m 
 e p s k b 
 t d 
 x d c v","o a c x l g 
 p q o m 
 e p s k b 
 t d 
 x d c v@"
18,"#input
v
zcvrj
ukopom
sajj
cjhqg
#output
","v 
 j r v c z 
 m o p o k u 
 j j a s 
 g q h j c","v 
 j r v c z 
 m o p o k u 
 j j a s 
 g q h j c@"
