,example_input,example_output,all-generated-output
0,"#input
puovnqdkbv
iqphrdruow
uwvfhybprf
bgifwvxda
fawbhzduhp
#output
","v b k d q n v o u p 
 w o u r d r h p q i 
 f r p b y h f v w u 
 a d x v w f i g b 
 p h u d z h b w a f","n v o u p 
 h f f f f f f f 
 r h p q i 
 p o w g b 
 h f v w u@"
1,"#input
uthqnfghhq
gjhplzdqml
ujeonlkko
niqpcabzsd
pntwgpkkrs
#output
","q h h g f n q h t u 
 l m q d z l p h j g 
 o k k l n o e j u 
 d s z b a c p q i n 
 s r k k p g w t n p","n q q t u 
 n p h j g 
 l p h j g 
 w q w q w q@"
2,"#input
ireveizsxk
zjfifrmouk
uoihgtolhb
fouqtnvqv
rjiamcljix
#output
","k x s z i e v e r i 
 k u o m r f i f j z 
 b h l o t g h i o u 
 v q v n t q u o f 
 x i j l c m a i j r","e v e i i 
 h h i h x 
 f i f j j 
 m q u j f 
 x i i o u@"
3,"#input
kcoknbtkhr
zfvegmifh
kvkmmdbwsf
skzaukbvfx
jlmqdacyfd
#output
","r h k t b n k o c k 
 h f i m g e v f z 
 f s w b d m m k v k 
 x f v b k u a z k s 
 d f y c a d q m l j","n k o c k 
 h h h h h 
 e e e e z 
 f m f f f 
 d f d f f@"
4,"#input
cylqzgzlxa
fgwuxabeza
dvgtyuajim
zsbvspny
ttdknrodnq
#output
","a x l z g z q l y c 
 a z e b a x u w g f 
 m i j a u y t g v d 
 y n p s v b s z 
 q n d o r n k d t t","z q l y c 
 x u w g f 
 a x u w x f 
 q n d v t 
 n d g t d@"
5,"#input
hhkiomagg
shkobkppjn
clrqbfhcoq
yvfcngtfeb
thsbjzyap
#output
","g g a m o i k h h 
 n j p p k b o k h s 
 q o c h f b q r l c 
 b e f t g n c f v y 
 p a y z j b s h t","o i k h h 
 b o k h s 
 j b p k b b 
 p a y r f t@"
6,"#input
kevzuvkj
eaaockhctv
mpqmjaovcb
pehualowja
eiqgaayjat
#output
","j k v u z v e k 
 v t c h k c o a a e 
 b c v o a j m q p m 
 a j w o l a u h e p 
 t a j y a a g q i e","u z v e k 
 c o a a e 
 a o q e e 
 a a q i e@"
7,"#input
dgzdthohkm
seklgrih
duvpliphpb
kzayfsjrmw
cmatidnklo
#output
","m k h o h t d z g d 
 h i r g l k e s 
 b p h p i l p v u d 
 w m r j s f y a z k 
 o l k n d i t a m c","t d z g d 
 g l k e s 
 r l k e s 
 f l i z f 
 p l h@"
8,"#input
pjpxdxjoe
ttiobliww
kmburopzsm
fzvepnbbsb
alathiyoal
#output
","e o j x d x p j p 
 w w i l b o i t t 
 m s z p o r u b m k 
 b s b b n p e v z f 
 l a o y i h t a l a","d x p j p 
 b o i t t 
 l b o i b 
 l a b z k@"
9,"#input
giqhihzzws
tfdlcartsx
vdtcdbsec
znsaqzgdgh
oonbczvgn
#output
","s w z z h i h q i g 
 x s t r a c l d f t 
 c e s b d c t d v 
 h g d g z q a s n z 
 n g v z c b n o o","i h q i g 
 c c d f w 
 l g l g t 
 a g s n o 
 n g n d v@"
10,"#input
zzgdojgzuy
ydmigntrwg
oncdhqbvyb
rnsngnnp
kssqthotfo
#output
","y u z g j o d g z z 
 g w r t n g i m d y 
 b y v b q h d c n o 
 p n n g n s n r 
 o f t o h t q s s k","o d g z z 
 h i m d y 
 n i m d y 
 g f t w w 
 h f c n k@"
11,"#input
bndodjbmv
vubjksgvyl
wcbljrwtao
swqxxpyxgb
xyfzmmjjl
#output
","v m b j d o d n b 
 l y v g s k j b u v 
 o a t w r j l b c w 
 b g x y p x x q w s 
 l j j m m z f y x","d o d n b 
 l j j j j 
 s j b y v 
 l j q w x 
 l j b c w@"
12,"#input
cfjswmrnj
zectwqvdw
wqabwsjufo
guspcwrpaz
smxuslfzop
#output
","j n r m w s j f c 
 w d v q w t c e z 
 o f u j s w b a q w 
 z a p r w c p s u g 
 p o z f l s u x m s","w s j f c 
 w t c e z 
 w t c e z 
 l b a m w 
 f o p@"
13,"#input
bcsagzmylp
cjnsvycocx
yqhnamov
vxblxdwyfe
yqnxuzfkfq
#output
","p l y m z g a s c b 
 x c o c y v s n j c 
 v o m a n h q y 
 e f y w d x l b x v 
 q f k f z u x n q y","g a s c b 
 v s n j c 
 v s n j c 
 q f q q v 
 f f h f y@"
14,"#input
hkjnwdydjw
pqwjxdharb
ldixwdoaiv
nbzhsgvhd
mgpcgplab
#output
","w j d y d w n j k h 
 b r a h d x j w q p 
 v i a o d w x i d l 
 d h v g s h z b n 
 b a l p g c p g m","d w n k h 
 x x w d p 
 j j w q p 
 s a z g m 
 b x i d l@"
15,"#input
luzdynutf
oznwoshyj
kfhvvbvzqx
sugzmwmezq
bsxwcwwpt
#output
","f t u n y d z u l 
 j y h s o w n z o 
 x q z v b v v h f k 
 q z e m w m z g u s 
 t p w w c w x s b","y d z u l 
 o w n z o 
 s o w w w 
 w p w w w@"
16,"#input
fflwrhzlo
yulthbxzny
abbwgcygja
oeisxgwq
znzcammkii
#output
","o l z h r w l f f 
 y n z x b h t l u y 
 a j g y c g w b b a 
 q w g x s i e o 
 i i k m m a c z n z","r w l f f 
 h t l u y 
 h t l u y 
 x i p n a@"
17,"#input
oyqdzeifu
vkbbzbvomi
zwytjahazl
ujyrgoakmr
twachmje
#output
","u f i e z d q y o 
 i m o v b z b b k v 
 l z a h a j t y w z 
 r m k a o g r y j u 
 e j m h c a w t","l d q y o 
 b b b b v 
 z b b k v 
 g a m g g 
 e h e y x@"
