,example_input,example_output,all-generated-output
0,"#input
olmqg
lmkvl
inzap
zlyrl
gyiub
rml
wzy
lerjl
tiqxqzycuo
aeqch
#output
","g q m l o 
 l v k m l 
 p a z n i 
 l r y l z 
 b u i y g 
 l m r 
 y z w 
 l j r e l 
 o u c y z q x q i t 
 h c q e a","g q m l o 
 l v k m l 
 p a z n i 
 l r y l z 
 b u i y g 
 l y m r 
 l y q x i@"
1,"#input
jdkwo
jbfbrki
sfdoi
airww
eoec
ufmd
npkmj
bator
mplir
vkpx
#output
","o w k d j 
 i k r b f b j 
 i o d f s 
 w w r i a 
 c e o e 
 d m f u 
 j m k p n 
 r o t a b 
 r i l p m 
 x p k v","o w k d j 
 i k b f b j 
 i o d f s 
 w w r i a 
 c e o e 
 m f u 
 j m k p n@"
2,"#input
sfvfj
kuwl
zxp
gfihj
bsaczohglg
qwij
dgnab
nsmv
zya
ubjdh
#output
","j f v f s 
 l w u k 
 p x z 
 j h i f g 
 g l g h o z c a s b 
 j i w q 
 b a n g d 
 v m s n 
 a y z 
 h d j b u","j f v f s 
 l w u k 
 p x z 
 j h i f g 
 g o c a s b 
 b a i s b 
 b a s b@"
3,"#input
xqmh
qcd
qatkf
fd
hhadz
ajsav
ugpfn
rjkym
jdzdkbddrp
gejd
#output
","h m q x 
 d c q 
 f k t a q 
 d f 
 z d a h h 
 v a s j a 
 n f p g u 
 m y k j r 
 p r d d b k d z d j 
 d j e g","h m q x 
 f k d c q 
 f k t a q 
 d f 
 z d a h h 
 v a s j h 
 d p s p g@"
4,"#input
fusgn
wvlwm
hgeep
h
ybakrtppej
vgrx
khrdf
qqwkb
ljb
mzdpf
#output
","n g s u f 
 m w l v w 
 p e e g h 
 h 
 j e p p t r k a b y 
 x r g v 
 f d r h k 
 b k w q q 
 b j l 
 f p d z m","n g s u f 
 m w l v w 
 p e e g h 
 j e t k h 
 x r k a y 
 f b r h 
 #input
 x 
 k 
 g 
 #output
 x 
 k 
 g@"
5,"#input
ltom
geabi
fvwwb
f
mhyq
nqyhu
lqtcx
dzro
hktiehxdpw
ohkxm
#output
","m o t l 
 i b a e g 
 b w w v f 
 f 
 q y h m 
 u h y q n 
 x c t q l 
 o r z d 
 w p d x h e i t k h 
 m x k h o","m o t l 
 i b a e g 
 b w w v f 
 f 
 q y h m 
 u h y q n 
 x c h t q@"
6,"#input
nxgfr
qnn
ikand
dqryk
izmheazcu
tfet
fewnv
sheeb
gvejg
o
#output
","r f g x n 
 n n q 
 d n a k i 
 k y r q d 
 u c z a e h m z i 
 t e f t 
 v n w e f 
 b e e h s 
 g j e v g 
 o","r f g x n 
 n n q 
 d n a k i 
 k y r q d 
 e z h m z i 
 v e w e f@"
7,"#input
vl
vqxmg
gqblc
fmgul
ayqfi
hllh
zejda
crvbgsnjr
cajo
dpp
#output
","l v 
 g m x q v 
 c l b q g 
 l u g m f 
 i f q y a 
 h l l h 
 a d j e z 
 r j n s g b v r c 
 o j a c 
 p p d","l v 
 g m x q v 
 c l b q g 
 l u g m f 
 i f q y a 
 a d h l h 
 j s j b r@"
8,"#input
iog
eucbj
lksn
hmcj
thlnl
nnxp
udhff
bwmd
zzs
kqgkstisuv
#output
","g o i 
 j b c u e 
 n s k l 
 j c m h 
 l n l h t 
 p x n n 
 f f h d u 
 d m w b 
 s z z 
 v u s i t s k g q k","g o i 
 j b c u e 
 n s k l 
 j c m h 
 l n l h t 
 f x h n 
 #input
 g 
 g 
 g 
 #output
 g 
 g 
 g@"
9,"#input
iv
dusjv
uzyi
ypeivnywmi
sav
howb
gjxj
regbk
jivju
ufxcp
#output
","v i 
 v j s u d 
 i y z u 
 i m w y n v i e p y 
 v a s 
 b w o h 
 j x j g 
 k b g e r 
 u j v i j 
 p c x f u","v i 
 v j s u d 
 i i y z u 
 i y n i e y p y 
 v b w o h 
 b w o h 
 u x j x i@"
10,"#input
kzpeq
niuol
oeu
egya
thiwa
vmhf
pbjg
rdzyvebbil
yho
swbb
#output
","q e p z k 
 l o u i n 
 u e o 
 a y g e 
 a w i h t 
 f h m v 
 g j b p 
 l i b b e v y z d r 
 o h y 
 b b w s","q e p z k 
 l o u i n 
 u e o 
 a y g e 
 a w i h t 
 i h m h 
 b i b j b@"
11,"#input
grhof
hbsnn
ecwdh
rwo
ybd
jvyxc
vsdjn
gcuo
wdxuiucreh
dm
#output
","f o h r g 
 n n s b h 
 h d w c e 
 o w r 
 d b y 
 c x y v j 
 n j d s v 
 o u c g 
 h e r c u i u x d w 
 m d","f o h r g 
 n n s b h 
 h d w c e 
 o w r 
 c x d b y 
 c x y v y 
 e u s d g@"
12,"#input
ouv
ochfj
zkjot
bdwqd
phhd
ojaz
vuiez
vhuc
zurbxvpxed
mu
#output
","v u o 
 j f h c o 
 t o j k z 
 d q w d b 
 d h h p 
 z a j o 
 z e i u v 
 c u h v 
 d e x p v x b r u z 
 u m","v u o 
 j f h c o 
 t o j k z 
 d q w d b 
 d h h p 
 z e z a j 
 x i u h v@"
13,"#input
tqvgjzoxpq
gdtle
vk
lnijt
unpxz
uv
ewknc
azmft
jt
rqjif
#output
","q p x o z j g v q t 
 e l t d g 
 k v 
 t j i n l 
 z x p n u 
 v u 
 c n k w e 
 t f m z a 
 t j 
 f i j q r","q x r v q t q t 
 e l t d g 
 k v 
 t j i n l 
 z p n u 
 c n k w e 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
14,"#input
qcupb
alk
qmzl
hyf
dixvzdyrev
wagoe
jbe
xqq
vmtps
fzvhg
#output
","b p u c q 
 k l a 
 l z m q 
 f y h 
 v e r y d z v x i d 
 e o g a w 
 e b j 
 q q x 
 s p t m v 
 g h v z f","b p u c q 
 k l a 
 l z m q 
 f y y h 
 e y v x i d i d 
 e b q i d@"
15,"#input
gxjdr
npkc
xawo
bmg
iuilw
kolb
vhh
qob
hzbcycfdvc
twgdf
#output
","r d j x g 
 c k p n 
 o w a x 
 g m b 
 w l i u i 
 b l o k 
 h h v 
 b o q 
 c v d f c y c b z h 
 f d g w t","r d j x g 
 c k p n 
 o w a x 
 g m b 
 w l i u i 
 l i u h 
 d c h o v@"
16,"#input
spwk
cpkm
pxbwbkkmob
ttar
rzxxq
x
dhl
nvkjj
qsetv
ucusq
#output
","k w p s 
 m k p c 
 b o m k k b w b x p 
 r a t t 
 q x x z r 
 x 
 l h d 
 j j k v n 
 v t e s q 
 q s u c u","k w p s 
 m k p c 
 b m b w b p p 
 r x t z r 
 x z r 
 l h d 
 i s h d@"
17,"#input
dqxhw
rerv
rfegfhjgix
sphf
tpi
ormeb
jqwgj
vyegw
ul
ehg
#output
","w h x q d 
 v r e r 
 x i g j h f g e f r 
 f h p s 
 i p t 
 b e m r o 
 j g w q j 
 w g e y v 
 l u 
 g h e","w h x q d 
 v r e r 
 x i h e f r 
 f h i p s 
 b e m r o 
 w e m r o 
 #input
 d 
 g 
 g 
 #output
 d 
 g 
 g@"
18,"#input
grgqk
tnezialmi
ib
sbdt
muet
kpeql
gfydh
vqbjp
gz
pbshh
#output
","k q g r g 
 i m l a i z e n t 
 b i 
 t d b s 
 t e u m 
 l q e p k 
 h d y f g 
 p j b q v 
 z g 
 h h s b p","k q g r g 
 i m z e n t n t 
 b i 
 t d b s 
 l q e u m 
 h q e p k 
 h b f g@"
19,"#input
kfb
funhz
dllm
zhlzh
ofcpkifvm
ugkk
ipaai
l
gpffu
aircp
#output
","b f k 
 z h n u f 
 m l l d 
 h z l h z 
 m v f i k p c f o 
 k k g u 
 i a a p i 
 l 
 u f f p g 
 p c r i a","b f k 
 z h n u f 
 m l l d 
 h z l h z 
 k i f c f o 
 k a p i 
 i a p i@"
20,"#input
sv
vfpd
ietol
zysyl
tryo
jotrcghxa
uedfg
plku
mzevq
uw
#output
","v s 
 d p f v 
 l o t e i 
 l y s y z 
 o y r t 
 a x h g c r t o j 
 g f d e u 
 u k l p 
 q v e z m 
 w u","v s 
 d p f v 
 l o t e i 
 l y s y z 
 a x y r t 
 g x g d o j 
 #input
 x 
 k 
 g 
 #output
 x 
 k 
 g@"
21,"#input
pcfdm
qont
zzfg
egcnq
crd
qazpw
cdda
av
faugoqgv
ljgkc
#output
","m d f c p 
 t n o q 
 g f z z 
 q n c g e 
 d r c 
 w p z a q 
 a d d c 
 v a 
 v g q o g u a f 
 c k g j l","m d f c p 
 t n o q 
 g f z z 
 q n c g e 
 d r c 
 w p z a q 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
22,"#input
fhzr
yqgf
gtlxm
tnsuiesouj
bikc
yu
uzktc
chgw
lnh
zspf
#output
","r z h f 
 f g q y 
 m x l t g 
 j u o s e i u s n t 
 c k i b 
 u y 
 c t k z u 
 w g h c 
 h n l 
 f p s z","r z h f 
 f g q y 
 m x l t g 
 i s u s n t 
 c k i u y 
 c t k u 
 #input
 d 
 g 
 g 
 #output
 d 
 g 
 g@"
23,"#input
mymmg
dzmpm
ibbok
yky
jmlsh
ezket
tdayuf
zpuw
ocva
fsm
#output
","g m m y m 
 m p m z d 
 k o b b i 
 y k y 
 h s l m j 
 t e k z e 
 f u y a d t 
 w u p z 
 a v c o 
 m s f","g m m y m 
 m p m z d 
 k o b b i 
 y k y 
 h s l m j 
 u e k z e 
 #input
 g 
 g 
 g 
 #output
 g 
 g 
 g@"
24,"#input
lqbl
vwghglcnc
rzfhc
vdtsn
ijeo
lhy
zxwdd
fkrgd
s
nxmm
#output
","l b q l 
 c n c l g h g w v 
 c h f z r 
 n s t d v 
 o e j i 
 y h l 
 d d w x z 
 d g r k f 
 s 
 m m x n","l b q l 
 c n h g w v v 
 c h f z d v 
 n s t d v 
 e j i 
 d y h l 
 d g w x@"
25,"#input
anpk
ni
rcmqo
a
yadov
taew
hsekl
avnqdcfclx
spzc
pxbej
#output
","k p n a 
 i n 
 o q m c r 
 a 
 v o d a y 
 w e a t 
 l k e s h 
 x l c f c d q n v a 
 c z p s 
 j e b x p","k p n a 
 i n 
 o q m c r 
 a 
 v o d a y 
 l c e a y 
 l c e s h@"
26,"#input
ugfu
qnwf
vjone
mjn
ude
ea
qpiqd
bwiuh
takxuostf
cnfok
#output
","u f g u 
 f w n q 
 e n o j v 
 n j m 
 e d u 
 a e 
 d q i p q 
 h u i w b 
 f t s o u x k a t 
 k o f n c","u f g u 
 f w n q 
 e n o j v 
 n j m 
 e d u 
 s d i a q 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
