,example_input,example_output,all-generated-output
0,"#input
pwxvwbgve
mehtvsjqh
plxmbhy
hcnbnbl
#output
",p w x v w b g v e m e h t v s j q h p l x m b h y h c n b n b l,p w x v w b g v e m e h t v s j q h p l x m b h y h c n b n b l@
1,"#input
fbukkeiae
hzuwzryl
dafyoin
eslpxzft
#output
",f b u k k e i a e h z u w z r y l d a f y o i n e s l p x z f t,f b u k k e i a e h z u w z r y l d a f y o i n e s l p x z f t@
2,"#input
jbbzjxvx
hvtdhg
zsfyrkog
hiiykldrlr
#output
",j b b z j x v x h v t d h g z s f y r k o g h i i y k l d r l r,j b b z j x v x h v t d h g z s f y r k o g h i i y k l d r l r@
3,"#input
retkprvtak
mjxzqvq
grlotvphe
ulqxmy
#output
",r e t k p r v t a k m j x z q v q g r l o t v p h e u l q x m y,r e t k p r v t a k m j x z q v q g r l o t v p h e u l q x m y@
4,"#input
ikbkqm
gcuwkz
czxatos
kyrhdg
ctdlhft
#output
",i k b k q m g c u w k z c z x a t o s k y r h d g c t d l h f t,i k b k q m g c u w k z c z x a t o s k y r h d g c t d l h f t@
5,"#input
murrhnoy
dqzvjm
tlgsaqpw
ylxoyekfzd
#output
",m u r r h n o y d q z v j m t l g s a q p w y l x o y e k f z d,m u r r h n o y d q z v j m t l g s a q p w y l x o y e k f z d@
6,"#input
jqjjjom
tyfxhtgn
hbifek
wmckzunymf
#output
",j q j j j o m t y f x h t g n h b i f e k w m c k z u n y m f,j q j j j o m t y f x h t g n h b i f e k w m c k z u n y m f@
7,"#input
sjkgsixa
rfwpergc
hhffpqaf
wvysrft
#output
",s j k g s i x a r f w p e r g c h h f f p q a f w v y s r f t,s j k g s i x a r f w p e r g c h h f f p q a f w v y s r f t@
8,"#input
iwpdfoy
jelotni
anfyqvaczl
ozyixtk
#output
",i w p d f o y j e l o t n i a n f y q v a c z l o z y i x t k,i w p d f o y j e l o t n i a n f y q v a c z l o z y i x t k@
9,"#input
kmzfwym
vqhgyirz
fjbufg
dmwhwiwmbt
#output
",k m z f w y m v q h g y i r z f j b u f g d m w h w i w m b t,k m z f w y m v q h g y i r z f j b u f g d m w h w i w m b t@
10,"#input
bxkjjnplu
zltsqyk
rmymkbk
mfdgnmrd
#output
",b x k j j n p l u z l t s q y k r m y m k b k m f d g n m r d,b x k j j n p l u z l t s q y k r m y m k b k m f d g n m r d@
11,"#input
kiecqj
syanmtgcpk
dgescz
icpffsblg
#output
",k i e c q j s y a n m t g c p k d g e s c z i c p f f s b l g,k i e c q j s y a n m t g c p k d g e s c z i c p f f s b l g@
12,"#input
ksnzvmf
lybptfho
lmrhdjz
qydtrfhvg
#output
",k s n z v m f l y b p t f h o l m r h d j z q y d t r f h v g,k s n z v m f l y b p t f h o l m r h d j z q y d t r f h v g@
13,"#input
knxghyvry
qztszby
isfkaklv
veisfdp
#output
",k n x g h y v r y q z t s z b y i s f k a k l v v e i s f d p,k n x g h y v r y q z t s z b y i s f k a k l v v e i s f d p@
14,"#input
ccbztik
kgyfcawl
cpcklkqsx
cvfwkzd
#output
",c c b z t i k k g y f c a w l c p c k l k q s x c v f w k z d,c c b z t i k k g y f c a w l c p c k l k q s x c v f w k z d@
15,"#input
ytdbujaya
agwozldknd
sfwcdt
fvgwpz
#output
",y t d b u j a y a a g w o z l d k n d s f w c d t f v g w p z,y t d b u j a y a a g w o z l d k n d s f w c d t f v g w p z@
16,"#input
qjwvinq
hgcfpiuf
toxuycu
zwgqtsdzi
#output
",q j w v i n q h g c f p i u f t o x u y c u z w g q t s d z i,q j w v i n q h g c f p i u f t o x u y c u z w g q t s d z i@
17,"#input
tjifppwe
khvpma
xhgoexl
xcxjzdefhe
#output
",t j i f p p w e k h v p m a x h g o e x l x c x j z d e f h e,t j i f p p w e k h v p m a x h g o e x l x c x j z d e f h e@
18,"#input
bavpsi
uovwej
ramufceht
gdofudqdye
#output
",b a v p s i u o v w e j r a m u f c e h t g d o f u d q d y e,b a v p s i u o v w e j r a m u f c e h t g d o f u d q d y e@
19,"#input
icghxbbyf
zfbrwn
czkkiebymf
tjpqtr
#output
",i c g h x b b y f z f b r w n c z k k i e b y m f t j p q t r,i c g h x b b y f z f b r w n c z k k i e b y m f t j p q t r@
20,"#input
ywyogrv
wrsrqyqr
cbdvrufuu
taplfwf
#output
",y w y o g r v w r s r q y q r c b d v r u f u u t a p l f w f,y w y o g r v w r s r q y q r c b d v r u f u u t a p l f w f@
21,"#input
hkdpsqqn
tnxbjufbmr
xtnmhjc
uvmbdv
#output
",h k d p s q q n t n x b j u f b m r x t n m h j c u v m b d v,h k d p s q q n t n x b j u f b m r x t n m h j c u v m b d v@
22,"#input
jcfgqd
arrprwomn
gzuqxpjw
mzmnhjij
#output
",j c f g q d a r r p r w o m n g z u q x p j w m z m n h j i j,j c f g q d a r r p r w o m n g z u q x p j w m z m n h j i j@
23,"#input
qczzni
eyqssf
bhyoatkjm
pyveitxzbx
#output
",q c z z n i e y q s s f b h y o a t k j m p y v e i t x z b x,q c z z n i e y q s s f b h y o a t k j m p y v e i t x z b x@
24,"#input
oyhwpr
xvyinmen
gbuygackv
zgjyxghv
#output
",o y h w p r x v y i n m e n g b u y g a c k v z g j y x g h v,o y h w p r x v y i n m e n g b u y g a c k v z g j y x g h v@
25,"#input
xbfwmw
oafvgxuove
btvhnt
mcsevlkry
#output
",x b f w m w o a f v g x u o v e b t v h n t m c s e v l k r y,x b f w m w o a f v g x u o v e b t v h n t m c s e v l k r y@
26,"#input
hlvexp
yvupbbinh
wbkagbkrjm
jvxpti
#output
",h l v e x p y v u p b b i n h w b k a g b k r j m j v x p t i,h l v e x p y v u p b b i n h w b k a g b k r j m j v x p t i@
27,"#input
wvjvrv
ihjnhgbf
emxamsl
vsaciwhfkd
#output
",w v j v r v i h j n h g b f e m x a m s l v s a c i w h f k d,w v j v r v i h j n h g b f e m x a m s l v s a c i w h f k d@
28,"#input
jazivovp
euyqom
qgucefapl
nlxqnzbo
#output
",j a z i v o v p e u y q o m q g u c e f a p l n l x q n z b o,j a z i v o v p e u y q o m q g u c e f a p l n l x q n z b o@
29,"#input
phcemvg
sxikscs
wnwxgca
uuzizqhxrx
#output
",p h c e m v g s x i k s c s w n w x g c a u u z i z q h x r x,p h c e m v g s x i k s c s w n w x g c a u u z i z q h x r x@
30,"#input
vmyfbiwe
yztwsfmz
oarhhdsm
phdunmn
#output
",v m y f b i w e y z t w s f m z o a r h h d s m p h d u n m n,v m y f b i w e y z t w s f m z o a r h h d s m p h d u n m n@
31,"#input
tuyvzj
bvdnkoyua
gdvlijem
fxxxrvjf
#output
",t u y v z j b v d n k o y u a g d v l i j e m f x x x r v j f,t u y v z j b v d n k o y u a g d v l i j e m f x x x r v j f@
32,"#input
vweibt
lqwchtobpm
hbohqgr
myhdecve
#output
",v w e i b t l q w c h t o b p m h b o h q g r m y h d e c v e,v w e i b t l q w c h t o b p m h b o h q g r m y h d e c v e@
33,"#input
ejqhvvoq
qvxefpias
rrhxeb
rasbfogw
#output
",e j q h v v o q q v x e f p i a s r r h x e b r a s b f o g w,e j q h v v o q q v x e f p i a s r r h x e b r a s b f o g w@
34,"#input
vhsqottir
xkxbisv
duldvo
jtqahykyk
#output
",v h s q o t t i r x k x b i s v d u l d v o j t q a h y k y k,v h s q o t t i r x k x b i s v d u l d v o j t q a h y k y k@
35,"#input
dksmgmdxhe
qnwkez
aakjhniuv
shzgkj
#output
",d k s m g m d x h e q n w k e z a a k j h n i u v s h z g k j,d k s m g m d x h e q n w k e z a a k j h n i u v s h z g k j@
36,"#input
hobnohg
pgmsxpx
whyxwdy
vbpsyjnbab
#output
",h o b n o h g p g m s x p x w h y x w d y v b p s y j n b a b,h o b n o h g p g m s x p x w h y x w d y v b p s y j n b a b@
37,"#input
kwpicsgifd
qxgpokf
xisyoec
brtfxdx
#output
",k w p i c s g i f d q x g p o k f x i s y o e c b r t f x d x,k w p i c s g i f d q x g p o k f x i s y o e c b r t f x d x@
38,"#input
ciyrmyczc
retwlqpryk
gskdcm
uyqfoq
#output
",c i y r m y c z c r e t w l q p r y k g s k d c m u y q f o q,c i y r m y c z c r e t w l q p r y k g s k d c m u y q f o q@
39,"#input
vwvkipa
nukissf
bzbocvrycw
vbqahrl
#output
",v w v k i p a n u k i s s f b z b o c v r y c w v b q a h r l,v w v k i p a n u k i s s f b z b o c v r y c w v b q a h r l@
40,"#input
xobwdhex
waobtyput
ikedpqp
aiwptvf
#output
",x o b w d h e x w a o b t y p u t i k e d p q p a i w p t v f,x o b w d h e x w a o b t y p u t i k e d p q p a i w p t v f@
41,"#input
kxvkaj
ygbhzltpra
sngjfepzk
nfcmsa
#output
",k x v k a j y g b h z l t p r a s n g j f e p z k n f c m s a,k x v k a j y g b h z l t p r a s n g j f e p z k n f c m s a@
42,"#input
lvnglt
rxkryuoi
wmmwtkwn
dbptzihov
#output
",l v n g l t r x k r y u o i w m m w t k w n d b p t z i h o v,l v n g l t r x k r y u o i w m m w t k w n d b p t z i h o v@
43,"#input
ojutymtnp
ocmeke
ruvahf
phctmnqsmd
#output
",o j u t y m t n p o c m e k e r u v a h f p h c t m n q s m d,o j u t y m t n p o c m e k e r u v a h f p h c t m n q s m d@
44,"#input
njpasaafb
gkiomse
zivgbjxt
ennych
#output
",n j p a s a a f b g k i o m s e z i v g b j x t e n n y c h,n j p a s a a f b g k i o m s e z i v g b j x t e n n y c h@
45,"#input
ndkmmw
pjbdbwvm
cyqojr
fzqvpmvjnj
#output
",n d k m m w p j b d b w v m c y q o j r f z q v p m v j n j,n d k m m w p j b d b w v m c y q o j r f z q v p m v j n j@
46,"#input
nxfjzuvl
lqexdrin
uhoikw
mzevtgpe
#output
",n x f j z u v l l q e x d r i n u h o i k w m z e v t g p e,n x f j z u v l l q e x d r i n u h o i k w m z e v t g p e@
47,"#input
itximgw
zntiyh
enlxmzd
rzjluvdsac
#output
",i t x i m g w z n t i y h e n l x m z d r z j l u v d s a c,i t x i m g w z n t i y h e n l x m z d r z j l u v d s a c@
48,"#input
dnoakavz
aisvbpe
enuhafd
oanynszp
#output
",d n o a k a v z a i s v b p e e n u h a f d o a n y n s z p,d n o a k a v z a i s v b p e e n u h a f d o a n y n s z p@
49,"#input
qevqpqld
ltxqdkxd
zslehii
bqacrdq
#output
",q e v q p q l d l t x q d k x d z s l e h i i b q a c r d q,q e v q p q l d l t x q d k x d z s l e h i i b q a c r d q@
50,"#input
vokattuuru
dpwnkvwdvw
phkolithzi
#output
",v o k a t t u u r u d p w n k v w d v w p h k o l i t h z i,v o k a t t u u r u d p w n k v w d v w p h k o l i t h z i@
51,"#input
xntoesu
vkqddrz
wsejmeihyi
clglfl
#output
",x n t o e s u v k q d d r z w s e j m e i h y i c l g l f l,x n t o e s u v k q d d r z w s e j m e i h y i c l g l f l@
52,"#input
qngfiu
offyhaic
pbgjsvpy
jtvictkh
#output
",q n g f i u o f f y h a i c p b g j s v p y j t v i c t k h,q n g f i u o f f y h a i c p b g j s v p y j t v i c t k h@
53,"#input
kbekejsd
xhntca
zglloii
ueegcfysz
#output
",k b e k e j s d x h n t c a z g l l o i i u e e g c f y s z,k b e k e j s d x h n t c a z g l l o i i u e e g c f y s z@
54,"#input
pvzobv
ojxtkosgy
aebvay
ljeblnyvi
#output
",p v z o b v o j x t k o s g y a e b v a y l j e b l n y v i,p v z o b v o j x t k o s g y a e b v a y l j e b l n y v i@
55,"#input
vnzkircw
dypwmzh
awjvlhiio
ekykgp
#output
",v n z k i r c w d y p w m z h a w j v l h i i o e k y k g p,v n z k i r c w d y p w m z h a w j v l h i i o e k y k g p@
56,"#input
uijcwis
qtgsjaxg
wgfwgemhs
ralpvl
#output
",u i j c w i s q t g s j a x g w g f w g e m h s r a l p v l,u i j c w i s q t g s j a x g w g f w g e m h s r a l p v l@
57,"#input
nsgczkeyg
phvrrznp
lrvmze
jzoqexm
#output
",n s g c z k e y g p h v r r z n p l r v m z e j z o q e x m,n s g c z k e y g p h v r r z n p l r v m z e j z o q e x m@
58,"#input
xsbhfv
rgwndr
jgrstxfufv
qvbzqorb
#output
",x s b h f v r g w n d r j g r s t x f u f v q v b z q o r b,x s b h f v r g w n d r j g r s t x f u f v q v b z q o r b@
59,"#input
rlfatu
sosvtodvnx
erypbl
qatxhxwc
#output
",r l f a t u s o s v t o d v n x e r y p b l q a t x h x w c,r l f a t u s o s v t o d v n x e r y p b l q a t x h x w c@
60,"#input
rscjkkgeg
vikloju
vqguzeqn
obziam
#output
",r s c j k k g e g v i k l o j u v q g u z e q n o b z i a m,r s c j k k g e g v i k l o j u v q g u z e q n o b z i a m@
61,"#input
ynvkts
bjgcdxll
wgmxuiswub
yqwijk
#output
",y n v k t s b j g c d x l l w g m x u i s w u b y q w i j k,y n v k t s b j g c d x l l w g m x u i s w u b y q w i j k@
62,"#input
wgzhui
ujdflauu
drmaayzw
vrxzmobr
#output
",w g z h u i u j d f l a u u d r m a a y z w v r x z m o b r,w g z h u i u j d f l a u u d r m a a y z w v r x z m o b r@
63,"#input
bvpbus
uidrnlvl
ssrjogxro
ccrszbr
#output
",b v p b u s u i d r n l v l s s r j o g x r o c c r s z b r,b v p b u s u i d r n l v l s s r j o g x r o c c r s z b r@
