,example_input,example_output,all-generated-output
0,"#input
zpgswmsh
fyd
buuz
unlo
d
s
je
og
vfea
#output
","z p g s w m s h 
 f y d 
 b u u z 
 u n l o 
 d 
 s 
 j e 
 o g 
 v f e a","z p g s w m s h 
 f y d 
 b u u z 
 u n l o 
 d 
 s 
 j e 
 o g 
 v f e a@"
1,"#input
wnx
eaow
ydhwrkzdft
fal
tv
v
or
uhqmq
#output
","w n x 
 e a o w 
 y d h w r k z d f t 
 f a l 
 t v 
 v 
 o r 
 u h q m q","w n x 
 e a o w 
 y d h w r k z d f t 
 f a l 
 t v 
 v 
 o r 
 u h q m q@"
2,"#input
xmqsu
tljv
hlmap
mqbc
re
nruifgo
#output
","x m q s u 
 t l j v 
 h l m a p 
 m q b c 
 r e 
 n r u i f g o","x m q s u 
 t l j v 
 h l m a p 
 m q b c 
 r e 
 n r u i f g o@"
3,"#input
rxq
ztu
uecdsk
r
jwiql
o
z
poha
#output
","r x q 
 z t u 
 u e c d s k 
 r 
 j w i q l 
 o 
 z 
 p o h a","r x q 
 z t u 
 u e c d s k 
 r 
 j w i q l 
 o 
 z 
 p o h a@"
4,"#input
ozrw
oquht
tdb
bvs
xb
cbtcvtqqw
#output
","o z r w 
 o q u h t 
 t d b 
 b v s 
 x b 
 c b t c v t q q w","o z r w 
 o q u h t 
 t d b 
 b v s 
 x b 
 c b t c v t q q w@"
5,"#input
ck
lrlo
gwc
kqotf
z
lg
cjvfebvf
#output
","c k 
 l r l o 
 g w c 
 k q o t f 
 z 
 l g 
 c j v f e b v f","c k 
 l r l o 
 g w c 
 k q o t f 
 z 
 l g 
 c j v f e b v f@"
6,"#input
cgduy
raudk
h
j
kytyp
tqveysfut
#output
","c g d u y 
 r a u d k 
 h 
 j 
 k y t y p 
 t q v e y s f u t","c g d u y 
 r a u d k 
 h 
 j 
 k y t y p 
 t q v e y s f u t@"
7,"#input
rmjioxtm
qsq
mjgcu
jsip
oc
allp
#output
","r m j i o x t m 
 q s q 
 m j g c u 
 j s i p 
 o c 
 a l l p","r m j i o x t m 
 q s q 
 m j g c u 
 j s i p 
 o c 
 a l l p@"
8,"#input
aaosuja
mougo
jhp
mciq
xx
tffgb
#output
","a a o s u j a 
 m o u g o 
 j h p 
 m c i q 
 x x 
 t f f g b","a a o s u j a 
 m o u g o 
 j h p 
 m c i q 
 x x 
 t f f g b@"
9,"#input
tojt
zdhxcglj
yfnnn
hsq
z
rnqnq
#output
","t o j t 
 z d h x c g l j 
 y f n n n 
 h s q 
 z 
 r n q n q","t o j t 
 z d h x c g l j 
 y f n n n 
 h s q 
 z 
 r n q n q@"
10,"#input
kdmqa
xfkow
t
hrl
macic
ycqophl
#output
","k d m q a 
 x f k o w 
 t 
 h r l 
 m a c i c 
 y c q o p h l","k d m q a 
 x f k o w 
 t 
 h r l 
 m a c i c 
 y c q o p h l@"
11,"#input
mcobp
uhba
a
l
lfmnv
jrgvugnpl
#output
","m c o b p 
 u h b a 
 a 
 l 
 l f m n v 
 j r g v u g n p l","m c o b p 
 u h b a 
 a 
 l 
 l f m n v 
 j r g v u g n p l@"
12,"#input
lmzzgh
sfkkl
jjldo
lstt
o
amsn
#output
","l m z z g h 
 s f k k l 
 j j l d o 
 l s t t 
 o 
 a m s n","l m z z g h 
 s f k k l 
 j j l d o 
 l s t t 
 o 
 a m s n@"
13,"#input
ipsdocf
oasv
maet
rby
cx
stlpi
#output
","i p s d o c f 
 o a s v 
 m a e t 
 r b y 
 c x 
 s t l p i","i p s d o c f 
 o a s v 
 m a e t 
 r b y 
 c x 
 s t l p i@"
14,"#input
lbg
nnyq
w
iqsd
jbmkw
z
qrtxwq
#output
","l b g 
 n n y q 
 w 
 i q s d 
 j b m k w 
 z 
 q r t x w q","l b g 
 n n y q 
 w 
 i q s d 
 j b m k w 
 z 
 q r t x w q@"
15,"#input
xhejsc
yhnmw
ky
o
qfkho
s
ehtf
#output
","x h e j s c 
 y h n m w 
 k y 
 o 
 q f k h o 
 s 
 e h t f","x h e j s c 
 y h n m w 
 k y 
 o 
 q f k h o 
 s 
 e h t f@"
16,"#input
jwdwaq
dqdkh
vv
srmi
k
ly
xdvj
#output
","j w d w a q 
 d q d k h 
 v v 
 s r m i 
 k 
 l y 
 x d v j","j w d w a q 
 d q d k h 
 v v 
 s r m i 
 k 
 l y 
 x d v j@"
17,"#input
caytg
qlku
lwasts
gkj
hm
pvqrg
#output
","c a y t g 
 q l k u 
 l w a s t s 
 g k j 
 h m 
 p v q r g","c a y t g 
 q l k u 
 l w a s t s 
 g k j 
 h m 
 p v q r g@"
18,"#input
tucirnwvrz
mi
brbt
ivgm
l
ikq
#output
","t u c i r n w v r z 
 m i 
 b r b t 
 i v g m 
 l 
 i k q","t u c i r n w v r z 
 m i 
 b r b t 
 i v g m 
 l 
 i k q@"
19,"#input
cwff
sy
n
mgo
mrfaorh
ti
zczd
#output
","c w f f 
 s y 
 n 
 m g o 
 m r f a o r h 
 t i 
 z c z d","c w f f 
 s y 
 n 
 m g o 
 m r f a o r h 
 t i 
 z c z d@"
20,"#input
gshte
kp
esob
mb
rvzln
phddsv
#output
","g s h t e 
 k p 
 e s o b 
 m b 
 r v z l n 
 p h d d s v","g s h t e 
 k p 
 e s o b 
 m b 
 r v z l n 
 p h d d s v@"
21,"#input
jix
cag
qpfw
qcw
e
zu
ybtryux
#output
","j i x 
 c a g 
 q p f w 
 q c w 
 e 
 z u 
 y b t r y u x","j i x 
 c a g 
 q p f w 
 q c w 
 e 
 z u 
 y b t r y u x@"
22,"#input
bi
vh
jiigyqfel
hckgj
dj
wdwt
#output
","b i 
 v h 
 j i i g y q f e l 
 h c k g j 
 d j 
 w d w t","b i 
 v h 
 j i i g y q f e l 
 h c k g j 
 d j 
 w d w t@"
23,"#input
vvxrwkoc
lq
dedol
oqt
c
jkcyu
#output
","v v x r w k o c 
 l q 
 d e d o l 
 o q t 
 c 
 j k c y u","v v x r w k o c 
 l q 
 d e d o l 
 o q t 
 c 
 j k c y u@"
24,"#input
dbmcaeg
zss
qz
ade
xli
ar
jvl
#output
","d b m c a e g 
 z s s 
 q z 
 a d e 
 x l i 
 a r 
 j v l","d b m c a e g 
 z s s 
 q z 
 a d e 
 x l i 
 a r 
 j v l@"
25,"#input
fjqrltyatj
pumf
qa
cjxj
e
hwg
#output
","f j q r l t y a t j 
 p u m f 
 q a 
 c j x j 
 e 
 h w g","f j q r l t y a t j 
 p u m f 
 q a 
 c j x j 
 e 
 h w g@"
26,"#input
wwrobuie
texl
gtvyg
iy
z
zbwi
#output
","w w r o b u i e 
 t e x l 
 g t v y g 
 i y 
 z 
 z b w i","w w r o b u i e 
 t e x l 
 g t v y g 
 i y 
 z 
 z b w i@"
27,"#input
gyar
n
siuz
nvzl
zv
je
upvqfz
#output
","g y a r 
 n 
 s i u z 
 n v z l 
 z v 
 j e 
 u p v q f z","g y a r 
 n 
 s i u z 
 n v z l 
 z v 
 j e 
 u p v q f z@"
28,"#input
dpwmdzosbf
tscx
fqrx
snl
h
zp
#output
","d p w m d z o s b f 
 t s c x 
 f q r x 
 s n l 
 h 
 z p","d p w m d z o s b f 
 t s c x 
 f q r x 
 s n l 
 h 
 z p@"
29,"#input
uutikdjmxv
yamvp
jnt
ogv
wf
p
#output
","u u t i k d j m x v 
 y a m v p 
 j n t 
 o g v 
 w f 
 p","u u t i k d j m x v 
 y a m v p 
 j n t 
 o g v 
 w f 
 p@"
30,"#input
lfjbp
p
zg
bo
ppjkl
mp
jayhrv
#output
","l f j b p 
 p 
 z g 
 b o 
 p p j k l 
 m p 
 j a y h r v","l f j b p 
 p 
 z g 
 b o 
 p p j k l 
 m p 
 j a y h r v@"
31,"#input
hym
tzze
qiulu
fyrnnt
kh
knvn
#output
","h y m 
 t z z e 
 q i u l u 
 f y r n n t 
 k h 
 k n v n","h y m 
 t z z e 
 q i u l u 
 f y r n n t 
 k h 
 k n v n@"
32,"#input
kuptdry
aks
fwmg
xfwj
o
diasa
#output
","k u p t d r y 
 a k s 
 f w m g 
 x f w j 
 o 
 d i a s a","k u p t d r y 
 a k s 
 f w m g 
 x f w j 
 o 
 d i a s a@"
33,"#input
wwyjsuanb
flh
he
zgs
ujy
onff
#output
","w w y j s u a n b 
 f l h 
 h e 
 z g s 
 u j y 
 o n f f","w w y j s u a n b 
 f l h 
 h e 
 z g s 
 u j y 
 o n f f@"
34,"#input
hlqrlnan
fc
rtyxb
qdr
g
ifldx
#output
","h l q r l n a n 
 f c 
 r t y x b 
 q d r 
 g 
 i f l d x","h l q r l n a n 
 f c 
 r t y x b 
 q d r 
 g 
 i f l d x@"
35,"#input
ajch
hccvjfl
e
uz
jh
ewk
wvro
#output
","a j c h 
 h c c v j f l 
 e 
 u z 
 j h 
 e w k 
 w v r o","a j c h 
 h c c v j f l 
 e 
 u z 
 j h 
 e w k 
 w v r o@"
36,"#input
xsvw
ewehec
ikvqc
mbejy
by
wg
#output
","x s v w 
 e w e h e c 
 i k v q c 
 m b e j y 
 b y 
 w g","x s v w 
 e w e h e c 
 i k v q c 
 m b e j y 
 b y 
 w g@"
37,"#input
kitk
fmbc
dqlqx
grolgc
z
gmgn
#output
","k i t k 
 f m b c 
 d q l q x 
 g r o l g c 
 z 
 g m g n","k i t k 
 f m b c 
 d q l q x 
 g r o l g c 
 z 
 g m g n@"
38,"#input
ouq
kgtt
v
phrdh
ru
rgwunnisl
#output
","o u q 
 k g t t 
 v 
 p h r d h 
 r u 
 r g w u n n i s l","o u q 
 k g t t 
 v 
 p h r d h 
 r u 
 r g w u n n i s l@"
39,"#input
cfwk
o
rhif
rew
wff
y
iibhhwg
#output
","c f w k 
 o 
 r h i f 
 r e w 
 w f f 
 y 
 i i b h h w g","c f w k 
 o 
 r h i f 
 r e w 
 w f f 
 y 
 i i b h h w g@"
