,example_input,example_output,all-generated-output
0,"#input
k
lfze
aid
pfyb
zeac
bhqklyik
ao
fzja
pw
cuyh
#output
",k l f z e a i d p f y b z e a c b h q k l y i k a o f z j a p w c u y h,k l f z e a i d p f y b z e a c b h q k l y i k a o f z j a p w c u y h@
1,"#input
bop
cba
p
lhbes
zdtjq
ziyct
ivp
mfnorpo
wuv
#output
",b o p c b a p l h b e s z d t j q z i y c t i v p m f n o r p o w u v,b o p c b a p l h b e s z d t j q z i y c t i v p m f n o r p o w u v@
2,"#input
kuaksxz
rcjya
mn
ztj
yxpj
kor
tyun
rwhn
s
zo
#output
",k u a k s x z r c j y a m n z t j y x p j k o r t y u n r w h n s z o,k u a k s x z r c j y a m n z t j y x p j k o r t y u n r w h n s z o@
3,"#input
hm
af
fjqcm
bychmwed
jm
ulfe
akec
gn
l
qcxqc
#output
",h m a f f j q c m b y c h m w e d j m u l f e a k e c g n l q c x q c,h m a f f j q c m b y c h m w e d j m u l f e a k e c g n l q c x q c@
4,"#input
amro
tpfkbmnu
fivn
sxr
mjkiy
o
ys
nm
u
xitvy
#output
",a m r o t p f k b m n u f i v n s x r m j k i y o y s n m u x i t v y,a m r o t p f k b m n u f i v n s x r m j k i y o y s n m u x i t v y@
5,"#input
ta
twi
sebny
ian
djm
flexvuqus
xz
gex
ownl
#output
",t a t w i s e b n y i a n d j m f l e x v u q u s x z g e x o w n l,t a t w i s e b n y i a n d j m f l e x v u q u s x z g e x o w n l@
6,"#input
kuvqlb
iqlh
edupw
xtqpl
qi
tvpum
lz
ouyin
#output
",k u v q l b i q l h e d u p w x t q p l q i t v p u m l z o u y i n,k u v q l b i q l h e d u p w x t q p l q i t v p u m l z o u y i n@
7,"#input
qfzi
jimd
m
ws
whcbk
zhdk
dy
obsw
vesmhe
ld
#output
",q f z i j i m d m w s w h c b k z h d k d y o b s w v e s m h e l d,q f z i j i m d m w s w h c b k z h d k d y o b s w v e s m h e l d@
8,"#input
vybm
o
ab
lkat
b
fumde
ot
niccdmfz
dpcec
xa
#output
",v y b m o a b l k a t b f u m d e o t n i c c d m f z d p c e c x a,v y b m o a b l k a t b f u m d e o t n i c c d m f z d p c e c x a@
9,"#input
zehu
rtpvp
w
e
s
vy
yraakj
rcgc
qlwre
okfwm
#output
",z e h u r t p v p w e s v y y r a a k j r c g c q l w r e o k f w m,z e h u r t p v p w e s v y y r a a k j r c g c q l w r e o k f w m@
10,"#input
nbr
ilav
u
jonxv
knoao
bif
oko
jm
myegli
uf
#output
",n b r i l a v u j o n x v k n o a o b i f o k o j m m y e g l i u f,n b r i l a v u j o n x v k n o a o b i f o k o j m m y e g l i u f@
11,"#input
bsihp
zhcii
z
drvhp
ruc
exhtchf
a
iya
nkoj
#output
",b s i h p z h c i i z d r v h p r u c e x h t c h f a i y a n k o j,b s i h p z h c i i z d r v h p r u c e x h t c h f a i y a n k o j@
12,"#input
bzoke
osxvk
bjv
nq
zyoq
d
z
cuxsoclfh
kndg
#output
",b z o k e o s x v k b j v n q z y o q d z c u x s o c l f h k n d g,b z o k e o s x v k b j v n q z y o q d z c u x s o c l f h k n d g@
13,"#input
hle
twflhgsup
gmxq
wpsnu
khja
tej
iw
rlbq
#output
",h l e t w f l h g s u p g m x q w p s n u k h j a t e j i w r l b q,h l e t w f l h g s u p g m x q w p s n u k h j a t e j i w r l b q@
14,"#input
opjb
elwahj
qykqs
tmxdf
ndehy
kawg
lid
aj
#output
",o p j b e l w a h j q y k q s t m x d f n d e h y k a w g l i d a j,o p j b e l w a h j q y k q s t m x d f n d e h y k a w g l i d a j@
15,"#input
ebskx
bsexmxolsr
lckpz
kdmzb
zhrus
jkvt
#output
",e b s k x b s e x m x o l s r l c k p z k d m z b z h r u s j k v t,e b s k x b s e x m x o l s r l c k p z k d m z b z h r u s j k v t@
16,"#input
pdeze
arjrn
uah
cgpe
jqoqw
c
erwk
eimnfn
#output
",p d e z e a r j r n u a h c g p e j q o q w c e r w k e i m n f n,p d e z e a r j r n u a h c g p e j q o q w c e r w k e i m n f n@
17,"#input
wpsze
djjmobigd
qqgs
kv
nf
r
y
gku
hc
ibew
#output
",w p s z e d j j m o b i g d q q g s k v n f r y g k u h c i b e w,w p s z e d j j m o b i g d q q g s k v n f r y g k u h c i b e w@
18,"#input
zi
cpe
zqno
ektu
azyah
zhgac
iehplnijot
#output
",z i c p e z q n o e k t u a z y a h z h g a c i e h p l n i j o t,z i c p e z q n o e k t u a z y a h z h g a c i e h p l n i j o t@
19,"#input
jsdfvti
xji
gfdug
nnhe
mfx
f
cm
mwfv
ibdf
#output
",j s d f v t i x j i g f d u g n n h e m f x f c m m w f v i b d f,j s d f v t i x j i g f d u g n n h e m f x f c m m w f v i b d f@
20,"#input
fvsa
xuroh
rp
xyzgt
et
iwv
pudzkqt
fuoeq
#output
",f v s a x u r o h r p x y z g t e t i w v p u d z k q t f u o e q,f v s a x u r o h r p x y z g t e t i w v p u d z k q t f u o e q@
21,"#input
sopa
twpvp
ivnzkcknt
c
rvxa
sam
taz
sjwn
#output
",s o p a t w p v p i v n z k c k n t c r v x a s a m t a z s j w n,s o p a t w p v p i v n z k c k n t c r v x a s a m t a z s j w n@
22,"#input
hhawb
djz
k
fnq
xhrta
b
akab
q
lvdfifzhjo
#output
",h h a w b d j z k f n q x h r t a b a k a b q l v d f i f z h j o,h h a w b d j z k f n q x h r t a b a k a b q l v d f i f z h j o@
23,"#input
f
syrp
hadfymg
c
ujm
ab
i
yidi
mrozi
dcnfd
#output
",f s y r p h a d f y m g c u j m a b i y i d i m r o z i d c n f d,f s y r p h a d f y m g c u j m a b i y i d i m r o z i d c n f d@
24,"#input
u
qbroxmfu
vsghz
i
yquz
ogsab
xisz
q
dfj
f
#output
",u q b r o x m f u v s g h z i y q u z o g s a b x i s z q d f j f,u q b r o x m f u v s g h z i y q u z o g s a b x i s z q d f j f@
25,"#input
xwh
ivev
lq
ox
eesz
rbpxm
cj
oriqncuy
qoi
#output
",x w h i v e v l q o x e e s z r b p x m c j o r i q n c u y q o i,x w h i v e v l q o x e e s z r b p x m c j o r i q n c u y q o i@
26,"#input
tv
zaif
r
fsi
kt
stq
vhb
jd
gqovmwuxvb
msf
#output
",t v z a i f r f s i k t s t q v h b j d g q o v m w u x v b m s f,t v z a i f r f s i k t s t q v h b j d g q o v m w u x v b m s f@
27,"#input
sf
hszze
bgwr
oqlo
jq
zmoko
pzs
cufaqtot
#output
",s f h s z z e b g w r o q l o j q z m o k o p z s c u f a q t o t,s f h s z z e b g w r o q l o j q z m o k o p z s c u f a q t o t@
28,"#input
arfv
ukiseqjr
z
q
q
tfndu
lvxmv
cntuq
inj
#output
",a r f v u k i s e q j r z q q t f n d u l v x m v c n t u q i n j,a r f v u k i s e q j r z q q t f n d u l v x m v c n t u q i n j@
29,"#input
pegv
zcb
dvjlzddis
rl
zav
dqpca
vuk
os
u
g
#output
",p e g v z c b d v j l z d d i s r l z a v d q p c a v u k o s u g,p e g v z c b d v j l z d d i s r l z a v d q p c a v u k o s u g@
30,"#input
rzrzwnzkxs
mvrjv
ola
lp
skty
i
zdq
hwn
dq
#output
",r z r z w n z k x s m v r j v o l a l p s k t y i z d q h w n d q,r z r z w n z k x s m v r j v o l a l p s k t y i z d q h w n d q@
31,"#input
i
t
saq
rtl
n
xmzqo
ihrti
ytsvlszvh
msheo
#output
",i t s a q r t l n x m z q o i h r t i y t s v l s z v h m s h e o,i t s a q r t l n x m z q o i h r t i y t s v l s z v h m s h e o@
32,"#input
rkmu
yzonulpdum
kpc
jtmrn
o
vmgd
vuxa
kt
#output
",r k m u y z o n u l p d u m k p c j t m r n o v m g d v u x a k t,r k m u y z o n u l p d u m k p c j t m r n o v m g d v u x a k t@
33,"#input
z
qaafltqlcd
trzyh
in
c
hojr
d
mpm
axcv
eo
#output
",z q a a f l t q l c d t r z y h i n c h o j r d m p m a x c v e o,z q a a f l t q l c d t r z y h i n c h o j r d m p m a x c v e o@
34,"#input
zcd
sxnlj
pqsxq
ityye
otpnv
bpml
wmoaur
#output
",z c d s x n l j p q s x q i t y y e o t p n v b p m l w m o a u r,z c d s x n l j p q s x q i t y y e o t p n v b p m l w m o a u r@
35,"#input
gw
v
kx
pbhrwktgoe
luk
ats
htg
djo
ckw
uhj
#output
",g w v k x p b h r w k t g o e l u k a t s h t g d j o c k w u h j,g w v k x p b h r w k t g o e l u k a t s h t g d j o c k w u h j@
36,"#input
xwq
siownnml
x
glo
jkfyo
g
p
irk
gvs
bzaep
#output
",x w q s i o w n n m l x g l o j k f y o g p i r k g v s b z a e p,x w q s i o w n n m l x g l o j k f y o g p i r k g v s b z a e p@
37,"#input
wtxbg
uxop
g
jnrbqqyzdn
c
u
jnuhd
cxekm
c
#output
",w t x b g u x o p g j n r b q q y z d n c u j n u h d c x e k m c,w t x b g u x o p g j n r b q q y z d n c u j n u h d c x e k m c@
38,"#input
wf
x
u
lyejb
ypt
lb
x
pfguw
szsqgzxw
zouaf
#output
",w f x u l y e j b y p t l b x p f g u w s z s q g z x w z o u a f,w f x u l y e j b y p t l b x p f g u w s z s q g z x w z o u a f@
39,"#input
ekxeswf
zl
utihv
xukf
lro
dhccv
r
yvmn
yt
#output
",e k x e s w f z l u t i h v x u k f l r o d h c c v r y v m n y t,e k x e s w f z l u t i h v x u k f l r o d h c c v r y v m n y t@
40,"#input
blbyn
xbhwwaq
xbjkj
ctrco
acovt
hxfry
q
#output
",b l b y n x b h w w a q x b j k j c t r c o a c o v t h x f r y q,b l b y n x b h w w a q x b j k j c t r c o a c o v t h x f r y q@
41,"#input
ngpe
hg
oqfig
abnbzozkjc
gpq
csu
vjs
hmx
#output
",n g p e h g o q f i g a b n b z o z k j c g p q c s u v j s h m x,n g p e h g o q f i g a b n b z o z k j c g p q c s u v j s h m x@
42,"#input
ewiro
jg
kflef
fdh
kwbl
bm
en
hitikeix
ui
#output
",e w i r o j g k f l e f f d h k w b l b m e n h i t i k e i x u i,e w i r o j g k f l e f f d h k w b l b m e n h i t i k e i x u i@
43,"#input
htzde
zhl
ygqdx
ozq
sp
vgxnfeoj
to
q
d
qdt
#output
",h t z d e z h l y g q d x o z q s p v g x n f e o j t o q d q d t,h t z d e z h l y g q d x o z q s p v g x n f e o j t o q d q d t@
44,"#input
owlrvmg
fwrzr
ce
vuslo
s
qdv
sptgk
am
jla
#output
",o w l r v m g f w r z r c e v u s l o s q d v s p t g k a m j l a,o w l r v m g f w r z r c e v u s l o s q d v s p t g k a m j l a@
45,"#input
ujtya
bklr
m
iyprlbvhh
jr
cseu
binu
akik
#output
",u j t y a b k l r m i y p r l b v h h j r c s e u b i n u a k i k,u j t y a b k l r m i y p r l b v h h j r c s e u b i n u a k i k@
46,"#input
h
cfddkgydyu
mstwv
nwx
yephy
zcxq
mu
hvz
#output
",h c f d d k g y d y u m s t w v n w x y e p h y z c x q m u h v z,h c f d d k g y d y u m s t w v n w x y e p h y z c x q m u h v z@
47,"#input
wwkwga
fzmsl
ps
pn
toa
rlb
ai
tm
shut
kqqq
#output
",w w k w g a f z m s l p s p n t o a r l b a i t m s h u t k q q q,w w k w g a f z m s l p s p n t o a r l b a i t m s h u t k q q q@
48,"#input
dryq
unr
sm
rglisktz
nfehd
or
fjmo
t
lcep
#output
",d r y q u n r s m r g l i s k t z n f e h d o r f j m o t l c e p,d r y q u n r s m r g l i s k t z n f e h d o r f j m o t l c e p@
49,"#input
rsgm
pocwjklo
zna
iye
hgx
m
wzg
aodoi
zur
#output
",r s g m p o c w j k l o z n a i y e h g x m w z g a o d o i z u r,r s g m p o c w j k l o z n a i y e h g x m w z g a o d o i z u r@
50,"#input
byprr
lfgym
htea
qaaosln
qptk
pr
zx
acsb
#output
",b y p r r l f g y m h t e a q a a o s l n q p t k p r z x a c s b,b y p r r l f g y m h t e a q a a o s l n q p t k p r z x a c s b@
51,"#input
cgty
xqej
fgvho
wit
ikz
enk
xboc
yhlznpu
#output
",c g t y x q e j f g v h o w i t i k z e n k x b o c y h l z n p u,c g t y x q e j f g v h o w i t i k z e n k x b o c y h l z n p u@
52,"#input
xgnic
qbvptocdci
zrxsw
tpncr
x
dhuhl
du
#output
",x g n i c q b v p t o c d c i z r x s w t p n c r x d h u h l d u,x g n i c q b v p t o c d c i z r x s w t p n c r x d h u h l d u@
53,"#input
erzwv
clzdo
nqgezmfo
iwod
bi
mj
a
dmck
tq
#output
",e r z w v c l z d o n q g e z m f o i w o d b i m j a d m c k t q,e r z w v c l z d o n q g e z m f o i w o d b i m j a d m c k t q@
54,"#input
shmyetzki
o
ebc
wtw
vci
fijxe
lbot
cfxfy
#output
",s h m y e t z k i o e b c w t w v c i f i j x e l b o t c f x f y,s h m y e t z k i o e b c w t w v c i f i j x e l b o t c f x f y@
55,"#input
gkeen
ntu
ygc
p
mldl
qk
fhkzy
lu
cgscfwls
#output
",g k e e n n t u y g c p m l d l q k f h k z y l u c g s c f w l s,g k e e n n t u y g c p m l d l q k f h k z y l u c g s c f w l s@
56,"#input
vsmoa
mounr
sqh
pugp
lsnqujsnmv
ix
sv
on
#output
",v s m o a m o u n r s q h p u g p l s n q u j s n m v i x s v o n,v s m o a m o u n r s q h p u g p l s n q u j s n m v i x s v o n@
57,"#input
yhzki
uf
ue
caez
kh
vnvl
oqs
r
cyurceikhu
#output
",y h z k i u f u e c a e z k h v n v l o q s r c y u r c e i k h u,y h z k i u f u e c a e z k h v n v l o q s r c y u r c e i k h u@
58,"#input
nohngtz
iya
hy
vpjhi
zovn
h
omge
izgo
f
az
#output
",n o h n g t z i y a h y v p j h i z o v n h o m g e i z g o f a z,n o h n g t z i y a h y v p j h i z o v n h o m g e i z g o f a z@
59,"#input
xkq
lhh
jjitmmnkf
pig
zuqi
utd
hpl
d
n
mim
#output
",x k q l h h j j i t m m n k f p i g z u q i u t d h p l d n m i m,x k q l h h j j i t m m n k f p i g z u q i u t d h p l d n m i m@
60,"#input
duexjnytag
doapk
s
mndsm
xb
mwb
e
p
cnea
b
#output
",d u e x j n y t a g d o a p k s m n d s m x b m w b e p c n e a b,d u e x j n y t a g d o a p k s m n d s m x b m w b e p c n e a b@
61,"#input
dtjsn
apf
eqqp
alfpzy
sbpfm
hhdlp
uiln
#output
",d t j s n a p f e q q p a l f p z y s b p f m h h d l p u i l n,d t j s n a p f e q q p a l f p z y s b p f m h h d l p u i l n@
62,"#input
hp
m
vqxjy
mf
puq
aj
woy
pjpesgywg
x
vqto
#output
",h p m v q x j y m f p u q a j w o y p j p e s g y w g x v q t o,h p m v q x j y m f p u q a j w o y p j p e s g y w g x v q t o@
63,"#input
asdoc
yaij
ckeym
mly
blczymm
bpm
bqkts
#output
",a s d o c y a i j c k e y m m l y b l c z y m m b p m b q k t s,a s d o c y a i j c k e y m m l y b l c z y m m b p m b q k t s@
64,"#input
ymmjpn
ofiz
wy
mmxqu
rye
gz
jwd
f
uj
leuj
#output
",y m m j p n o f i z w y m m x q u r y e g z j w d f u j l e u j,y m m j p n o f i z w y m m x q u r y e g z j w d f u j l e u j@
65,"#input
tqcnx
t
jlumtcmak
hfdho
hfe
m
w
jalgm
n
o
#output
",t q c n x t j l u m t c m a k h f d h o h f e m w j a l g m n o,t q c n x t j l u m t c m a k h f d h o h f e m w j a l g m n o@
66,"#input
n
uzuhbvx
wqofz
pnu
dn
qoe
htuqv
im
vp
co
#output
",n u z u h b v x w q o f z p n u d n q o e h t u q v i m v p c o,n u z u h b v x w q o f z p n u d n q o e h t u q v i m v p c o@
67,"#input
shvg
y
ikrwbge
sj
duahg
mgcuy
n
qn
jzuyj
#output
",s h v g y i k r w b g e s j d u a h g m g c u y n q n j z u y j,s h v g y i k r w b g e s j d u a h g m g c u y n q n j z u y j@
68,"#input
axi
qt
qudn
iwowwstn
vitub
jth
lu
xio
xn
#output
",a x i q t q u d n i w o w w s t n v i t u b j t h l u x i o x n,a x i q t q u d n i w o w w s t n v i t u b j t h l u x i o x n@
69,"#input
fp
h
ykb
plnzh
of
mblv
mtsk
w
gfzrwxwmsz
#output
",f p h y k b p l n z h o f m b l v m t s k w g f z r w x w m s z,f p h y k b p l n z h o f m b l v m t s k w g f z r w x w m s z@
70,"#input
tjow
myfba
kk
mqiu
kni
qsgeau
cw
f
clvyt
#output
",t j o w m y f b a k k m q i u k n i q s g e a u c w f c l v y t,t j o w m y f b a k k m q i u k n i q s g e a u c w f c l v y t@
71,"#input
cw
plk
mhqk
smxw
apakhandrk
psm
ej
wlon
#output
",c w p l k m h q k s m x w a p a k h a n d r k p s m e j w l o n,c w p l k m h q k s m x w a p a k h a n d r k p s m e j w l o n@
72,"#input
ckb
scbu
zh
r
bkavcl
zc
gxyo
t
bxhyu
vcin
#output
",c k b s c b u z h r b k a v c l z c g x y o t b x h y u v c i n,c k b s c b u z h r b k a v c l z c g x y o t b x h y u v c i n@
73,"#input
pf
a
kxyq
mhsq
yb
axl
mnroevlpkb
oibu
ac
#output
",p f a k x y q m h s q y b a x l m n r o e v l p k b o i b u a c,p f a k x y q m h s q y b a x l m n r o e v l p k b o i b u a c@
74,"#input
hr
mlmchz
odngo
pwq
scobp
e
xzvu
tnt
vl
z
#output
",h r m l m c h z o d n g o p w q s c o b p e x z v u t n t v l z,h r m l m c h z o d n g o p w q s c o b p e x z v u t n t v l z@
75,"#input
vgasrcmxpo
fwgk
lxytz
x
ayudf
xj
gajqj
#output
",v g a s r c m x p o f w g k l x y t z x a y u d f x j g a j q j,v g a s r c m x p o f w g k l x y t z x a y u d f x j g a j q j@
76,"#input
fzlj
ozr
wj
s
auwxw
w
qfzk
jdymhzqi
xuor
#output
",f z l j o z r w j s a u w x w w q f z k j d y m h z q i x u o r,f z l j o z r w j s a u w x w w q f z k j d y m h z q i x u o r@
77,"#input
b
batx
xdslq
xa
td
flg
igcu
godnftqiow
i
#output
",b b a t x x d s l q x a t d f l g i g c u g o d n f t q i o w i,b b a t x x d s l q x a t d f l g i g c u g o d n f t q i o w i@
78,"#input
y
ytth
hebyc
yiupt
ameqm
w
e
fsmnuyt
cqr
#output
",y y t t h h e b y c y i u p t a m e q m w e f s m n u y t c q r,y y t t h h e b y c y i u p t a m e q m w e f s m n u y t c q r@
79,"#input
jiiituhad
dmfx
kpua
t
rmcl
jvzs
iqe
tzy
#output
",j i i i t u h a d d m f x k p u a t r m c l j v z s i q e t z y,j i i i t u h a d d m f x k p u a t r m c l j v z s i q e t z y@
80,"#input
ncol
xjwzd
ycxdtds
utczx
ijy
n
he
iucyn
#output
",n c o l x j w z d y c x d t d s u t c z x i j y n h e i u c y n,n c o l x j w z d y c x d t d s u t c z x i j y n h e i u c y n@
