,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
","e t k e z 
 q i m y l 
 o o p f j o m z y 
 s t o m w 
 z j u p u","e t k e z 
 q i m y l 
 o o p f j o m z y 
 s t o m w 
 z j u p u@"
1,"#input
euyop
txfbe
abuzajo
fovpf
iqtuy
#output
","e u y o p 
 t x f b e 
 a b u z a j o 
 f o v p f 
 i q t u y","e u y o p 
 t x f b e 
 a b u z a j o 
 f o v p f 
 i q t u y@"
2,"#input
ofkzj
aotge
nkucz
gykymey
gxxsa
#output
","o f k z j 
 a o t g e 
 n k u c z 
 g y k y m e y 
 g x x s a","o f k z j 
 a o t g e 
 n k u c z 
 g y k y m e y 
 g x x s a@"
3,"#input
eeyyy
noyyw
wqepo
nqjf
jqkaemyk
#output
","e e y y y 
 n o y y w 
 w q e p o 
 n q j f 
 j q k a e m y k","e e y y y 
 n o y y w 
 w q e p o 
 n q j f 
 j q k a e m y k@"
4,"#input
mycse
gcnp
jtwzrlvgb
fmzm
pbtgo
#output
","m y c s e 
 g c n p 
 j t w z r l v g b 
 f m z m 
 p b t g o","m y c s e 
 g c n p 
 j t w z r l v g b 
 f m z m 
 p b t g o@"
5,"#input
yghiz
dwfcblqb
jkbkn
jhgq
dywwr
#output
","y g h i z 
 d w f c b l q b 
 j k b k n 
 j h g q 
 d y w w r","y g h i z 
 d w f c b l q b 
 j k b k n 
 j h g q 
 d y w w r@"
6,"#input
clceekq
hblci
jqpg
kqnbe
kvbzt
#output
","c l c e e k q 
 h b l c i 
 j q p g 
 k q n b e 
 k v b z t","c l c e e k q 
 h b l c i 
 j q p g 
 k q n b e 
 k v b z t@"
7,"#input
oiqea
mymfd
pidzx
znynci
pvzag
#output
","o i q e a 
 m y m f d 
 p i d z x 
 z n y n c i 
 p v z a g","o i q e a 
 m y m f d 
 p i d z x 
 z n y n c i 
 p v z a g@"
8,"#input
jtkms
tsvz
txsow
nhrofmjx
gpks
#output
","j t k m s 
 t s v z 
 t x s o w 
 n h r o f m j x 
 g p k s","j t k m s 
 t s v z 
 t x s o w 
 n h r o f m j x 
 g p k s@"
9,"#input
duujp
anrtljck
zjshb
bxr
xmla
#output
","d u u j p 
 a n r t l j c k 
 z j s h b 
 b x r 
 x m l a","d u u j p 
 a n r t l j c k 
 z j s h b 
 b x r 
 x m l a@"
10,"#input
mboxg
waxgs
gydpjl
ucoao
gwtl
#output
","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l@"
11,"#input
wmulk
tkfaukwt
bdcvc
qovj
oee
#output
","w m u l k 
 t k f a u k w t 
 b d c v c 
 q o v j 
 o e e","w m u l k 
 t k f a u k w t 
 b d c v c 
 q o v j 
 o e e@"
12,"#input
wkqta
snzbl
ocssvtzr
oaudv
sk
#output
","w k q t a 
 s n z b l 
 o c s s v t z r 
 o a u d v 
 s k","w k q t a 
 s n z b l 
 o c s s v t z r 
 o a u d v 
 s k@"
13,"#input
ryzuwjij
wuxqn
xzfgg
khfh
xmy
#output
","r y z u w j i j 
 w u x q n 
 x z f g g 
 k h f h 
 x m y","r y z u w j i j 
 w u x q n 
 x z f g g 
 k h f h 
 x m y@"
14,"#input
aqui
curbg
pqqs
lixbi
dpebgkl
#output
","a q u i 
 c u r b g 
 p q q s 
 l i x b i 
 d p e b g k l","a q u i 
 c u r b g 
 p q q s 
 l i x b i 
 d p e b g k l@"
15,"#input
iycnytws
kbw
pujdj
mxavt
ptsp
#output
","i y c n y t w s 
 k b w 
 p u j d j 
 m x a v t 
 p t s p","i y c n y t w s 
 k b w 
 p u j d j 
 m x a v t 
 p t s p@"
16,"#input
kns
rkeyt
cnduhie
mrzsz
cvywp
#output
","k n s 
 r k e y t 
 c n d u h i e 
 m r z s z 
 c v y w p","k n s 
 r k e y t 
 c n d u h i e 
 m r z s z 
 c v y w p@"
17,"#input
ep
orkd
qqlna
kxxhldxti
ftlom
#output
","e p 
 o r k d 
 q q l n a 
 k x x h l d x t i 
 f t l o m","e p 
 o r k d 
 q q l n a 
 k x x h l d x t i 
 f t l o m@"
18,"#input
cwoj
juyy
aghcb
thvdh
qjoefze
#output
","c w o j 
 j u y y 
 a g h c b 
 t h v d h 
 q j o e f z e","c w o j 
 j u y y 
 a g h c b 
 t h v d h 
 q j o e f z e@"
19,"#input
cnjzp
wrbrnu
zgytv
xugdc
eifb
#output
","c n j z p 
 w r b r n u 
 z g y t v 
 x u g d c 
 e i f b","c n j z p 
 w r b r n u 
 z g y t v 
 x u g d c 
 e i f b@"
20,"#input
pjjsi
cujk
m
dlprzmjvaf
pwzhe
#output
","p j j s i 
 c u j k 
 m 
 d l p r z m j v a f 
 p w z h e","p j j s i 
 c u j k 
 m 
 d l p r z m j v a f 
 p w z h e@"
21,"#input
wngu
kimiqabq
xrmky
hsz
tcsqy
#output
","w n g u 
 k i m i q a b q 
 x r m k y 
 h s z 
 t c s q y","w n g u 
 k i m i q a b q 
 x r m k y 
 h s z 
 t c s q y@"
22,"#input
lfbgt
zvmhs
gmaeojnf
fxc
pjuy
#output
","l f b g t 
 z v m h s 
 g m a e o j n f 
 f x c 
 p j u y","l f b g t 
 z v m h s 
 g m a e o j n f 
 f x c 
 p j u y@"
23,"#input
goqeh
ysxchqwr
aambw
ihgp
foo
#output
","g o q e h 
 y s x c h q w r 
 a a m b w 
 i h g p 
 f o o","g o q e h 
 y s x c h q w r 
 a a m b w 
 i h g p 
 f o o@"
24,"#input
szzv
pfmq
zczzdde
ervaa
yiosd
#output
","s z z v 
 p f m q 
 z c z z d d e 
 e r v a a 
 y i o s d","s z z v 
 p f m q 
 z c z z d d e 
 e r v a a 
 y i o s d@"
