,example_input,example_output,all-generated-output
0,"#input
puovnqdkbv
iqphrdruow
uwvfhybprf
bgifwvxda
fawbhzduhp
#output
","v b k d q n v o u p 
 w o u r d r h p q i 
 f r p b y h f v w u 
 a d x v w f i g b 
 p h u d z h b w a f","v o v o u p 
 w o r h p q i 
 x b f f v w u 
 a w w f i g b 
 h z h b w a f@"
1,"#input
uthqnfghhq
gjhplzdqml
ujeonlkko
niqpcabzsd
pntwgpkkrs
#output
","q h h g f n q h t u 
 l m q d z l p h j g 
 o k k l n o e j u 
 d s z b a c p q i n 
 s r k k p g w t n p","h f q q h t u 
 l o l p h j g 
 k o n o e j u 
 d b a p q i n 
 s k g w t n p@"
2,"#input
ireveizsxk
zjfifrmouk
uoihgtolhb
fouqtnvqv
rjiamcljix
#output
","k x s z i e v e r i 
 k u o m r f i f j z 
 b h l o t g h i o u 
 v q v n t q u o f 
 x i j l c m a i j r","k e v e r i 
 k o m f i f j z 
 b t h h i o u 
 v t q n q u o f 
@"
3,"#input
kcoknbtkhr
zfvegmifh
kvkmmdbwsf
skzaukbvfx
jlmqdacyfd
#output
","r h k t b n k o c k 
 h f i m g e v f z 
 f s w b d m m k v k 
 x f v b k u a z k s 
 d f y c a d q m l j","r b k k o c k 
 h i g e v f z 
 s w b m k v k 
 x b k a z k s 
 d y a q m l j@"
4,"#input
cylqzgzlxa
fgwuxabeza
dvgtyuajim
zsbvspny
ttdknrodnq
#output
","a x l z g z q l y c 
 a z e b a x u w g f 
 m i j a u y t g v d 
 y n p s v b s z 
 q n d o r n k d t t","x o q l y c 
 a b x u w g f 
 m j y t g v d 
 y s v b s z 
 n o n k d t t@"
5,"#input
hhkiomagg
shkobkppjn
clrqbfhcoq
yvfcngtfeb
thsbjzyap
#output
","g g a m o i k h h 
 n j p p k b o k h s 
 q o c h f b q r l c 
 b e f t g n c f v y 
 p a y z j b s h t","g m i k h h 
 n j b o k h s 
 q b q q r l c 
 b g n c f v y 
@"
6,"#input
kevzuvkj
eaaockhctv
mpqmjaovcb
pehualowja
eiqgaayjat
#output
","j k v u z v e k 
 v t c h k c o a a e 
 b c v o a j m q p m 
 a j w o l a u h e p 
 t a j y a a g q i e","j v z v e k 
 t k c o a a e 
 b w b j m q p m 
 a w a u h e p 
 a y a g q i e@"
7,"#input
dgzdthohkm
seklgrih
duvpliphpb
kzayfsjrmw
cmatidnklo
#output
","m k h o h t d z g d 
 h i r g l k e s 
 b p h p i l p v u d 
 w m r j s f y a z k 
 o l k n d i t a m c","k o d z g d 
 h g l k e s 
 b p b p v u d 
 w m 
 w o k o t a m c 
 l g a m c@"
8,"#input
pjpxdxjoe
ttiobliww
kmburopzsm
fzvepnbbsb
alathiyoal
#output
","e o j x d x p j p 
 w w i l b o i t t 
 m s z p o r u b m k 
 b s b b n p e v z f 
 l a o y i h t a l a","e o x x p j p 
 w b o i t t 
 m o i u b m k 
 b b n e v z f 
 l o b t a l a@"
9,"#input
giqhihzzws
tfdlcartsx
vdtcdbsec
znsaqzgdgh
oonbczvgn
#output
","s w z z h i h q i g 
 x s t r a c l d f t 
 c e s b d c t d v 
 h g d g z q a s n z 
 n g v z c b n o o","s h z h q i g 
 x t a l d f t 
 s b c c t d v 
 g z a q a s n z 
 n g z b n o o@"
