,example_input,example_output,all-generated-output
0,"#input
oyjy
ajsa
u
agmkj
wra
aajvj
#output
","y j y o 
 a s j a 
 u 
 j k m g a 
 a r w 
 j v j a a","y j y o 
 a s j a 
 u 
 j k m g a 
 a r w 
 j v j a a@"
1,"#input
rci
izt
iuimm
mpc
psydb
fax
#output
","i c r 
 t z i 
 m m i u i 
 c p m 
 b d y s p 
 x a f","i c r 
 t z i 
 m m i u i 
 c p m 
 b d y s p 
 x a f@"
2,"#input
cr
bcyue
xo
qtc
cczc
byeci
#output
","r c 
 e u y c b 
 o x 
 c t q 
 c z c c 
 i c e y b","r c 
 e u y c b 
 o x 
 c t q 
 c z c c 
 i c e y b@"
3,"#input
br
nzbze
xde
cgit
gc
wnxff
#output
","r b 
 e z b z n 
 e d x 
 t i g c 
 c g 
 f f x n w","r b 
 e z b z n 
 e d x 
 t i g c 
 c g 
 f f x n w@"
4,"#input
irnvv
jhzu
o
lorp
fkepc
rx
#output
","v v n r i 
 u z h j 
 o 
 p r o l 
 c p e k f 
 x r","v v n r i 
 u z h j 
 o 
 p r o l 
 c p e k f 
 x r@"
5,"#input
zj
qo
rlvbd
mec
jhue
xcsut
#output
","j z 
 o q 
 d b v l r 
 c e m 
 e u h j 
 t u s c x","j z 
 o q 
 d b v l r 
 c e m 
 e u h j 
 t u s c x@"
6,"#input
dsgv
husq
ah
rygx
od
nwbzd
#output
","v g s d 
 q s u h 
 h a 
 x g y r 
 d o 
 d z b w n","v g s d 
 q s u h 
 h a 
 x g y r 
 d o 
 d z b w n@"
7,"#input
dh
zvtqg
x
pscmz
qpmgp
csj
#output
","h d 
 g q t v z 
 x 
 z m c s p 
 p g m p q 
 j s c","h d 
 g q t v z 
 x 
 z m c s p 
 p g m p q 
 j s c@"
8,"#input
uwo
dw
waqq
mmqlp
vf
wkrtz
#output
","o w u 
 w d 
 q q a w 
 p l q m m 
 f v 
 z t r k w","o w u 
 w d 
 q q a w 
 p l q m m 
 f v 
 z t r k w@"
9,"#input
ezam
p
ugjnj
hrnw
jvmed
hl
#output
","m a z e 
 p 
 j n j g u 
 w n r h 
 d e m v j 
 l h","m a z e 
 p 
 j n j g u 
 w n r h 
 d e m v j 
 l h@"
10,"#input
vvj
mczbl
syxoa
rgif
fs
nv
#output
","j v v 
 l b z c m 
 a o x y s 
 f i g r 
 s f 
 v n","j v v 
 l b z c m 
 a o x y s 
 f i g r 
 s f 
 v n@"
11,"#input
vmga
gdw
fmjq
xba
zd
fkfwq
#output
","a g m v 
 w d g 
 q j m f 
 a b x 
 d z 
 q w f k f","a g m v 
 w d g 
 q j m f 
 a b x 
 d z 
 q w f k f@"
12,"#input
hrq
qndfj
i
feq
cwnt
hprab
#output
","q r h 
 j f d n q 
 i 
 q e f 
 t n w c 
 b a r p h","q r h 
 j f d n q 
 i 
 q e f 
 t n w c 
 b a r p h@"
13,"#input
l
yjuyo
ec
dhtzm
is
bhtxd
#output
","l 
 o y u j y 
 c e 
 m z t h d 
 s i 
 d x t h b","l 
 o y u j y 
 c e 
 m z t h d 
 s i 
 d x t h b@"
14,"#input
dyrur
c
kbwqq
hzzhb
j
nwn
#output
","r u r y d 
 c 
 q q w b k 
 b h z z h 
 j 
 n w n","r u r y d 
 c 
 q q w b k 
 b h z z h 
 j 
 n w n@"
15,"#input
psi
gogkb
e
rxwl
jeatb
az
#output
","i s p 
 b k g o g 
 e 
 l w x r 
 b t a e j 
 z a","i s p 
 b k g o g 
 e 
 l w x r 
 b t a e j 
 z a@"
16,"#input
lnw
jsz
vsuwa
pmuc
ldws
f
#output
","w n l 
 z s j 
 a w u s v 
 c u m p 
 s w d l 
 f","w n l 
 z s j 
 a w u s v 
 c u m p 
 s w d l 
 f@"
17,"#input
iqa
ksyr
mwoxv
ooe
vtsy
c
#output
","a q i 
 r y s k 
 v x o w m 
 e o o 
 y s t v 
 c","a q i 
 r y s k 
 v x o w m 
 e o o 
 y s t v 
 c@"
18,"#input
rcrw
llvf
btzag
wnlq
zo
z
#output
","w r c r 
 f v l l 
 g a z t b 
 q l n w 
 o z 
 z","w r c r 
 f v l l 
 g a z t b 
 q l n w 
 o z 
 z@"
19,"#input
gez
j
fjwws
qexuo
ftcg
vj
#output
","z e g 
 j 
 s w w j f 
 o u x e q 
 g c t f 
 j v","z e g 
 j 
 s w w j f 
 o u x e q 
 g c t f 
 j v@"
20,"#input
ogo
dt
lxcb
is
ybxk
hkzzw
#output
","o g o 
 t d 
 b c x l 
 s i 
 k x b y 
 w z z k h","o g o 
 t d 
 b c x l 
 s i 
 k x b y 
 w z z k h@"
21,"#input
g
lzr
xzqyq
zqxlm
azy
kjo
#output
","g 
 r z l 
 q y q z x 
 m l x q z 
 y z a 
 o j k","g 
 r z l 
 q y q z x 
 m l x q z 
 y z a 
 o j k@"
22,"#input
p
trbrg
khu
nmuxb
ffggs
k
#output
","p 
 g r b r t 
 u h k 
 b x u m n 
 s g g f f 
 k","p 
 g r b r t 
 u h k 
 b x u m n 
 s g g f f 
 k@"
