,example_input,example_output,all-generated-output
0,"#input
ynkrz
zytchiphw
apzpw
arg
awotm
#output
","y n k r z 
 z y t c h i p h w 
 a p z p w 
 a r g 
 a w o t m","y n k r z 
 z y t c h i p h w 
 a p z p w 
 a r g 
 a w o t m@"
1,"#input
clceekq
hblci
jqpg
kqnbe
kvbzt
#output
","c l c e e k q 
 h b l c i 
 j q p g 
 k q n b e 
 k v b z t","c l c e e k q 
 h b l c i 
 j q p g 
 k q n b e 
 k v b z t@"
2,"#input
hpnua
hrl
pfxab
iona
esyaqvbuu
#output
","h p n u a 
 h r l 
 p f x a b 
 i o n a 
 e s y a q v b u u","h p n u a 
 h r l 
 p f x a b 
 i o n a 
 e s y a q v b u u@"
3,"#input
ydasrprlfg
iq
htmqy
wvq
pddxo
#output
","y d a s r p r l f g 
 i q 
 h t m q y 
 w v q 
 p d d x o","y d a s r p r l f g 
 i q 
 h t m q y 
 w v q 
 p d d x o@"
4,"#input
duujp
anrtljck
zjshb
bxr
xmla
#output
","d u u j p 
 a n r t l j c k 
 z j s h b 
 b x r 
 x m l a","d u u j p 
 a n r t l j c k 
 z j s h b 
 b x r 
 x m l a@"
5,"#input
iwpq
ropj
oglj
mpk
bdeadntodu
#output
","i w p q 
 r o p j 
 o g l j 
 m p k 
 b d e a d n t o d u","i w p q 
 r o p j 
 o g l j 
 m p k 
 b d e a d n t o d u@"
6,"#input
mboxg
waxgs
gydpjl
ucoao
gwtl
#output
","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l","m b o x g 
 w a x g s 
 g y d p j l 
 u c o a o 
 g w t l@"
7,"#input
lldsokjms
xdal
wwfvd
blqdn
fg
#output
","l l d s o k j m s 
 x d a l 
 w w f v d 
 b l q d n 
 f g","l l d s o k j m s 
 x d a l 
 w w f v d 
 b l q d n 
 f g@"
8,"#input
fqys
intqqixzp
rr
kauqk
xhqku
#output
","f q y s 
 i n t q q i x z p 
 r r 
 k a u q k 
 x h q k u","f q y s 
 i n t q q i x z p 
 r r 
 k a u q k 
 x h q k u@"
9,"#input
ryzuwjij
wuxqn
xzfgg
khfh
xmy
#output
","r y z u w j i j 
 w u x q n 
 x z f g g 
 k h f h 
 x m y","r y z u w j i j 
 w u x q n 
 x z f g g 
 k h f h 
 x m y@"
10,"#input
aqui
curbg
pqqs
lixbi
dpebgkl
#output
","a q u i 
 c u r b g 
 p q q s 
 l i x b i 
 d p e b g k l","a q u i 
 c u r b g 
 p q q s 
 l i x b i 
 d p e b g k l@"
11,"#input
mbmag
rarh
hllkgrex
gjq
jtskp
#output
","m b m a g 
 r a r h 
 h l l k g r e x 
 g j q 
 j t s k p","m b m a g 
 r a r h 
 h l l k g r e x 
 g j q 
 j t s k p@"
12,"#input
lfcdollxaw
jatpv
grdp
q
vshrm
#output
","l f c d o l l x a w 
 j a t p v 
 g r d p 
 q 
 v s h r m","l f c d o l l x a w 
 j a t p v 
 g r d p 
 q 
 v s h r m@"
13,"#input
czjjwdhsm
rikwk
wtqq
iuwy
sfj
#output
","c z j j w d h s m 
 r i k w k 
 w t q q 
 i u w y 
 s f j","c z j j w d h s m 
 r i k w k 
 w t q q 
 i u w y 
 s f j@"
14,"#input
iycnytws
kbw
pujdj
mxavt
ptsp
#output
","i y c n y t w s 
 k b w 
 p u j d j 
 m x a v t 
 p t s p","i y c n y t w s 
 k b w 
 p u j d j 
 m x a v t 
 p t s p@"
15,"#input
vyqjlyopn
ekwty
el
yqrk
nuuzq
#output
","v y q j l y o p n 
 e k w t y 
 e l 
 y q r k 
 n u u z q","v y q j l y o p n 
 e k w t y 
 e l 
 y q r k 
 n u u z q@"
16,"#input
mvynf
otcms
bapdyvlqbs
l
qqge
#output
","m v y n f 
 o t c m s 
 b a p d y v l q b s 
 l 
 q q g e","m v y n f 
 o t c m s 
 b a p d y v l q b s 
 l 
 q q g e@"
