,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
","e t k e z 
 q i m y l 
 o o p f j o m z y 
 s t o m w 
 z j u p u","e t k e z 
 q i m y l 
 o o p f o 
 s t o m w 
 z j u p u@"
1,"#input
jiptd
wsazt
dufdd
gtoghwvmaj
moxs
#output
","j i p t d 
 w s a z t 
 d u f d d 
 g t o g h w v m a j 
 m o x s","j i p t d 
 w s a z t 
 d u f d d 
 g t o g w 
 m o x s h@"
2,"#input
svjh
dtpxe
qycdl
kjboa
asyytnxkmv
#output
","s v j h 
 d t p x e 
 q y c d l 
 k j b o a 
 a s y y t n x k m v","s v j h 
 d t p x e 
 q y c d l 
 k j b o a 
 a s y y k@"
3,"#input
nvnxyrpocz
ydnd
xykjd
thiwo
ohgl
#output
","n v n x y r p o c z 
 y d n d 
 x y k j d 
 t h i w o 
 o h g l","n v n x c 
 y d n d o 
 x y k j d 
 t h i w o 
 o h g l@"
4,"#input
waxb
vdqad
kxls
ppekihjopf
mpphw
#output
","w a x b 
 v d q a d 
 k x l s 
 p p e k i h j o p f 
 m p p h w","w a x b 
 v d q a d 
 k x l s 
 p p e k j 
 m p p h w@"
5,"#input
cpkbiedbl
oryxx
tfwok
zjkq
dhewa
#output
","c p k b i e d b l 
 o r y x x 
 t f w o k 
 z j k q 
 d h e w a","c p k b l 
 o r y x l 
 t f w o k 
 z j k q 
 d h e w a@"
6,"#input
berwi
grnqelejfy
abxlh
yhizg
oue
#output
","b e r w i 
 g r n q e l e j f y 
 a b x l h 
 y h i z g 
 o u e","b e r w i 
 g r n q y 
 a b x l h 
 y h i z g 
 o u e@"
7,"#input
ivtqazzrnl
ren
ubbnk
teqnr
gbpqe
#output
","i v t q a z z r n l 
 r e n 
 u b b n k 
 t e q n r 
 g b p q e","i v t q a 
 r e n 
 u b b n k 
 t e q n r 
 g b p q e@"
8,"#input
pwerz
pkfw
dqpcs
pgxfo
yorbcipcx
#output
","p w e r z 
 p k f w 
 d q p c s 
 p g x f o 
 y o r b c i p c x","p w e r z 
 p k f w 
 d q p c s 
 p g x f c 
 y o r b c@"
9,"#input
gbeu
lqvov
unvtwpyose
xlizd
homw
#output
","g b e u 
 l q v o v 
 u n v t w p y o s e 
 x l i z d 
 h o m w","g b e u 
 l q v o v 
 u n v t p 
 x l i z d 
 h o m w d@"
10,"#input
fhpat
gxs
unwvk
bczeflpssk
yolbj
#output
","f h p a t 
 g x s 
 u n w v k 
 b c z e f l p s s k 
 y o l b j","f h p a t 
 g x s 
 u n w v k 
 b c z e s 
 y o l b j@"
11,"#input
hnuxf
ooukz
mtvzqflmah
mlcj
imnj
#output
","h n u x f 
 o o u k z 
 m t v z q f l m a h 
 m l c j 
 i m n j","h n u x f 
 o o u k z 
 m t v z a h m 
 m l c j 
 i m n j@"
12,"#input
bmogmbhic
tsec
tsnro
jshli
gonvw
#output
","b m o g m b h i c 
 t s e c 
 t s n r o 
 j s h l i 
 g o n v w","b m o g h 
 t s e c b 
 t s n r o 
 j s h l i 
 g o n v w@"
13,"#input
fximn
pcmfp
vmc
dykfg
qgwjbybqwg
#output
","f x i m n 
 p c m f p 
 v m c 
 d y k f g 
 q g w j b y b q w g","f x i m n 
 p c m f p 
 v m c 
 d y k f g 
 q g w j y g w g@"
14,"#input
vycqu
lls
obcidakrid
qmbnv
zxtjo
#output
","v y c q u 
 l l s 
 o b c i d a k r i d 
 q m b n v 
 z x t j o","v y c q u 
 l l s 
 o b c i k 
 q m b n d 
 z x t j o@"
15,"#input
aqsbvkpaou
ndsee
fggyz
yop
icsfp
#output
","a q s b v k p a o u 
 n d s e e 
 f g g y z 
 y o p 
 i c s f p","a q s b k 
 n d s e u 
 f g g y z 
 y o p 
 i c s f p@"
16,"#input
euyop
txfbe
abuzajo
fovpf
iqtuy
#output
","e u y o p 
 t x f b e 
 a b u z a j o 
 f o v p f 
 i q t u y","e u y o p 
 t x f b e 
 a b u z o 
 f o v p j 
 i q t u y@"
17,"#input
fzd
pqfdw
oaoaykidxs
ecjpv
dodz
#output
","f z d 
 p q f d w 
 o a o a y k i d x s 
 e c j p v 
 d o d z","f z d 
 p q f d w 
 o a o a i 
 e c j p v 
 d o d z@"
18,"#input
xt
hbubm
uxvsl
bhycp
rfvfghgdfg
#output
","x t 
 h b u b m 
 u x v s l 
 b h y c p 
 r f v f g h g d f g","x t 
 h b u b m 
 u x v s l 
 b h y c p 
 r f v f g@"
19,"#input
wtqn
yytpgclmwg
hjniu
pzwe
bzqq
#output
","w t q n 
 y y t p g c l m w g 
 h j n i u 
 p z w e 
 b z q q","w t q n 
 y y t p g 
 h j n i u 
 p z w e 
 b z q q@"
20,"#input
igwrz
ulx
pdmbrjasj
woxkc
ctyuw
#output
","i g w r z 
 u l x 
 p d m b r j a s j 
 w o x k c 
 c t y u w","i g w r z 
 u l x 
 p d m b j 
 w o x k c 
 c t y u w@"
