,example_input,example_output,all-generated-output
0,"#input
xntw
xgvz
vjsjn
opksy
l
wuyhq
#output
","x n t w 
 x g v z 
 v j s j n 
 o p k s y 
 l 
 w u y h q","x n t w 
 x g v z 
 v j s j n 
 o p k s y 
 l 
 w u y h q@"
1,"#input
oznmy
mm
tvoon
kg
ewwge
juyw
#output
","o z n m y 
 m m 
 t v o o n 
 k g 
 e w w g e 
 j u y w","o z n m y 
 m m 
 t v o o n 
 k g 
 e w w g e 
 j u y w@"
2,"#input
lj
rz
ttqvz
pjuep
bpmc
ulgqh
#output
","l j 
 r z 
 t t q v z 
 p j u e p 
 b p m c 
 u l g q h","l j 
 r z 
 t t q v z 
 p j u e p 
 b p m c 
 u l g q h@"
3,"#input
acow
mch
xfxrs
cvsbs
f
rysdm
#output
","a c o w 
 m c h 
 x f x r s 
 c v s b s 
 f 
 r y s d m","a c o w 
 m c h 
 x f x r s 
 c v s b s 
 f 
 r y s d m@"
4,"#input
ul
ignrf
voal
mf
mfnxj
uhvoc
#output
","u l 
 i g n r f 
 v o a l 
 m f 
 m f n x j 
 u h v o c","u l 
 i g n r f 
 v o a l 
 m f 
 m f n x j 
 u h v o c@"
5,"#input
hapoc
fchur
hi
fnxjt
f
yhdkj
#output
","h a p o c 
 f c h u r 
 h i 
 f n x j t 
 f 
 y h d k j","h a p o c 
 f c h u r 
 h i 
 f n x j t 
 f 
 y h d k j@"
6,"#input
t
mtdsr
ehnr
huhso
bkbsr
lt
#output
","t 
 m t d s r 
 e h n r 
 h u h s o 
 b k b s r 
 l t","t 
 m t d s r 
 e h n r 
 h u h s o 
 b k b s r 
 l t@"
7,"#input
u
dnmbr
bpoo
uv
hsqqe
klwtv
#output
","u 
 d n m b r 
 b p o o 
 u v 
 h s q q e 
 k l w t v","u 
 d n m b r 
 b p o o 
 u v 
 h s q q e 
 k l w t v@"
8,"#input
fccsv
tqp
tdgo
f
pettc
hfyq
#output
","f c c s v 
 t q p 
 t d g o 
 f 
 p e t t c 
 h f y q","f c c s v 
 t q p 
 t d g o 
 f 
 p e t t c 
 h f y q@"
9,"#input
oyjy
ajsa
u
agmkj
wra
aajvj
#output
","o y j y 
 a j s a 
 u 
 a g m k j 
 w r a 
 a a j v j","o y j y 
 a j s a 
 u 
 a g m k j 
 w r a 
 a a j v j@"
10,"#input
kmcpp
pn
ilnd
n
xllde
feyhd
#output
","k m c p p 
 p n 
 i l n d 
 n 
 x l l d e 
 f e y h d","k m c p p 
 p n 
 i l n d 
 n 
 x l l d e 
 f e y h d@"
11,"#input
fxgfe
pyk
tu
ol
smbxl
xjpnr
#output
","f x g f e 
 p y k 
 t u 
 o l 
 s m b x l 
 x j p n r","f x g f e 
 p y k 
 t u 
 o l 
 s m b x l 
 x j p n r@"
12,"#input
hlsbw
xai
yry
i
inatt
abulh
#output
","h l s b w 
 x a i 
 y r y 
 i 
 i n a t t 
 a b u l h","h l s b w 
 x a i 
 y r y 
 i 
 i n a t t 
 a b u l h@"
13,"#input
gmnv
ztmun
nwajp
yj
lgio
sl
#output
","g m n v 
 z t m u n 
 n w a j p 
 y j 
 l g i o 
 s l","g m n v 
 z t m u n 
 n w a j p 
 y j 
 l g i o 
 s l@"
14,"#input
zh
mjvs
kosm
bm
stcfg
bzcxy
#output
","z h 
 m j v s 
 k o s m 
 b m 
 s t c f g 
 b z c x y","z h 
 m j v s 
 k o s m 
 b m 
 s t c f g 
 b z c x y@"
15,"#input
rqdag
htlvx
om
dt
ujxe
jydf
#output
","r q d a g 
 h t l v x 
 o m 
 d t 
 u j x e 
 j y d f","r q d a g 
 h t l v x 
 o m 
 d t 
 u j x e 
 j y d f@"
16,"#input
yzoor
wlw
fye
thw
bwugr
udp
#output
","y z o o r 
 w l w 
 f y e 
 t h w 
 b w u g r 
 u d p","y z o o r 
 w l w 
 f y e 
 t h w 
 b w u g r 
 u d p@"
17,"#input
rci
izt
iuimm
mpc
psydb
fax
#output
","r c i 
 i z t 
 i u i m m 
 m p c 
 p s y d b 
 f a x","r c i 
 i z t 
 i u i m m 
 m p c 
 p s y d b 
 f a x@"
18,"#input
g
tlns
fpqk
kgbw
msdzj
ifbg
#output
","g 
 t l n s 
 f p q k 
 k g b w 
 m s d z j 
 i f b g","g 
 t l n s 
 f p q k 
 k g b w 
 m s d z j 
 i f b g@"
19,"#input
cgf
nexxu
vghlp
gfem
i
lzld
#output
","c g f 
 n e x x u 
 v g h l p 
 g f e m 
 i 
 l z l d","c g f 
 n e x x u 
 v g h l p 
 g f e m 
 i 
 l z l d@"
20,"#input
lw
raio
vcxwc
ve
pfeie
rirr
#output
","l w 
 r a i o 
 v c x w c 
 v e 
 p f e i e 
 r i r r","l w 
 r a i o 
 v c x w c 
 v e 
 p f e i e 
 r i r r@"
21,"#input
us
ihi
efbzt
armp
pfzua
yvo
#output
","u s 
 i h i 
 e f b z t 
 a r m p 
 p f z u a 
 y v o","u s 
 i h i 
 e f b z t 
 a r m p 
 p f z u a 
 y v o@"
22,"#input
vamd
ypyd
g
obk
luuhc
dwlcg
#output
","v a m d 
 y p y d 
 g 
 o b k 
 l u u h c 
 d w l c g","v a m d 
 y p y d 
 g 
 o b k 
 l u u h c 
 d w l c g@"
23,"#input
oluov
ywz
q
jhgg
hbtba
rxqf
#output
","o l u o v 
 y w z 
 q 
 j h g g 
 h b t b a 
 r x q f","o l u o v 
 y w z 
 q 
 j h g g 
 h b t b a 
 r x q f@"
24,"#input
hyug
cevd
pwuw
qzeg
j
cslct
#output
","h y u g 
 c e v d 
 p w u w 
 q z e g 
 j 
 c s l c t","h y u g 
 c e v d 
 p w u w 
 q z e g 
 j 
 c s l c t@"
25,"#input
nlrd
fdgci
hn
ndjju
t
mewm
#output
","n l r d 
 f d g c i 
 h n 
 n d j j u 
 t 
 m e w m","n l r d 
 f d g c i 
 h n 
 n d j j u 
 t 
 m e w m@"
26,"#input
xvpa
junal
m
bnump
ll
zxak
#output
","x v p a 
 j u n a l 
 m 
 b n u m p 
 l l 
 z x a k","x v p a 
 j u n a l 
 m 
 b n u m p 
 l l 
 z x a k@"
27,"#input
osqd
cpu
ovh
nqfsc
qo
gjbb
#output
","o s q d 
 c p u 
 o v h 
 n q f s c 
 q o 
 g j b b","o s q d 
 c p u 
 o v h 
 n q f s c 
 q o 
 g j b b@"
28,"#input
do
osujl
fhc
ae
biflz
ksbq
#output
","d o 
 o s u j l 
 f h c 
 a e 
 b i f l z 
 k s b q","d o 
 o s u j l 
 f h c 
 a e 
 b i f l z 
 k s b q@"
29,"#input
tsfbv
do
xjqf
zdndl
c
tokw
#output
","t s f b v 
 d o 
 x j q f 
 z d n d l 
 c 
 t o k w","t s f b v 
 d o 
 x j q f 
 z d n d l 
 c 
 t o k w@"
30,"#input
n
yxt
abhq
oqthp
uzjr
oooj
#output
","n 
 y x t 
 a b h q 
 o q t h p 
 u z j r 
 o o o j","n 
 y x t 
 a b h q 
 o q t h p 
 u z j r 
 o o o j@"
31,"#input
n
vkb
abk
oygcx
mzbvo
ysfa
#output
","n 
 v k b 
 a b k 
 o y g c x 
 m z b v o 
 y s f a","n 
 v k b 
 a b k 
 o y g c x 
 m z b v o 
 y s f a@"
32,"#input
tbpb
aj
rkikm
fvd
bfoif
av
#output
","t b p b 
 a j 
 r k i k m 
 f v d 
 b f o i f 
 a v","t b p b 
 a j 
 r k i k m 
 f v d 
 b f o i f 
 a v@"
33,"#input
br
nzbze
xde
cgit
gc
wnxff
#output
","b r 
 n z b z e 
 x d e 
 c g i t 
 g c 
 w n x f f","b r 
 n z b z e 
 x d e 
 c g i t 
 g c 
 w n x f f@"
34,"#input
iu
xnmmy
ocs
bnckq
r
timne
#output
","i u 
 x n m m y 
 o c s 
 b n c k q 
 r 
 t i m n e","i u 
 x n m m y 
 o c s 
 b n c k q 
 r 
 t i m n e@"
