,example_input,example_output,all-generated-output
0,"#input
fref
isqb
lmf
wr
jtlseq
xt
#output
","f e r f 
 b q s i 
 f m l 
 r w 
 q e s l t j 
 t x","f e r f 
 b q s i 
 f m l 
 r w 
 q e s l t j 
 t x@"
1,"#input
qp
gouwlq
o
gnhed
yyzor
y
#output
","p q 
 q l w u o g 
 o 
 d e h n g 
 r o z y y 
 y","p q 
 q l w u o g 
 o 
 d e h n g 
 r o z y y 
 y@"
2,"#input
ing
ajs
d
utk
ydkmlp
hujy
#output
","g n i 
 s j a 
 d 
 k t u 
 p l m k d y 
 y j u h","g n i 
 s j a 
 d 
 k t u 
 p l m k d y 
 y j u h@"
3,"#input
ul
g
gcvl
jsjwhh
yrwih
h
#output
","l u 
 g 
 l v c g 
 h h w j s j 
 h i w r y 
 h","l u 
 g 
 l v c g 
 h h w j s j 
 h i w r y 
 h@"
4,"#input
r
kmrokj
j
jcawu
y
sekym
#output
","r 
 j k o r m k 
 j 
 u w a c j 
 y 
 m y k e s","r 
 j k o r m k 
 j 
 u w a c j 
 y 
 m y k e s@"
5,"#input
i
eia
ms
knekj
jigjkk
oe
#output
","i 
 a i e 
 s m 
 j k e n k 
 k k j g i j 
 e o","i 
 a i e 
 s m 
 j k e n k 
 k k j g i j 
 e o@"
6,"#input
nc
w
chjr
fzkv
tscetup
k
#output
","c n 
 w 
 r j h c 
 v k z f 
 p u t e c s t 
 k","c n 
 w 
 r j h c 
 v k z f 
 p u t e c s t 
 k@"
7,"#input
w
cmazds
c
kg
hkwjm
myxz
#output
","w 
 s d z a m c 
 c 
 g k 
 m j w k h 
 z x y m","w 
 s d z a m c 
 c 
 g k 
 m j w k h 
 z x y m@"
8,"#input
itl
ec
i
ajegug
zxevs
hm
#output
","l t i 
 c e 
 i 
 g u g e j a 
 s v e x z 
 m h","l t i 
 c e 
 i 
 g u g e j a 
 s v e x z 
 m h@"
9,"#input
i
jptj
xrkgag
el
gmy
spy
#output
","i 
 j t p j 
 g a g k r x 
 l e 
 y m g 
 y p s","i 
 j t p j 
 g a g k r x 
 l e 
 y m g 
 y p s@"
10,"#input
tl
i
yytsio
g
lpro
mazk
#output
","l t 
 i 
 o i s t y y 
 g 
 o r p l 
 k z a m","l t 
 i 
 o i s t y y 
 g 
 o r p l 
 k z a m@"
11,"#input
nmd
cq
mzhgoo
wtjy
f
zr
#output
","d m n 
 q c 
 o o g h z m 
 y j t w 
 f 
 r z","d m n 
 q c 
 o o g h z m 
 y j t w 
 f 
 r z@"
12,"#input
i
vuvvkc
psuge
toa
x
ve
#output
","i 
 c k v v u v 
 e g u s p 
 a o t 
 x 
 e v","i 
 c k v v u v 
 e g u s p 
 a o t 
 x 
 e v@"
13,"#input
k
b
gsbdf
hznvzd
bxt
rr
#output
","k 
 b 
 f d b s g 
 d z v n z h 
 t x b 
 r r","k 
 b 
 f d b s g 
 d z v n z h 
 t x b 
 r r@"
14,"#input
o
prqnu
pvw
tsqfukc
c
l
#output
","o 
 u n q r p 
 w v p 
 c k u f q s t 
 c 
 l","o 
 u n q r p 
 w v p 
 c k u f q s t 
 c 
 l@"
15,"#input
zz
li
zhsqdx
i
kct
zsj
#output
","z z 
 i l 
 x d q s h z 
 i 
 t c k 
 j s z","z z 
 i l 
 x d q s h z 
 i 
 t c k 
 j s z@"
16,"#input
l
anxx
t
y
kokiyp
ujht
#output
","l 
 x x n a 
 t 
 y 
 p y i k o k 
 t h j u","l 
 x x n a 
 t 
 y 
 p y i k o k 
 t h j u@"
17,"#input
y
ll
kjpwkn
z
mbjvy
db
#output
","y 
 l l 
 n k w p j k 
 z 
 y v j b m 
 b d","y 
 l l 
 n k w p j k 
 z 
 y v j b m 
 b d@"
18,"#input
rrl
jhvloj
f
eyv
l
jvc
#output
","l r r 
 j o l v h j 
 f 
 v y e 
 l 
 c v j","l r r 
 j o l v h j 
 f 
 v y e 
 l 
 c v j@"
19,"#input
w
lybcqy
x
zvjkr
nd
u
#output
","w 
 y q c b y l 
 x 
 r k j v z 
 d n 
 u","w 
 y q c b y l 
 x 
 r k j v z 
 d n 
 u@"
20,"#input
o
rvdcwf
qn
tejjw
x
u
#output
","o 
 f w c d v r 
 n q 
 w j j e t 
 x 
 u","o 
 f w c d v r 
 n q 
 w j j e t 
 x 
 u@"
21,"#input
mz
iep
t
tizfyy
bcx
f
#output
","z m 
 p e i 
 t 
 y y f z i t 
 x c b 
 f","z m 
 p e i 
 t 
 y y f z i t 
 x c b 
 f@"
22,"#input
p
voylkv
q
wyun
a
mxm
#output
","p 
 v k l y o v 
 q 
 n u y w 
 a 
 m x m","p 
 v k l y o v 
 q 
 n u y w 
 a 
 m x m@"
23,"#input
l
bfcn
my
z
osbfegi
h
#output
","l 
 n c f b 
 y m 
 z 
 i g e f b s o 
 h","l 
 n c f b 
 y m 
 z 
 i g e f b s o 
 h@"
24,"#input
a
wrbota
ujos
ml
e
r
#output
","a 
 a t o b r w 
 s o j u 
 l m 
 e 
 r","a 
 a t o b r w 
 s o j u 
 l m 
 e 
 r@"
25,"#input
t
vd
d
o
bvqzji
xjpo
#output
","t 
 d v 
 d 
 o 
 i j z q v b 
 o p j x","t 
 d v 
 d 
 o 
 i j z q v b 
 o p j x@"
26,"#input
yx
zs
ccc
n
ypwylq
h
#output
","x y 
 s z 
 c c c 
 n 
 q l y w p y 
 h","x y 
 s z 
 c c c 
 n 
 q l y w p y 
 h@"
27,"#input
w
c
gju
fr
zbpoxq
vk
#output
","w 
 c 
 u j g 
 r f 
 q x o p b z 
 k v","w 
 c 
 u j g 
 r f 
 q x o p b z 
 k v@"
28,"#input
k
eiaole
tp
y
dx
blz
#output
","k 
 e l o a i e 
 p t 
 y 
 x d 
 z l b","k 
 e l o a i e 
 p t 
 y 
 x d 
 z l b@"
29,"#input
zh
maw
f
n
ktxjkp
x
#output
","h z 
 w a m 
 f 
 n 
 p k j x t k 
 x","h z 
 w a m 
 f 
 n 
 p k j x t k 
 x@"
