,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
","e t k e z 
 q i m y l 
 o o p f j o m z y 
 s t o m w 
 z j u p u","e t k e z 
 q i m y l 
 o o p f j o o o o o o 
 z j u p u@"
1,"#input
jiptd
wsazt
dufdd
gtoghwvmaj
moxs
#output
","j i p t d 
 w s a z t 
 d u f d d 
 g t o g h w v m a j 
 m o x s","j i p t d 
 w s a z t 
 d u f d d 
 g t o g h w v@"
2,"#input
svjh
dtpxe
qycdl
kjboa
asyytnxkmv
#output
","s v j h 
 d t p x e 
 q y c d l 
 k j b o a 
 a s y y t n x k m v","s v j h 
 d t p x e 
 q y c d l 
 k j b o a 
 a s y y t n x n x x n x x@"
3,"#input
nvnxyrpocz
ydnd
xykjd
thiwo
ohgl
#output
","n v n x y r p o c z 
 y d n d 
 x y k j d 
 t h i w o 
 o h g l","n v n x y r p o y d 
 x y n d 
 x y k j d 
 o h g l@"
4,"#input
waxb
vdqad
kxls
ppekihjopf
mpphw
#output
","w a x b 
 v d q a d 
 k x l s 
 p p e k i h j o p f 
 m p p h w","w a x b 
 v d q a d 
 k x l s 
 p p e k i h j o o j o@"
5,"#input
cpkbiedbl
oryxx
tfwok
zjkq
dhewa
#output
","c p k b i e d b l 
 o r y x x 
 t f w o k 
 z j k q 
 d h e w a","c p k b i e d b i e d b l 
 o r y x x 
 t f w o k 
 z j k q@"
6,"#input
berwi
grnqelejfy
abxlh
yhizg
oue
#output
","b e r w i 
 g r n q e l e j f y 
 a b x l h 
 y h i z g 
 o u e","b e r w i 
 g r n q e l 
 a b x l h 
 y h i z g 
 o u e@"
7,"#input
ivtqazzrnl
ren
ubbnk
teqnr
gbpqe
#output
","i v t q a z z r n l 
 r e n 
 u b b n k 
 t e q n r 
 g b p q e","i v t q a z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
8,"#input
pwerz
pkfw
dqpcs
pgxfo
yorbcipcx
#output
","p w e r z 
 p k f w 
 d q p c s 
 p g x f o 
 y o r b c i p c x","p w e r z 
 p k f w 
 d q p c s 
 p g x f o 
 y o r b c i p c@"
9,"#input
gbeu
lqvov
unvtwpyose
xlizd
homw
#output
","g b e u 
 l q v o v 
 u n v t w p y o s e 
 x l i z d 
 h o m w","g b e u 
 l q v o v 
 u n v t w p p y l p y o 
 h o m w@"
