,example_input,example_output,all-generated-output
0,"#input
olmqg
lmkvl
inzap
zlyrl
gyiub
rml
wzy
lerjl
tiqxqzycuo
aeqch
#output
","g q m l o 
 l v k m l 
 p a z n i 
 l r y l z 
 b u i y g 
 l m r 
 y z w 
 l j r e l 
 o u c y z q x q i t 
 h c q e a","g 
 l m l 
 p a z n i 
 l r y l z 
 b u q y g@"
1,"#input
jdkwo
jbfbrki
sfdoi
airww
eoec
ufmd
npkmj
bator
mplir
vkpx
#output
","o w k d j 
 i k r b f b j 
 i o d f s 
 w w r i a 
 c e o e 
 d m f u 
 j m k p n 
 r o t a b 
 r i l p m 
 x p k v","o k d j 
 i r b b j 
 i o d f s 
 w w r i a 
 d m e f@"
2,"#input
sfvfj
kuwl
zxp
gfihj
bsaczohglg
qwij
dgnab
nsmv
zya
ubjdh
#output
","j f v f s 
 l w u k 
 p x z 
 j h i f g 
 g l g h o z c a s b 
 j i w q 
 b a n g d 
 v m s n 
 a y z 
 h d j b u","j f s 
 j 
 p x z 
 j h i f g 
 b w a s b 
 #output
 s 
 e 
 e 
 #output
 f 
 e 
 e 
 #output
 f 
 e 
 e 
 #output
 f 
 e 
 e 
 #output
 f 
 e 
 #output
 f 
 e 
 e@"
3,"#input
xqmh
qcd
qatkf
fd
hhadz
ajsav
ugpfn
rjkym
jdzdkbddrp
gejd
#output
","h m q x 
 d c q 
 f k t a q 
 d f 
 z d a h h 
 v a s j a 
 n f p g u 
 m y k j r 
 p r d d b k d z d j 
 d j e g","h m 
 c q 
 f k t a q 
 d f 
 z d a s j h@"
4,"#input
fusgn
wvlwm
hgeep
h
ybakrtppej
vgrx
khrdf
qqwkb
ljb
mzdpf
#output
","n g s u f 
 m w l v w 
 p e e g h 
 h 
 j e p p t r k a b y 
 x r g v 
 f d r h k 
 b k w q q 
 b j l 
 f p d z m","n 
 m g 
 p e e g h 
 h 
 j x r a b y 
 f r w #output
 f 
 e 
 e 
 #output
 f 
 e 
 e 
 #output
 f 
 e 
 e 
 #output
@"
5,"#input
ltom
geabi
fvwwb
f
mhyq
nqyhu
lqtcx
dzro
hktiehxdpw
ohkxm
#output
","m o t l 
 i b a e g 
 b w w v f 
 f 
 q y h m 
 u h y q n 
 x c t q l 
 o r z d 
 w p d x h e i t k h 
 m x k h o","m l 
 m 
 b w w v f 
 f 
 p q y q y 
 x j y q n@"
6,"#input
nxgfr
qnn
ikand
dqryk
izmheazcu
tfet
fewnv
sheeb
gvejg
o
#output
","r f g x n 
 n n q 
 d n a k i 
 k y r q d 
 u c z a e h m z i 
 t e f t 
 v n w e f 
 b e e h s 
 g j e v g 
 o","r 
 n q 
 d n a k i 
 k y r q d 
 b e w f i@"
7,"#input
vl
vqxmg
gqblc
fmgul
ayqfi
hllh
zejda
crvbgsnjr
cajo
dpp
#output
","l v 
 g m x q v 
 c l b q g 
 l u g m f 
 i f q y a 
 h l l h 
 a d j e z 
 r j n s g b v r c 
 o j a c 
 p p d","l v 
 g 
 c l b q g 
 l u g m f 
 j f q y a@"
8,"#input
iog
eucbj
lksn
hmcj
thlnl
nnxp
udhff
bwmd
zzs
kqgkstisuv
#output
","g o i 
 j b c u e 
 n s k l 
 j c m h 
 l n l h t 
 p x n n 
 f f h d u 
 d m w b 
 s z z 
 v u s i t s k g q k","g i 
 j 
 j n k l 
 j c m h 
 l n p l n 
 f j x n d@"
9,"#input
iv
dusjv
uzyi
ypeivnywmi
sav
howb
gjxj
regbk
jivju
ufxcp
#output
","v i 
 v j s u d 
 i y z u 
 i m w y n v i e p y 
 v a s 
 b w o h 
 j x j g 
 k b g e r 
 u j v i j 
 p c x f u","v i 
 v 
 v y z u 
 m n i e p y 
 v w 
 j x j g@"
