,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
","z e k t e 
 l y m i q 
 y z m o j f p o o 
 w m o t s 
 u p u j z","z e k t e 
 l y m i q 
 j f p o o 
 u p u j z 
 u p u j z@"
1,"#input
jiptd
wsazt
dufdd
gtoghwvmaj
moxs
#output
","d t p i j 
 t z a s w 
 d d f u d 
 j a m v w h g o t g 
 s x o m","d t p i j 
 t z a s w 
 d d f u d 
 h g o t g 
 m f o m@"
2,"#input
svjh
dtpxe
qycdl
kjboa
asyytnxkmv
#output
","h j v s 
 e x p t d 
 l d c y q 
 a o b j k 
 v m k x n t y y s a","h j v s 
 e x p t d 
 l d c y q 
 a o b j k 
 v y y s a@"
3,"#input
nvnxyrpocz
ydnd
xykjd
thiwo
ohgl
#output
","z c o p r y x n v n 
 d n d y 
 d j k y x 
 o w i h t 
 l g h o","z c o n n 
 d n d y 
 d j k y x 
 o w i y x 
 l g h o@"
4,"#input
waxb
vdqad
kxls
ppekihjopf
mpphw
#output
","b x a w 
 d a q d v 
 s l x k 
 f p o j h i k e p p 
 w h p p m","b x a w 
 d a q d v 
 s l x k 
 i i k p p 
 f h f p m@"
5,"#input
cpkbiedbl
oryxx
tfwok
zjkq
dhewa
#output
","l b d e i b k p c 
 x x y r o 
 k o w f t 
 q k j z 
 a w e h d","i b k p c 
 l x y r o 
 x x y r o 
 k w w f t 
 a w e h d@"
6,"#input
berwi
grnqelejfy
abxlh
yhizg
oue
#output
","i w r e b 
 y f j e l e q n r g 
 h l x b a 
 g z i h y 
 e u o","i i w r b 
 e e q n r g 
 h l x b a 
 z i h y 
 e u o@"
7,"#input
ivtqazzrnl
ren
ubbnk
teqnr
gbpqe
#output
","l n r z z a q t v i 
 n e r 
 k n b b u 
 r n q e t 
 e q p b g","q a q t i 
 n e r 
 k n b b u 
 r n q e t 
 e q p b g@"
8,"#input
pwerz
pkfw
dqpcs
pgxfo
yorbcipcx
#output
","z r e w p 
 w f k p 
 s c p q d 
 o f x g p 
 x c p i c b r o y","r e w p 
 w f k p 
 s c p q d 
 o f x g p 
 x c r o y@"
9,"#input
gbeu
lqvov
unvtwpyose
xlizd
homw
#output
","u e b g 
 v o v q l 
 e s o y p w t v n u 
 d z i l x 
 w m o h","u e b g 
 v o v q l 
 w t v n u 
 w m o h 
 z m l h@"
10,"#input
fhpat
gxs
unwvk
bczeflpssk
yolbj
#output
","t a p h f 
 s x g 
 k v w n u 
 k s s p l f e z c b 
 j b l o y","a t p h f 
 s x g 
 k k v w n u 
 f b l c b 
 s p l o y@"
11,"#input
hnuxf
ooukz
mtvzqflmah
mlcj
imnj
#output
","f x u n h 
 z k u o o 
 h a m l f q z v t m 
 j c l m 
 j n m i","f x u n h 
 z p u o o 
 q z v t m 
 j n m i 
 j c l i@"
12,"#input
bmogmbhic
tsec
tsnro
jshli
gonvw
#output
","c i h b m g o m b 
 c e s t 
 o r n s t 
 i l h s j 
 w v n o g","m m g o b 
 c e s t 
 o r n s t 
 i l h s t 
 w v n o g@"
13,"#input
fximn
pcmfp
vmc
dykfg
qgwjbybqwg
#output
","n m i x f 
 p f m c p 
 c m v 
 g f k y d 
 g w q b y b j w g q","n m i x f 
 p f m c p 
 c m v 
 f k y d 
 g w w g q@"
14,"#input
vycqu
lls
obcidakrid
qmbnv
zxtjo
#output
","u q c y v 
 s l l 
 d i r k a d i c b o 
 v n b m q 
 o j t x z","u u q c v 
 s l l 
 d d i c b o 
 k j t x q 
 o n b x z@"
15,"#input
aqsbvkpaou
ndsee
fggyz
yop
icsfp
#output
","u o a p k v b s q a 
 e e s d n 
 z y g g f 
 p o y 
 p f s c i","b v b s q a 
 e e s d n 
 e e e g e 
 z f p g f 
 f p c i@"
16,"#input
euyop
txfbe
abuzajo
fovpf
iqtuy
#output
","p o y u e 
 e b f x t 
 o j a z u b a 
 f p v o f 
 y u t q i","p o y u e 
 e b f x t 
 a z u b a 
 f p v o f 
 y u t q i@"
17,"#input
fzd
pqfdw
oaoaykidxs
ecjpv
dodz
#output
","d z f 
 w d f q p 
 s x d i k y a o a o 
 v p j c e 
 z d o d","d z f 
 w d f q p 
 y a o a o 
 i p o c 
 z d o d@"
18,"#input
xt
hbubm
uxvsl
bhycp
rfvfghgdfg
#output
","t x 
 m b u b h 
 l s v x u 
 p c y h b 
 g f d g h g f v f r","t x 
 m b u b h 
 l s v x u 
 p c y h b 
 g f v f r@"
19,"#input
wtqn
yytpgclmwg
hjniu
pzwe
bzqq
#output
","n q t w 
 g w m l c g p t y y 
 u i n j h 
 e w z p 
 q q z b","n q t w 
 g p t y y 
 u i n j h 
 e w z p 
 q q z b@"
20,"#input
igwrz
ulx
pdmbrjasj
woxkc
ctyuw
#output
","z r w g i 
 x l u 
 j s a j r b m d p 
 c k x o w 
 w u y t c","z r w g i 
 x l u 
 r b m d p 
 w u x t w 
 w u y t c@"
21,"#input
kauphxwoab
sqxh
eblda
pmy
irfum
#output
","b a o w x h p u a k 
 h x q s 
 a d l b e 
 y m p 
 m u f r i","h p u a k 
 h x q s 
 a d x b e 
 a d y m p 
 m u f r i@"
22,"#input
vumewtuhj
rusmk
tqfr
xihfb
vyol
#output
","j h u t w e m u v 
 k m s u r 
 r f q t 
 b f h i x 
 l o y v","w t m u v 
 k m s u r 
 k m s u t 
 r f q t 
 l o y v@"
23,"#input
fhauzvgero
tpwgq
ibmo
rbgbf
jct
#output
","o r e g v z u a h f 
 q g w p t 
 o m b i 
 f b g b r 
 t c j","z u a h f 
 q g w p t 
 q q g b t 
 f b g b i 
 f c j@"
24,"#input
ofkzj
aotge
nkucz
gykymey
gxxsa
#output
","j z k f o 
 e g t o a 
 z c u k n 
 y e m y k y g 
 a s x x g","j z k f o 
 e g t o a 
 z c u k n 
 m y k y g 
 a s x x g@"
25,"#input
rid
btgnx
kaakq
anmwf
rebpvlczr
#output
","d i r 
 x n g t b 
 q k a a k 
 f w m n a 
 r z c l v p b e r","d i r 
 x n g t b 
 q k a a k 
 f w m n a 
 r z c p@"
26,"#input
gzvda
ilhi
xzxu
alltdfwwn
gyatj
#output
","a d v z g 
 i h l i 
 u x z x 
 n w w f d t l l a 
 j t a y g","a d v z g 
 i h h l i 
 u x z x 
 d t l l a 
 j t a y g@"
27,"#input
pruul
tzr
rtot
rhmdjsacbe
vkebs
#output
","l u u r p 
 r z t 
 t o t r 
 e b c a s j d m h r 
 s b e k v","l u u p p 
 r z t 
 t t o t r 
 j j d m h r 
 s b e k v@"
28,"#input
cild
uzhcz
alq
rwpwujrafv
pgvba
#output
","d l i c 
 z c h z u 
 q l a 
 v f a r j u w p w r 
 a b v g p","d l i c 
 z c h z u 
 q l a 
 u p w r 
 a b v g p@"
29,"#input
lbjsaqavk
sscn
cszh
idtzc
jmoiq
#output
","k v a q a s j b l 
 n c s s 
 h z s c 
 c z t d i 
 q i o m j","a s j b l 
 n c s s 
 n z s c 
 c z t d i 
 q i o m j@"
30,"#input
xqgldzuhc
aeegv
vsk
zrsmu
xfpao
#output
","c h u z d l g q x 
 v g e e a 
 k s v 
 u m s r z 
 o a p f x","d l g q x 
 v g e e a 
 v g e s v 
 u m s r z 
 o a p f x@"
31,"#input
eeyyy
noyyw
wqepo
nqjf
jqkaemyk
#output
","y y y e e 
 w y y o n 
 o p e q w 
 f j q n 
 k y m e a k q j","y y y e e 
 w y y o n 
 o p e q w 
 f f j q n 
 a y k q j@"
32,"#input
ycpqs
bexh
cbfquniqy
hfjj
hllfi
#output
","s q p c y 
 h x e b 
 y q i n u q f b c 
 j j f h 
 i f l l h","s q p c y 
 h x e b 
 u q f b c 
 q f j f h 
 i f l l h@"
33,"#input
mycse
gcnp
jtwzrlvgb
fmzm
pbtgo
#output
","e s c y m 
 p n c g 
 b g v l r z w t j 
 m z m f 
 o g t b p","e s c y m 
 p n c g 
 r z w t j 
 g v t v f 
 o g z b p@"
34,"#input
tovj
nipz
xyfy
agfhp
mxqppmqfjk
#output
","j v o t 
 z p i n 
 y f y x 
 p h f g a 
 k j f q m p p q x m","j j v t 
 z p i n 
 y f y x 
 p h f g a 
 f p q x m@"
35,"#input
gjqum
crzi
vsi
oqemf
sonmmldnou
#output
","m u q j g 
 i z r c 
 i s v 
 f m e q o 
 u o n d l m m n o s","m u q j g 
 i z r c 
 i s v 
 f m e q o 
 u o n o s@"
36,"#input
rmkd
fidw
bgmdt
nafobyibfe
ifcv
#output
","d k m r 
 w d i f 
 t d m g b 
 e f b i y b o f a n 
 v c f i","d d k m r 
 w d i f 
 t d m g b 
 b o f a n 
 f e f i@"
37,"#input
yghiz
dwfcblqb
jkbkn
jhgq
dywwr
#output
","z i h g y 
 b q l b c f w d 
 n k b k j 
 q g h j 
 r w w y d","z i h g y 
 b c f w d 
 n k b k j 
 q g h j 
 r w w y d@"
38,"#input
afrx
wgluy
ehipdetypv
tusun
qrm
#output
","x r f a 
 y u l g w 
 v p y t e d p i h e 
 n u s u t 
 m r q","x x r f a 
 y u l g w 
 d d p h e 
 m r q 
 m r q@"
39,"#input
mmijm
rkb
dkoysqqcrt
urgly
seuo
#output
","m j i m m 
 b k r 
 t r c q q s y o k d 
 y l g r u 
 o u e s","m j i m m 
 b k r 
 s y o k d 
 q l g k d 
 l g r s@"
40,"#input
ynkrz
zytchiphw
apzpw
arg
awotm
#output
","z r k n y 
 w h p i h c t y z 
 w p z p a 
 g r a 
 m t o w a","z r k n y 
 h c t y z 
 w p z p a 
 g r a 
 m t o w a@"
41,"#input
htiwtjmrts
txobv
uuwup
gz
ewhkc
#output
","s t r m j t w i t h 
 v b o x t 
 p u w u u 
 z g 
 c k h w e","s t w t h 
 v b o x t 
 v u o u t 
 w p 
 c k h w e@"
42,"#input
nxxfyxsbzd
pytql
kxtgq
bec
bcsm
#output
","d z b s x y f x x n 
 l q t y p 
 q g t x k 
 c e b 
 m s c b","y s x x n 
 l q t y p 
 l q t y p 
 q q g t k 
 m s c b@"
43,"#input
wtlpe
geogp
vcs
tyup
lasagezmra
#output
","e p l t w 
 p g o e g 
 s c v 
 p u y t 
 a r m z e g a s a l","e p l t w 
 p g o e g 
 s c v 
 p u y t 
 a r e a l@"
44,"#input
ywsvq
odr
bvwg
mdisfssbod
zctof
#output
","q v s w y 
 r d o 
 g w v b 
 d o b s s f s i d m 
 f o t c z","q v s w y 
 r d o 
 g g w v b 
 f f s i d m@"
45,"#input
twsop
uabtm
uvr
diofnorwa
qtwgd
#output
","p o s w t 
 m t b a u 
 r v u 
 a w r o n f o i d 
 d g w t q","p o s w t 
 m t b a u 
 r v u 
 n f o i d 
 d g w t q@"
46,"#input
dujyd
ceqay
gpcrn
bk
tgsvuvnqug
#output
","d y j u d 
 y a q e c 
 n r c p g 
 k b 
 g u q n v u v s g t","d y j u d 
 y a q e c 
 n r c p g 
 k b 
 g u s g t@"
47,"#input
lpnb
qcmx
kbzx
uwzxy
ctiijkzhsk
#output
","b n p l 
 x m c q 
 x z b k 
 y x z w u 
 k s h z k j i i t c","b b n p l 
 x m c q 
 x z b k 
 y x z w u 
 k s h t c@"
48,"#input
siyhf
xiy
nvakdmyxtv
vhya
cjhdz
#output
","f h y i s 
 y i x 
 v t x y m d k a v n 
 a y h v 
 z d h j c","f h y i s 
 y i x 
 d k a v n 
 a v v v 
 z d h h c@"
49,"#input
cbiqn
wfzgowcqjb
rjp
lzxte
vign
#output
","n q i b c 
 b j q c w o g z f w 
 p j r 
 e t x z l 
 n g i v","n q i b c 
 o g z f w 
 j j 
 e t x z l 
 n g i v@"
