,example_input,example_output,all-generated-output
0,"#input
vjqfo
mzgs
hfnr
lkumd
kudip
ycmp
jntgr
rxa
xhfn
epahz
#output
","v j q f o 
 m z g s 
 h f n r 
 l k u m d 
 k u d i p 
 y c m p 
 j n t g r 
 r x a 
 x h f n 
 e p a h z","v j q f o 
 m z g s 
 h f n r 
 l k u m d 
 k u d i p 
 j u d p g 
 #output
 v j q f o 
 h f n r 
 l f u r m d 
 l k u m p #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
1,"#input
wigsc
eo
ihjtr
zcam
ozawm
vhf
fbbsd
hkbwg
zhffh
egkti
#output
","w i g s c 
 e o 
 i h j t r 
 z c a m 
 o z a w m 
 v h f 
 f b b s d 
 h k b w g 
 z h f f h 
 e g k t i","w i g s c 
 e o 
 i h j t r 
 z c a m 
 o z a w m 
 v z f w m 
 h b f s g 
 #output
 w i g s c 
 i h j t r 
 z c a m u m 
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
2,"#input
xih
gecbw
piye
sghuk
krdm
jygc
rgjxb
eapy
swuye
orwcx
#output
","x i h 
 g e c b w 
 p i y e 
 s g h u k 
 k r d m 
 j y g c 
 r g j x b 
 e a p y 
 s w u y e 
 o r w c x","x i h 
 g e c b w 
 p i y e 
 s g h u k 
 k r d m 
 j r g c 
 #output
 x i h 
 p i y e w 
 s g h u k 
 k g h u k 
 j r d m #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
3,"#input
sbluo
vxs
jrl
shud
hxsjb
mkzx
dfujf
uvovv
yyxg
gnnul
#output
","s b l u o 
 v x s 
 j r l 
 s h u d 
 h x s j b 
 m k z x 
 d f u j f 
 u v o v v 
 y y x g 
 g n n u l","s b l u o 
 v x s 
 j r l 
 s h u d 
 h x s j b 
 m k s j x 
 u k z u v@"
4,"#input
vbwao
edoag
unsu
jmcko
sboh
lxn
umlee
gqbgb
jud
hlti
#output
","v b w a o 
 e d o a g 
 u n s u 
 j m c k o 
 s b o h 
 l x n 
 u m l e e 
 g q b g b 
 j u d 
 h l t i","v b w a o 
 e d o a g 
 u n s u 
 j m c k o 
 s b o h o 
 l b n h 
 u m l g b@"
5,"#input
ayi
l
eqvdj
gwwly
ntlmf
lruuz
itrqc
wocfg
qrgrj
mgws
#output
","a y i 
 l 
 e q v d j 
 g w w l y 
 n t l m f 
 l r u u z 
 i t r q c 
 w o c f g 
 q r g r j 
 m g w s","a y i 
 l 
 e q v d j 
 g w w l y y 
 n t l m f 
 l t l u m 
 l r u g c 
 #output
 a y i 
 l 
 g q w v y j y 
 n w l l y f #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
6,"#input
fnry
sgx
kgtds
uzaj
iknc
ewej
qsqo
qzkvy
nywfi
ibiek
#output
","f n r y 
 s g x 
 k g t d s 
 u z a j 
 i k n c 
 e w e j 
 q s q o 
 q z k v y 
 n y w f i 
 i b i e k","f n r y 
 s g x 
 k g t d s 
 u z a j 
 i k n j 
 e w k j c 
 q w j k y 
 #output
 f n r y 
 k g t d s@"
7,"#input
gjkxr
fccal
ashws
acu
jjcxe
hkzap
kows
pg
syvaq
sntu
#output
","g j k x r 
 f c c a l 
 a s h w s 
 a c u 
 j j c x e 
 h k z a p 
 k o w s 
 p g 
 s y v a q 
 s n t u","g j k x r 
 f c c a l 
 a s h w s 
 a c u 
 j j c x e 
 h j k a p 
 #output
 g j k x r@"
8,"#input
ugucg
agopb
dn
dbid
rwdqt
ijoru
uipnb
ffgpy
wsspt
s
#output
","u g u c g 
 a g o p b 
 d n 
 d b i d 
 r w d q t 
 i j o r u 
 u i p n b 
 f f g p y 
 w s s p t 
 s","u g u c g 
 a g o p b 
 d n 
 d b i d 
 r w d q t 
 i w d r u 
 #output
 u g u c g@"
9,"#input
kyqds
iut
wo
wxavd
asibf
jman
pxak
hitcv
iuclg
hvwv
#output
","k y q d s 
 i u t 
 w o 
 w x a v d 
 a s i b f 
 j m a n 
 p x a k 
 h i t c v 
 i u c l g 
 h v w v","k y q d s 
 i u t 
 w o 
 w x a v d d 
 a s i b f 
 j s i n f 
 #output
 k y q d s@"
