,example_input,example_output,all-generated-output
0,"#input
oiqea
mymfd
pidzx
znynci
pvzag
#output
","a e q i o 
 d f m y m 
 x z d i p 
 i c n y n z 
 g a z v p","a e q i o 
 d f m y m 
 x z d i p 
 i c n y n z 
 g a z v p@"
1,"#input
mboxg
waxgs
gydpjl
ucoao
gwtl
#output
","g x o b m 
 s g x a w 
 l j p d y g 
 o a o c u 
 l t w g","g x o b m 
 s g x a w 
 l j p d y g 
 o a o c u 
 l t w g@"
2,"#input
cwoj
juyy
aghcb
thvdh
qjoefze
#output
","j o w c 
 y y u j 
 b c h g a 
 h d v h t 
 e z f e o j q","j o w c 
 y y u j 
 b c h g a 
 h d v h t 
 e z f e o j q@"
3,"#input
plsym
cifbz
gzufjn
ppudn
gtjx
#output
","m y s l p 
 z b f i c 
 n j f u z g 
 n d u p p 
 x j t g","m y s l p 
 z b f i c 
 n j f u z g 
 n d u p p 
 x j t g@"
4,"#input
vlzla
uufu
kjhfw
agvax
rnngdd
#output
","a l z l v 
 u f u u 
 w f h j k 
 x a v g a 
 d d g n n r","a l z l v 
 u f u u 
 w f h j k 
 x a v g a 
 d d g n n r@"
5,"#input
trqtd
ngv
iunwhs
ysyjt
ergzo
#output
","d t q r t 
 v g n 
 s h w n u i 
 t j y s y 
 o z g r e","d t q r t 
 v g n 
 s h w n u i 
 t j y s y 
 o z g r e@"
6,"#input
wmfru
wzfat
bjq
gvejwk
gjebg
#output
","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g@"
7,"#input
dmwse
rvsuh
qjovi
yuk
chnfra
#output
","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c@"
8,"#input
enhy
dpfd
zlyjns
nmeaw
xkdsl
#output
","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x@"
9,"#input
fezfj
pfgz
pafm
wbtvr
twkgww
#output
","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t@"
10,"#input
rpkx
qqvhy
ekpqgd
mbbma
yhif
#output
","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y@"
11,"#input
iqdqx
wnyq
tkzc
hieu
vpwtgjk
#output
","x q d q i 
 q y n w 
 c z k t 
 u e i h 
 k j g t w p v","x q d q i 
 q y n w 
 c z k t 
 u e i h 
 k j g t w p v@"
12,"#input
lioap
ybmpc
rnyan
km
ruofue
#output
","p a o i l 
 c p m b y 
 n a y n r 
 m k 
 e u f o u r","p a o i l 
 c p m b y 
 n a y n r 
 m k 
 e u f o u r@"
13,"#input
uoqij
bvhp
csxvu
slkifd
fly
#output
","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f@"
14,"#input
xfjqd
vyfwvk
az
ntnfi
dpbri
#output
","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d@"
15,"#input
xeqw
zxfs
waer
sglqd
cadbfc
#output
","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c@"
16,"#input
doro
thr
evige
lzvpf
vovzwy
#output
","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v@"
17,"#input
qpmt
ctxj
nzqcs
hyrmrt
xdsw
#output
","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x@"
18,"#input
hcye
mjim
mfisq
ovmvly
iuvw
#output
","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i@"
19,"#input
greo
sityy
fcogeg
llzxu
gmg
#output
","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g@"
20,"#input
jacu
dks
sgzbdv
orcmt
qrksd
#output
","u c a j 
 s k d 
 v d b z g s 
 t m c r o 
 d s k r q","u c a j 
 s k d 
 v d b z g s 
 t m c r o 
 d s k r q@"
21,"#input
jmige
wl
eisyn
vcbfrjv
msqn
#output
","e g i m j 
 l w 
 n y s i e 
 v j r f b c v 
 n q s m","e g i m j 
 l w 
 n y s i e 
 v j r f b c v 
 n q s m@"
22,"#input
uznr
xbges
nfzya
eheakkz
kp
#output
","r n z u 
 s e g b x 
 a y z f n 
 z k k a e h e 
 p k","r n z u 
 s e g b x 
 a y z f n 
 z k k a e h e 
 p k@"
23,"#input
pei
bjsz
jwwa
rousr
hkzpbih
#output
","i e p 
 z s j b 
 a w w j 
 r s u o r 
 h i b p z k h","i e p 
 z s j b 
 a w w j 
 r s u o r 
 h i b p z k h@"
24,"#input
ovie
spc
yvyqto
zgpze
zwvrn
#output
","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z@"
25,"#input
jxznt
yuk
cxji
xxro
iiyqed
#output
","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i@"
26,"#input
geohl
pieg
femwvy
wfc
suse
#output
","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s@"
27,"#input
zcxe
motw
dwr
fquwsq
akqya
#output
","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a@"
28,"#input
styji
ipnlt
ixrkxv
rlm
ymu
#output
","i j y t s 
 t l n p i 
 v x k r x i 
 m l r 
 u m y","i j y t s 
 t l n p i 
 v x k r x i 
 m l r 
 u m y@"
29,"#input
sthp
mimuoj
sm
ffppi
pogyc
#output
","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p@"
30,"#input
sfycs
krgz
wo
acrblv
swyqp
#output
","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s@"
31,"#input
brgsw
rrmknz
ypw
alg
ggsvm
#output
","w s g r b 
 z n k m r r 
 w p y 
 g l a 
 m v s g g","w s g r b 
 z n k m r r 
 w p y 
 g l a 
 m v s g g@"
32,"#input
mgmij
vzoz
orxjd
dlbkijv
j
#output
","j i m g m 
 z o z v 
 d j x r o 
 v j i k b l d 
 j","j i m g m 
 z o z v 
 d j x r o 
 v j i k b l d 
 j@"
33,"#input
mtgfc
qsbue
uck
fqb
vefufu
#output
","c f g t m 
 e u b s q 
 k c u 
 b q f 
 u f u f e v","c f g t m 
 e u b s q 
 k c u 
 b q f 
 u f u f e v@"
34,"#input
zyvdt
uj
zfa
yenqb
iwwhyrp
#output
","t d v y z 
 j u 
 a f z 
 b q n e y 
 p r y h w w i","t d v y z 
 j u 
 a f z 
 b q n e y 
 p r y h w w i@"
35,"#input
ykh
abxz
rfxwwx
vktf
enztu
#output
","h k y 
 z x b a 
 x w w x f r 
 f t k v 
 u t z n e","h k y 
 z x b a 
 x w w x f r 
 f t k v 
 u t z n e@"
36,"#input
sl
dyzbt
cavo
faagyq
pnscz
#output
","l s 
 t b z y d 
 o v a c 
 q y g a a f 
 z c s n p","l s 
 t b z y d 
 o v a c 
 q y g a a f 
 z c s n p@"
37,"#input
wlbis
ifbkc
xvctjc
lom
ggf
#output
","s i b l w 
 c k b f i 
 c j t c v x 
 m o l 
 f g g","s i b l w 
 c k b f i 
 c j t c v x 
 m o l 
 f g g@"
38,"#input
s
wnypq
chmqv
vxjiu
ttzhvq
#output
","s 
 q p y n w 
 v q m h c 
 u i j x v 
 q v h z t t","s 
 q p y n w 
 v q m h c 
 u i j x v 
 q v h z t t@"
39,"#input
yod
iici
ydsq
posrk
xwrsjv
#output
","d o y 
 i c i i 
 q s d y 
 k r s o p 
 v j s r w x","d o y 
 i c i i 
 q s d y 
 k r s o p 
 v j s r w x@"
40,"#input
jb
kinzya
fvfr
hjvbl
warqh
#output
","b j 
 a y z n i k 
 r f v f 
 l b v j h 
 h q r a w","b j 
 a y z n i k 
 r f v f 
 l b v j h 
 h q r a w@"
41,"#input
xfuzj
s
idbrn
pawgll
icaig
#output
","j z u f x 
 s 
 n r b d i 
 l l g w a p 
 g i a c i","j z u f x 
 s 
 n r b d i 
 l l g w a p 
 g i a c i@"
42,"#input
xmn
qtqnt
vfsrt
gpybyu
ikr
#output
","n m x 
 t n q t q 
 t r s f v 
 u y b y p g 
 r k i","n m x 
 t n q t q 
 t r s f v 
 u y b y p g 
 r k i@"
43,"#input
zxky
urlphr
kyn
uhocy
unlm
#output
","y k x z 
 r h p l r u 
 n y k 
 y c o h u 
 m l n u","y k x z 
 r h p l r u 
 n y k 
 y c o h u 
 m l n u@"
44,"#input
prqmp
xvjxum
ft
gcpk
xtaez
#output
","p m q r p 
 m u x j v x 
 t f 
 k p c g 
 z e a t x","p m q r p 
 m u x j v x 
 t f 
 k p c g 
 z e a t x@"
45,"#input
fa
lxggg
ftzrp
sdoa
qnurfh
#output
","a f 
 g g g x l 
 p r z t f 
 a o d s 
 h f r u n q","a f 
 g g g x l 
 p r z t f 
 a o d s 
 h f r u n q@"
46,"#input
wfne
zuzl
zxgj
crbk
vtuiug
#output
","e n f w 
 l z u z 
 j g x z 
 k b r c 
 g u i u t v","e n f w 
 l z u z 
 j g x z 
 k b r c 
 g u i u t v@"
47,"#input
gash
mrqka
ecqpdu
xs
zpbbi
#output
","h s a g 
 a k q r m 
 u d p q c e 
 s x 
 i b b p z","h s a g 
 a k q r m 
 u d p q c e 
 s x 
 i b b p z@"
48,"#input
zzgv
dqis
cbs
cewvh
gcegpt
#output
","v g z z 
 s i q d 
 s b c 
 h v w e c 
 t p g e c g","v g z z 
 s i q d 
 s b c 
 h v w e c 
 t p g e c g@"
49,"#input
rqppj
o
lfbphf
estxx
xgdb
#output
","j p p q r 
 o 
 f h p b f l 
 x x t s e 
 b d g x","j p p q r 
 o 
 f h p b f l 
 x x t s e 
 b d g x@"
50,"#input
qn
echg
mcgki
dfuy
nkmjdo
#output
","n q 
 g h c e 
 i k g c m 
 y u f d 
 o d j m k n","n q 
 g h c e 
 i k g c m 
 y u f d 
 o d j m k n@"
