,example_input,example_output,all-generated-output
0,"#input
qvrvnbbfw
bjylzna
gtjqqrp
qlpixbw
ppkxsxiduc
wzinfpc
kxmqatxjx
#output
","q v r v n b b f w 
 b j y l z n a 
 g t j q q r p 
 q l p i x b w 
 p p k x s x i d u c 
 w z i n f p c 
 k x m q a t x j x","q v r v n b 
 b j y l z n 
 g t j q q 
 q l p i x 
 p p k x s x 
 k w m q a x@"
1,"#input
itlwksdxhr
ybkkqhdp
mjwmeap
dxluya
nhuecv
pzdolloiyt
nsiyknrpk
#output
","i t l w k s d x h r 
 y b k k q h d p 
 m j w m e a p 
 d x l u y a 
 n h u e c v 
 p z d o l l o i y t 
 n s i y k n r p k","i t l w k s h 
 y b k k q h 
 m j w m e 
 d x l u y 
 n h u e l y 
 n z d l n l@"
2,"#input
zfdtog
ewsukaslf
cnlcrkgvyp
hbrmhf
yfspuud
kroxymoln
ctcopkpkh
#output
","z f d t o g 
 e w s u k a s l f 
 c n l c r k g v y p 
 h b r m h f 
 y f s p u u d 
 k r o x y m o l n 
 c t c o p k p k h","z f d t o g 
 e w s u k s 
 c n l c r g 
 h b r m h 
 y f s p u 
 k r c x p k@"
3,"#input
lttupy
rypjgbf
syfxga
rurojzr
ykifnuj
rbxgmmb
bxcscfx
jycmlrvr
#output
","l t t u p y 
 r y p j g b f 
 s y f x g a 
 r u r o j z r 
 y k i f n u j 
 r b x g m m b 
 b x c s c f x 
 j y c m l r v r","l t t u p y 
 r y p j g 
 s y f x g 
 r u r o j 
 y k i f n 
 b r x g m 
 b r x s m@"
4,"#input
cdilgiss
fpzgjbkm
rnclkdrgau
mxnotf
karaszr
bgunasqblc
wurasmz
#output
","c d i l g i s s 
 f p z g j b k m 
 r n c l k d r g a u 
 m x n o t f 
 k a r a s z r 
 b g u n a s q b l c 
 w u r a s m z","c d i l g s 
 f p z g j b 
 r n c l k 
 m x n o f 
 k a r a s r 
 w b u n s r@"
5,"#input
ycfotwt
eiuaaiwlnc
sldrxq
fsvysasrd
csvzhjl
rchkxie
lwvbxdommk
#output
","y c f o t w t 
 e i u a a i w l n c 
 s l d r x q 
 f s v y s a s r d 
 c s v z h j l 
 r c h k x i e 
 l w v b x d o m m k","y c f o t w 
 e i u a i w 
 s l d r x 
 f s v y s r 
 c s v 
 r c v k x m@"
6,"#input
hsjnbnzt
svfqsz
pyccrx
guisqhtg
ewaozuoxd
pcqieilbo
ihhlsndozr
#output
","h s j n b n z t 
 s v f q s z 
 p y c c r x 
 g u i s q h t g 
 e w a o z u o x d 
 p c q i e i l b o 
 i h h l s n d o z r","h s j n b n 
 s v f q s z 
 p y c c r 
 g u i s q h 
 e w a o b r 
 p c h l n l@"
7,"#input
istmpbhnul
kqufqoeg
expbmki
ppelrphvu
nukaqucd
tcqiza
vpyvdfdu
#output
","i s t m p b h n u l 
 k q u f q o e g 
 e x p b m k i 
 p p e l r p h v u 
 n u k a q u c d 
 t c q i z a 
 v p y v d f d u","i s t m p b 
 k q u f q e 
 e x p b k 
 p p e l r v 
 n c k a u 
 v p y v d l@"
8,"#input
akoyoedtt
yaivfyffls
agcjbq
chehqhq
hbhtyn
faejbrem
luoycodlbf
#output
","a k o y o e d t t 
 y a i v f y f f l s 
 a g c j b q 
 c h e h q h q 
 h b h t y n 
 f a e j b r e m 
 l u o y c o d l b f","a k o y o e 
 y a i v f y 
 a g c j b 
 c h e h q 
 h b h t y b 
 l a e y b r@"
9,"#input
enqvpyoy
oqznxssfzs
tcrkqmskae
ythsgn
mszxzkks
xektzvxx
nxanef
#output
","e n q v p y o y 
 o q z n x s s f z s 
 t c r k q m s k a e 
 y t h s g n 
 m s z x z k k s 
 x e k t z v x x 
 n x a n e f","e n q v p y 
 o q z n x s 
 t c r k q 
 y t h s g 
 m s z x z k 
 x n k n e x@"
10,"#input
nkxmizjpf
ueasxgt
euoetzsu
hosmrxa
phqubaiuqc
ptxnpeec
jwtzcqz
#output
","n k x m i z j p f 
 u e a s x g t 
 e u o e t z s u 
 h o s m r x a 
 p h q u b a i u q c 
 p t x n p e e c 
 j w t z c q z","n k x m i z 
 u e a s x g 
 e u o e t 
 h o s m r 
 p h q u b e 
 j w t n q e@"
11,"#input
njcimaxa
nhqkhbumqj
rwfasb
rmoxlbe
vimqyz
cynqizycn
aoyjcdvvqy
#output
","n j c i m a x a 
 n h q k h b u m q j 
 r w f a s b 
 r m o x l b e 
 v i m q y z 
 c y n q i z y c n 
 a o y j c d v v q y","n j c i m a 
 n h q k h b 
 r w f a b 
 r m o x l e 
 v i m q y v 
 c o y q c v@"
12,"#input
bbcrfm
smkehrqu
ooujvoqii
cdasknlga
emxgwhz
zpkrpzc
ardrjtvhck
#output
","b b c r f m 
 s m k e h r q u 
 o o u j v o q i i 
 c d a s k n l g a 
 e m x g w h z 
 z p k r p z c 
 a r d r j t v h c k","b b c r f m 
 s m k e h r 
 o o u j v 
 c d a s k 
 e m x g w h 
 a r d r j v@"
13,"#input
qzwpasocek
gyuciu
ofeofciub
ybyrftftnc
yiogalt
hwgslkl
gkymrox
#output
","q z w p a s o c e k 
 g y u c i u 
 o f e o f c i u b 
 y b y r f t f t n c 
 y i o g a l t 
 h w g s l k l 
 g k y m r o x","q z w p a s 
 g y u c i e 
 o f e o f u 
 y b y r f t 
 h i o g l 
 g k g m l x@"
14,"#input
tymgbdrdl
zpvxsfcdue
fcrcqj
zahlrrom
gskfwaaz
ltylmm
pkcbcwlsa
#output
","t y m g b d r d l 
 z p v x s f c d u e 
 f c r c q j 
 z a h l r r o m 
 g s k f w a a z 
 l t y l m m 
 p k c b c w l s a","t y m g b d 
 z p v x s d 
 f c r c q 
 z a h l r 
 g s k f w a 
 l k c b w a@"
15,"#input
nuatasj
bkmtbhmirl
toyzjki
pddavsjod
wohszqv
nzyppro
ucjeybnfq
#output
","n u a t a s j 
 b k m t b h m i r l 
 t o y z j k i 
 p d d a v s j o d 
 w o h s z q v 
 n z y p p r o 
 u c j e y b n f q","n u a t a s 
 b k m t b h 
 t o y z j 
 p d d a v 
 w o h s b q 
 u c j e b 
 u c j e y r@"
16,"#input
hehnka
mtyjbpjhm
vgmlzuexic
qpjcennu
kzsmqxvk
lrlxjvy
qoiyqrit
#output
","h e h n k a 
 m t y j b p j h m 
 v g m l z u e x i c 
 q p j c e n n u 
 k z s m q x v k 
 l r l x j v y 
 q o i y q r i t","h e h n k a 
 m t y j b p 
 v g m l z e 
 q p j c e n 
 k z s m x v 
 q r l x q 
 q r i y r #output
 h 
 h 
 #output
 h 
 p 
 #output
 h 
 p 
 #output
 h 
 p 
 y@"
17,"#input
cgzkzs
nnfvugpt
bkkygpc
sbgnlc
vszmslojkt
apxoarmhyg
rrpncazgs
#output
","c g z k z s 
 n n f v u g p t 
 b k k y g p c 
 s b g n l c 
 v s z m s l o j k t 
 a p x o a r m h y g 
 r r p n c a z g s","c g z k z s 
 n n f v u g 
 b k k y g 
 s b g n l 
 v s z m l y 
 r p x n a l@"
