,example_input,example_output,all-generated-output
0,"#input
ugrfp
zbfkx
cril
gvsq
vyqjb
hyc
zys
#output
","u g r f p 
 z b f k x 
 c r i l 
 g v s q 
 v y q j b 
 h y c 
 z y s","u g r f p 
 z b f k x 
 c r i l 
 g v s q 
 v y q j b 
 h y c 
 z y s@"
1,"#input
slj
rxwl
q
fowff
aplgw
ytufl
yuzop
#output
","s l j 
 r x w l 
 q 
 f o w f f 
 a p l g w 
 y t u f l 
 y u z o p","s l j 
 r x w l 
 q 
 f o w f f 
 a p l g w 
 y t u f l 
 y u z o p@"
2,"#input
gdpv
lew
jjbc
djak
ia
rehhe
ewfpt
#output
","g d p v 
 l e w 
 j j b c 
 d j a k 
 i a 
 r e h h e 
 e w f p t","g d p v 
 l e w 
 j j b c 
 d j a k 
 i a 
 r e h h e 
 e w f p t@"
3,"#input
vjaia
opxbw
yojp
bjpsa
adffc
ynot
#output
","v j a i a 
 o p x b w 
 y o j p 
 b j p s a 
 a d f f c 
 y n o t","v j a i a 
 o p x b w 
 y o j p 
 b j p s a 
 a d f f c 
 y n o t@"
4,"#input
pvqmy
acbhr
ahtvv
ngrt
jqsgu
fyur
#output
","p v q m y 
 a c b h r 
 a h t v v 
 n g r t 
 j q s g u 
 f y u r","p v q m y 
 a c b h r 
 a h t v v 
 n g r t 
 j q s g u 
 f y u r@"
5,"#input
nzeqh
bklj
nnne
joc
zzr
lgc
ujkg
#output
","n z e q h 
 b k l j 
 n n n e 
 j o c 
 z z r 
 l g c 
 u j k g","n z e q h 
 b k l j 
 n n n e 
 j o c 
 z z r 
 l g c 
 u j k g@"
6,"#input
eob
ctgie
nticn
dwikw
tussy
gxvd
#output
","e o b 
 c t g i e 
 n t i c n 
 d w i k w 
 t u s s y 
 g x v d","e o b 
 c t g i e 
 n t i c n 
 d w i k w 
 t u s s y 
 g x v d@"
7,"#input
vhqpx
tdxfq
myfh
dfco
v
fiv
aids
#output
","v h q p x 
 t d x f q 
 m y f h 
 d f c o 
 v 
 f i v 
 a i d s","v h q p x 
 t d x f q 
 m y f h 
 d f c o 
 v 
 f i v 
 a i d s@"
8,"#input
hj
pbwk
jmumh
kkije
p
gyrv
ifkvd
#output
","h j 
 p b w k 
 j m u m h 
 k k i j e 
 p 
 g y r v 
 i f k v d","h j 
 p b w k 
 j m u m h 
 k k i j e 
 p 
 g y r v 
 i f k v d@"
9,"#input
bgllv
eqh
qkvmb
by
y
nvard
wekjp
#output
","b g l l v 
 e q h 
 q k v m b 
 b y 
 y 
 n v a r d 
 w e k j p","b g l l v 
 e q h 
 q k v m b 
 b y 
 y 
 n v a r d 
 w e k j p@"
10,"#input
khzx
bywd
fxqv
ndhyd
xbgox
ndefl
#output
","k h z x 
 b y w d 
 f x q v 
 n d h y d 
 x b g o x 
 n d e f l","k h z x 
 b y w d 
 f x q v 
 n d h y d 
 x b g o x 
 n d e f l@"
11,"#input
sbxbz
plzkf
fxg
fwt
njb
hwi
hixe
#output
","s b x b z 
 p l z k f 
 f x g 
 f w t 
 n j b 
 h w i 
 h i x e","s b x b z 
 p l z k f 
 f x g 
 f w t 
 n j b 
 h w i 
 h i x e@"
12,"#input
cpgkr
hcbm
nhnw
dlptt
nppt
oantm
#output
","c p g k r 
 h c b m 
 n h n w 
 d l p t t 
 n p p t 
 o a n t m","c p g k r 
 h c b m 
 n h n w 
 d l p t t 
 n p p t 
 o a n t m@"
13,"#input
nwv
ecao
cktuj
povvm
qiqfc
sxwoz
#output
","n w v 
 e c a o 
 c k t u j 
 p o v v m 
 q i q f c 
 s x w o z","n w v 
 e c a o 
 c k t u j 
 p o v v m 
 q i q f c 
 s x w o z@"
14,"#input
jhrpj
fvxji
dtyn
qdfr
tyab
iemgs
#output
","j h r p j 
 f v x j i 
 d t y n 
 q d f r 
 t y a b 
 i e m g s","j h r p j 
 f v x j i 
 d t y n 
 q d f r 
 t y a b 
 i e m g s@"
15,"#input
yzwpr
djufj
frjdu
afz
lqpba
hmcl
#output
","y z w p r 
 d j u f j 
 f r j d u 
 a f z 
 l q p b a 
 h m c l","y z w p r 
 d j u f j 
 f r j d u 
 a f z 
 l q p b a 
 h m c l@"
16,"#input
pvzcr
avcd
kwllu
lpd
v
axwz
izhi
#output
","p v z c r 
 a v c d 
 k w l l u 
 l p d 
 v 
 a x w z 
 i z h i","p v z c r 
 a v c d 
 k w l l u 
 l p d 
 v 
 a x w z 
 i z h i@"
17,"#input
mpaxi
mclr
rnre
lqjj
n
yv
oijrm
#output
","m p a x i 
 m c l r 
 r n r e 
 l q j j 
 n 
 y v 
 o i j r m","m p a x i 
 m c l r 
 r n r e 
 l q j j 
 n 
 y v 
 o i j r m@"
18,"#input
epfkt
mjpoq
mosgx
rhd
q
fy
xtci
#output
","e p f k t 
 m j p o q 
 m o s g x 
 r h d 
 q 
 f y 
 x t c i","e p f k t 
 m j p o q 
 m o s g x 
 r h d 
 q 
 f y 
 x t c i@"
19,"#input
sduyi
bou
gqiee
usgp
xofj
cgukh
#output
","s d u y i 
 b o u 
 g q i e e 
 u s g p 
 x o f j 
 c g u k h","s d u y i 
 b o u 
 g q i e e 
 u s g p 
 x o f j 
 c g u k h@"
20,"#input
nwz
rq
p
hwrgr
qoksb
guuk
oybqm
#output
","n w z 
 r q 
 p 
 h w r g r 
 q o k s b 
 g u u k 
 o y b q m","n w z 
 r q 
 p 
 h w r g r 
 q o k s b 
 g u u k 
 o y b q m@"
21,"#input
glu
yipcx
yjrwn
z
p
xlwzb
ubdse
#output
","g l u 
 y i p c x 
 y j r w n 
 z 
 p 
 x l w z b 
 u b d s e","g l u 
 y i p c x 
 y j r w n 
 z 
 p 
 x l w z b 
 u b d s e@"
22,"#input
haext
ta
rhjr
aekn
kg
hmm
bwzaf
#output
","h a e x t 
 t a 
 r h j r 
 a e k n 
 k g 
 h m m 
 b w z a f","h a e x t 
 t a 
 r h j r 
 a e k n 
 k g 
 h m m 
 b w z a f@"
23,"#input
wzadw
rzms
ett
qbwwf
ihwm
nvgri
#output
","w z a d w 
 r z m s 
 e t t 
 q b w w f 
 i h w m 
 n v g r i","w z a d w 
 r z m s 
 e t t 
 q b w w f 
 i h w m 
 n v g r i@"
24,"#input
xmybv
gce
iqls
ojiax
egyac
evbv
#output
","x m y b v 
 g c e 
 i q l s 
 o j i a x 
 e g y a c 
 e v b v","x m y b v 
 g c e 
 i q l s 
 o j i a x 
 e g y a c 
 e v b v@"
25,"#input
mryu
hltza
g
ae
yfqv
dwfg
svqzw
#output
","m r y u 
 h l t z a 
 g 
 a e 
 y f q v 
 d w f g 
 s v q z w","m r y u 
 h l t z a 
 g 
 a e 
 y f q v 
 d w f g 
 s v q z w@"
26,"#input
wnpch
spyii
zqsq
bmybr
kcc
dhht
#output
","w n p c h 
 s p y i i 
 z q s q 
 b m y b r 
 k c c 
 d h h t","w n p c h 
 s p y i i 
 z q s q 
 b m y b r 
 k c c 
 d h h t@"
27,"#input
uusyy
qzim
ofvkh
mzy
ropy
byaki
#output
","u u s y y 
 q z i m 
 o f v k h 
 m z y 
 r o p y 
 b y a k i","u u s y y 
 q z i m 
 o f v k h 
 m z y 
 r o p y 
 b y a k i@"
28,"#input
yjsl
ev
xpcg
ptmih
ez
dxdy
klmw
#output
","y j s l 
 e v 
 x p c g 
 p t m i h 
 e z 
 d x d y 
 k l m w","y j s l 
 e v 
 x p c g 
 p t m i h 
 e z 
 d x d y 
 k l m w@"
29,"#input
efgpc
wkw
drum
lc
nk
koya
enbjv
#output
","e f g p c 
 w k w 
 d r u m 
 l c 
 n k 
 k o y a 
 e n b j v","e f g p c 
 w k w 
 d r u m 
 l c 
 n k 
 k o y a 
 e n b j v@"
30,"#input
afbb
ontrr
bj
ldwuf
ie
hw
wtpqr
#output
","a f b b 
 o n t r r 
 b j 
 l d w u f 
 i e 
 h w 
 w t p q r","a f b b 
 o n t r r 
 b j 
 l d w u f 
 i e 
 h w 
 w t p q r@"
31,"#input
gawc
gwos
oajdy
yqfm
zalvs
cwyg
#output
","g a w c 
 g w o s 
 o a j d y 
 y q f m 
 z a l v s 
 c w y g","g a w c 
 g w o s 
 o a j d y 
 y q f m 
 z a l v s 
 c w y g@"
32,"#input
xboxr
bxmw
qccl
w
c
pwoew
lehsa
#output
","x b o x r 
 b x m w 
 q c c l 
 w 
 c 
 p w o e w 
 l e h s a","x b o x r 
 b x m w 
 q c c l 
 w 
 c 
 p w o e w 
 l e h s a@"
33,"#input
ehd
otqto
zqb
rcoqu
bahtn
zwwko
#output
","e h d 
 o t q t o 
 z q b 
 r c o q u 
 b a h t n 
 z w w k o","e h d 
 o t q t o 
 z q b 
 r c o q u 
 b a h t n 
 z w w k o@"
34,"#input
xebpb
bu
gxfnn
qgsv
tneol
rgvhq
#output
","x e b p b 
 b u 
 g x f n n 
 q g s v 
 t n e o l 
 r g v h q","x e b p b 
 b u 
 g x f n n 
 q g s v 
 t n e o l 
 r g v h q@"
35,"#input
yinip
nvoc
yg
ikzmt
hfcwe
aama
#output
","y i n i p 
 n v o c 
 y g 
 i k z m t 
 h f c w e 
 a a m a","y i n i p 
 n v o c 
 y g 
 i k z m t 
 h f c w e 
 a a m a@"
36,"#input
kbyo
byfn
lcgex
gn
hqcjs
jqynt
#output
","k b y o 
 b y f n 
 l c g e x 
 g n 
 h q c j s 
 j q y n t","k b y o 
 b y f n 
 l c g e x 
 g n 
 h q c j s 
 j q y n t@"
37,"#input
fhshp
umzp
argk
bxg
itfy
sytes
#output
","f h s h p 
 u m z p 
 a r g k 
 b x g 
 i t f y 
 s y t e s","f h s h p 
 u m z p 
 a r g k 
 b x g 
 i t f y 
 s y t e s@"
38,"#input
rjkod
lidl
seudy
fzsw
neu
tkxd
#output
","r j k o d 
 l i d l 
 s e u d y 
 f z s w 
 n e u 
 t k x d","r j k o d 
 l i d l 
 s e u d y 
 f z s w 
 n e u 
 t k x d@"
39,"#input
rczho
jllqn
p
cwqtm
pwoad
kjqg
#output
","r c z h o 
 j l l q n 
 p 
 c w q t m 
 p w o a d 
 k j q g","r c z h o 
 j l l q n 
 p 
 c w q t m 
 p w o a d 
 k j q g@"
40,"#input
zplu
tulz
aahgl
rjxum
kgl
tjdq
#output
","z p l u 
 t u l z 
 a a h g l 
 r j x u m 
 k g l 
 t j d q","z p l u 
 t u l z 
 a a h g l 
 r j x u m 
 k g l 
 t j d q@"
41,"#input
vvlq
zjwl
bk
vdogp
akvzt
asixt
#output
","v v l q 
 z j w l 
 b k 
 v d o g p 
 a k v z t 
 a s i x t","v v l q 
 z j w l 
 b k 
 v d o g p 
 a k v z t 
 a s i x t@"
42,"#input
izni
i
bo
brfoz
xtipk
pdf
oqdz
#output
","i z n i 
 i 
 b o 
 b r f o z 
 x t i p k 
 p d f 
 o q d z","i z n i 
 i 
 b o 
 b r f o z 
 x t i p k 
 p d f 
 o q d z@"
43,"#input
xdy
dgql
cktnq
bmkhk
twt
vrxgv
#output
","x d y 
 d g q l 
 c k t n q 
 b m k h k 
 t w t 
 v r x g v","x d y 
 d g q l 
 c k t n q 
 b m k h k 
 t w t 
 v r x g v@"
44,"#input
opzo
tki
knsmk
mnplc
z
vmm
twl
#output
","o p z o 
 t k i 
 k n s m k 
 m n p l c 
 z 
 v m m 
 t w l","o p z o 
 t k i 
 k n s m k 
 m n p l c 
 z 
 v m m 
 t w l@"
