,example_input,example_output,all-generated-output
0,"#input
nhvqb
zmiil
agsui
eokgm
kmvh
#output
","n h v q b 
 z m i i l 
 a g s u i 
 e o k g m 
 k m v h","n h v q b 
 z m i i l 
 a g s u i 
 e o k g m 
 k m v h@"
1,"#input
inkvl
mbmpd
lnjo
xkyto
gwhtj
#output
","i n k v l 
 m b m p d 
 l n j o 
 x k y t o 
 g w h t j","i n k v l 
 m b m p d 
 l n j o 
 x k y t o 
 g w h t j@"
2,"#input
lircl
zeqa
frysi
hccsr
blpxp
#output
","l i r c l 
 z e q a 
 f r y s i 
 h c c s r 
 b l p x p","l i r c l 
 z e q a 
 f r y s i 
 h c c s r 
 b l p x p@"
3,"#input
yxrcd
fjqcc
swgb
fbniy
tjhle
#output
","y x r c d 
 f j q c c 
 s w g b 
 f b n i y 
 t j h l e","y x r c d 
 f j q c c 
 s w g b 
 f b n i y 
 t j h l e@"
4,"#input
ttyv
euslf
fpxpu
dswd
htbfz
#output
","t t y v 
 e u s l f 
 f p x p u 
 d s w d 
 h t b f z","t t y v 
 e u s l f 
 f p x p u 
 d s w d 
 h t b f z@"
5,"#input
woasa
zuexc
pgnzp
mmtah
qcw
#output
","w o a s a 
 z u e x c 
 p g n z p 
 m m t a h 
 q c w","w o a s a 
 z u e x c 
 p g n z p 
 m m t a h 
 q c w@"
6,"#input
uihpp
lnarb
gkqz
gakh
ctllp
#output
","u i h p p 
 l n a r b 
 g k q z 
 g a k h 
 c t l l p","u i h p p 
 l n a r b 
 g k q z 
 g a k h 
 c t l l p@"
7,"#input
ihac
koya
apktk
hovdu
jslbz
#output
","i h a c 
 k o y a 
 a p k t k 
 h o v d u 
 j s l b z","i h a c 
 k o y a 
 a p k t k 
 h o v d u 
 j s l b z@"
8,"#input
uanzt
bchyw
sbfy
dlwbv
mpcu
#output
","u a n z t 
 b c h y w 
 s b f y 
 d l w b v 
 m p c u","u a n z t 
 b c h y w 
 s b f y 
 d l w b v 
 m p c u@"
9,"#input
lgliq
vobxm
bbd
kcxkg
msije
#output
","l g l i q 
 v o b x m 
 b b d 
 k c x k g 
 m s i j e","l g l i q 
 v o b x m 
 b b d 
 k c x k g 
 m s i j e@"
10,"#input
jbhsl
ggzjq
cpvdb
jbhk
dpgg
#output
","j b h s l 
 g g z j q 
 c p v d b 
 j b h k 
 d p g g","j b h s l 
 g g z j q 
 c p v d b 
 j b h k 
 d p g g@"
11,"#input
eobym
nldts
eolz
pgae
oiqwy
#output
","e o b y m 
 n l d t s 
 e o l z 
 p g a e 
 o i q w y","e o b y m 
 n l d t s 
 e o l z 
 p g a e 
 o i q w y@"
12,"#input
sgeb
rocpa
yhfkj
kmvu
wghqw
#output
","s g e b 
 r o c p a 
 y h f k j 
 k m v u 
 w g h q w","s g e b 
 r o c p a 
 y h f k j 
 k m v u 
 w g h q w@"
13,"#input
bpbnf
tyrli
uwni
laznd
cssi
#output
","b p b n f 
 t y r l i 
 u w n i 
 l a z n d 
 c s s i","b p b n f 
 t y r l i 
 u w n i 
 l a z n d 
 c s s i@"
14,"#input
qwdjo
rtmu
yfof
gwzic
orfzf
#output
","q w d j o 
 r t m u 
 y f o f 
 g w z i c 
 o r f z f","q w d j o 
 r t m u 
 y f o f 
 g w z i c 
 o r f z f@"
15,"#input
hagsg
bqhh
oxrv
ypxfr
eamgq
#output
","h a g s g 
 b q h h 
 o x r v 
 y p x f r 
 e a m g q","h a g s g 
 b q h h 
 o x r v 
 y p x f r 
 e a m g q@"
16,"#input
hnfny
dhly
fkacp
zdpcv
cufw
#output
","h n f n y 
 d h l y 
 f k a c p 
 z d p c v 
 c u f w","h n f n y 
 d h l y 
 f k a c p 
 z d p c v 
 c u f w@"
17,"#input
epdmb
uixcu
fwd
neqem
draim
#output
","e p d m b 
 u i x c u 
 f w d 
 n e q e m 
 d r a i m","e p d m b 
 u i x c u 
 f w d 
 n e q e m 
 d r a i m@"
18,"#input
cvxh
gntg
thqjg
biton
lkqet
#output
","c v x h 
 g n t g 
 t h q j g 
 b i t o n 
 l k q e t","c v x h 
 g n t g 
 t h q j g 
 b i t o n 
 l k q e t@"
19,"#input
jarj
fvmve
tpmkl
zzvgr
aunt
#output
","j a r j 
 f v m v e 
 t p m k l 
 z z v g r 
 a u n t","j a r j 
 f v m v e 
 t p m k l 
 z z v g r 
 a u n t@"
20,"#input
emnla
lgrsy
jylfa
oiw
ereue
#output
","e m n l a 
 l g r s y 
 j y l f a 
 o i w 
 e r e u e","e m n l a 
 l g r s y 
 j y l f a 
 o i w 
 e r e u e@"
21,"#input
lczul
mlbip
tz
uzdvp
jidfi
#output
","l c z u l 
 m l b i p 
 t z 
 u z d v p 
 j i d f i","l c z u l 
 m l b i p 
 t z 
 u z d v p 
 j i d f i@"
22,"#input
ldmbh
bysl
qgydd
occxr
lqg
#output
","l d m b h 
 b y s l 
 q g y d d 
 o c c x r 
 l q g","l d m b h 
 b y s l 
 q g y d d 
 o c c x r 
 l q g@"
23,"#input
nwydx
xhgyj
vkt
vgmhx
lzyy
#output
","n w y d x 
 x h g y j 
 v k t 
 v g m h x 
 l z y y","n w y d x 
 x h g y j 
 v k t 
 v g m h x 
 l z y y@"
24,"#input
zvxor
ydvou
lap
oxzqz
gzar
#output
","z v x o r 
 y d v o u 
 l a p 
 o x z q z 
 g z a r","z v x o r 
 y d v o u 
 l a p 
 o x z q z 
 g z a r@"
25,"#input
mfhai
rovwm
xymag
mk
hjuho
#output
","m f h a i 
 r o v w m 
 x y m a g 
 m k 
 h j u h o","m f h a i 
 r o v w m 
 x y m a g 
 m k 
 h j u h o@"
26,"#input
ude
cofph
zkdir
yiyju
uyvx
#output
","u d e 
 c o f p h 
 z k d i r 
 y i y j u 
 u y v x","u d e 
 c o f p h 
 z k d i r 
 y i y j u 
 u y v x@"
27,"#input
iuc
mymmt
cxbwq
gyamn
wrtn
#output
","i u c 
 m y m m t 
 c x b w q 
 g y a m n 
 w r t n","i u c 
 m y m m t 
 c x b w q 
 g y a m n 
 w r t n@"
28,"#input
pougb
cej
faarn
ypyn
ozxbj
#output
","p o u g b 
 c e j 
 f a a r n 
 y p y n 
 o z x b j","p o u g b 
 c e j 
 f a a r n 
 y p y n 
 o z x b j@"
29,"#input
ounfu
gjvkx
slm
awlsj
lipo
#output
","o u n f u 
 g j v k x 
 s l m 
 a w l s j 
 l i p o","o u n f u 
 g j v k x 
 s l m 
 a w l s j 
 l i p o@"
30,"#input
pvp
fdirn
qeop
bwaiz
ltgnf
#output
","p v p 
 f d i r n 
 q e o p 
 b w a i z 
 l t g n f","p v p 
 f d i r n 
 q e o p 
 b w a i z 
 l t g n f@"
31,"#input
thxlz
ukdvs
qes
dsbus
gbaq
#output
","t h x l z 
 u k d v s 
 q e s 
 d s b u s 
 g b a q","t h x l z 
 u k d v s 
 q e s 
 d s b u s 
 g b a q@"
32,"#input
mpvga
meqgd
bvhd
erugm
fpu
#output
","m p v g a 
 m e q g d 
 b v h d 
 e r u g m 
 f p u","m p v g a 
 m e q g d 
 b v h d 
 e r u g m 
 f p u@"
33,"#input
ierr
qyvr
zlhgh
hljse
mhfl
#output
","i e r r 
 q y v r 
 z l h g h 
 h l j s e 
 m h f l","i e r r 
 q y v r 
 z l h g h 
 h l j s e 
 m h f l@"
34,"#input
yjgwu
wnrkr
prelp
fzzt
eqw
#output
","y j g w u 
 w n r k r 
 p r e l p 
 f z z t 
 e q w","y j g w u 
 w n r k r 
 p r e l p 
 f z z t 
 e q w@"
35,"#input
kog
zoojh
ktykx
kisb
klhhv
#output
","k o g 
 z o o j h 
 k t y k x 
 k i s b 
 k l h h v","k o g 
 z o o j h 
 k t y k x 
 k i s b 
 k l h h v@"
36,"#input
geaj
rykdv
jysqw
qvo
zsnjx
#output
","g e a j 
 r y k d v 
 j y s q w 
 q v o 
 z s n j x","g e a j 
 r y k d v 
 j y s q w 
 q v o 
 z s n j x@"
37,"#input
ibxpi
mtua
rrs
muvgl
bpnom
#output
","i b x p i 
 m t u a 
 r r s 
 m u v g l 
 b p n o m","i b x p i 
 m t u a 
 r r s 
 m u v g l 
 b p n o m@"
38,"#input
qozux
tvaft
eozoj
vl
mdfum
#output
","q o z u x 
 t v a f t 
 e o z o j 
 v l 
 m d f u m","q o z u x 
 t v a f t 
 e o z o j 
 v l 
 m d f u m@"
39,"#input
kvkd
anup
neurf
uwjo
atrry
#output
","k v k d 
 a n u p 
 n e u r f 
 u w j o 
 a t r r y","k v k d 
 a n u p 
 n e u r f 
 u w j o 
 a t r r y@"
40,"#input
mhzk
tobw
boi
yoddv
aaamt
#output
","m h z k 
 t o b w 
 b o i 
 y o d d v 
 a a a m t","m h z k 
 t o b w 
 b o i 
 y o d d v 
 a a a m t@"
41,"#input
cfjuv
avv
cpov
jsari
rdxo
#output
","c f j u v 
 a v v 
 c p o v 
 j s a r i 
 r d x o","c f j u v 
 a v v 
 c p o v 
 j s a r i 
 r d x o@"
