,example_input,example_output,all-generated-output
0,"#input
qvrvnbbfw
bjylzna
gtjqqrp
qlpixbw
ppkxsxiduc
wzinfpc
kxmqatxjx
#output
","q v r v n b b f w 
 b j y l z n a 
 g t j q q r p 
 q l p i x b w 
 p p k x s x i d u c 
 w z i n f p c 
 k x m q a t x j x","q v r v w 
 b j y l a 
 g t j q p 
 g t j q w 
 q l p i b w c 
 p p k i x c d c 
 k z m q p@"
1,"#input
itlwksdxhr
ybkkqhdp
mjwmeap
dxluya
nhuecv
pzdolloiyt
nsiyknrpk
#output
","i t l w k s d x h r 
 y b k k q h d p 
 m j w m e a p 
 d x l u y a 
 n h u e c v 
 p z d o l l o i y t 
 n s i y k n r p k","i t l w h 
 y b k k h p d 
 m j w k p h p 
 d x l u a y e 
 n h u l a y 
 p h u o l y l k 
 n z i y k@"
2,"#input
zfdtog
ewsukaslf
cnlcrkgvyp
hbrmhf
yfspuud
kroxymoln
ctcopkpkh
#output
","z f d t o g 
 e w s u k a s l f 
 c n l c r k g v y p 
 h b r m h f 
 y f s p u u d 
 k r o x y m o l n 
 c t c o p k p k h","z f d t o 
 e w s u a l s 
 c n l c k g p 
 h b r m k h u h 
 y b r m u d u 
 k f s p u h o n 
 c r c o p k p@"
3,"#input
lttupy
rypjgbf
syfxga
rurojzr
ykifnuj
rbxgmmb
bxcscfx
jycmlrvr
#output
","l t t u p y 
 r y p j g b f 
 s y f x g a 
 r u r o j z r 
 y k i f n u j 
 r b x g m m b 
 b x c s c f x 
 j y c m l r v r","l t t u p 
 r y p j b 
 s y f x a g g 
 r u r o j r j 
 y u r o j u j 
 r k i g m 
 b b c m g r m u@"
4,"#input
cdilgiss
fpzgjbkm
rnclkdrgau
mxnotf
karaszr
bgunasqblc
wurasmz
#output
","c d i l g i s s 
 f p z g j b k m 
 r n c l k d r g a u 
 m x n o t f 
 k a r a s z r 
 b g u n a s q b l c 
 w u r a s m z","c d i l s 
 f p z g m 
 r n c l k g k g 
 m n c l d g a k 
 k x n o r s 
 b a u a s c a 
 w u r a s@"
5,"#input
ycfotwt
eiuaaiwlnc
sldrxq
fsvysasrd
csvzhjl
rchkxie
lwvbxdommk
#output
","y c f o t w t 
 e i u a a i w l n c 
 s l d r x q 
 f s v y s a s r d 
 c s v z h j l 
 r c h k x i e 
 l w v b x d o m m k","y c f o t 
 e i u a w 
 s l d r l 
 f l v r s d s 
 c s v y s d s r 
 r c v k h 
 l c h k m k m@"
6,"#input
hsjnbnzt
svfqsz
pyccrx
guisqhtg
ewaozuoxd
pcqieilbo
ihhlsndozr
#output
","h s j n b n z t 
 s v f q s z 
 p y c c r x 
 g u i s q h t g 
 e w a o z u o x d 
 p c q i e i l b o 
 i h h l s n d o z r","h s j n t 
 s v f q z s z 
 p y c c x 
 g y i s h g t g 
 e w i s h o u 
 p c a i o d o 
 i c q i o@"
7,"#input
istmpbhnul
kqufqoeg
expbmki
ppelrphvu
nukaqucd
tcqiza
vpyvdfdu
#output
","i s t m p b h n u l 
 k q u f q o e g 
 e x p b m k i 
 p p e l r p h v u 
 n u k a q u c d 
 t c q i z a 
 v p y v d f d u","i s t m h 
 k q u f g 
 e x p b k i m 
 p p e l p u h 
 n p e l u c u 
 v c k a u d u 
 v p y v d u@"
8,"#input
akoyoedtt
yaivfyffls
agcjbq
chehqhq
hbhtyn
faejbrem
luoycodlbf
#output
","a k o y o e d t t 
 y a i v f y f f l s 
 a g c j b q 
 c h e h q h q 
 h b h t y n 
 f a e j b r e m 
 l u o y c o d l b f","a k o y t o t o 
 y a i i f s f 
 a g c j q s b 
 c h e h q 
 h h e h q y q 
 f a h j y m b 
 l a u j m o b@"
9,"#input
enqvpyoy
oqznxssfzs
tcrkqmskae
ythsgn
mszxzkks
xektzvxx
nxanef
#output
","e n q v p y o y 
 o q z n x s s f z s 
 t c r k q m s k a e 
 y t h s g n 
 m s z x z k k s 
 x e k t z v x x 
 n x a n e f","e n q q y 
 o q z n s z s 
 t c r k s a s 
 y c r k s e g k 
 m s h s k 
 m s z k z k x k 
 n e a n f@"
