,example_input,example_output,all-generated-output
0,"#input
cnjzp
wrbrnu
zgytv
xugdc
eifb
#output
","p z j n c 
 u n r b r w 
 v t y g z 
 c d g u x 
 b f i e","p z j n c 
 u n r b r w 
 v t y g z 
 c d g u x 
 b f i e@"
1,"#input
wmfru
wzfat
bjq
gvejwk
gjebg
#output
","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g","u r f m w 
 t a f z w 
 q j b 
 k w j e v g 
 g b e j g@"
2,"#input
enhy
dpfd
zlyjns
nmeaw
xkdsl
#output
","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x@"
3,"#input
fezfj
pfgz
pafm
wbtvr
twkgww
#output
","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t@"
4,"#input
txbjeo
rcalr
pqdl
amnrp
xkkm
#output
","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x@"
5,"#input
znvjgk
ketk
riwiq
didv
xwebi
#output
","k g j v n z 
 k t e k 
 q i w i r 
 v d i d 
 i b e w x","k g j v n z 
 k t e k 
 q i w i r 
 v d i d 
 i b e w x@"
6,"#input
lioap
ybmpc
rnyan
km
ruofue
#output
","p a o i l 
 c p m b y 
 n a y n r 
 m k 
 e u f o u r","p a o i l 
 c p m b y 
 n a y n r 
 m k 
 e u f o u r@"
7,"#input
xfjqd
vyfwvk
az
ntnfi
dpbri
#output
","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d@"
8,"#input
qd
aesnwr
dmbbp
hchji
yifrs
#output
","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y","d q 
 r w n s e a 
 p b b m d 
 i j h c h 
 s r f i y@"
9,"#input
xeqw
zxfs
waer
sglqd
cadbfc
#output
","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c@"
10,"#input
pasdwf
hky
arjwc
zsoj
dojse
#output
","f w d s a p 
 y k h 
 c w j r a 
 j o s z 
 e s j o d","f w d s a p 
 y k h 
 c w j r a 
 j o s z 
 e s j o d@"
11,"#input
doro
thr
evige
lzvpf
vovzwy
#output
","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v@"
12,"#input
greo
sityy
fcogeg
llzxu
gmg
#output
","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g@"
13,"#input
ovie
spc
yvyqto
zgpze
zwvrn
#output
","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z@"
14,"#input
dmvnlu
blf
vytdu
tmyzf
ukgl
#output
","u l n v m d 
 f l b 
 u d t y v 
 f z y m t 
 l g k u","u l n v m d 
 f l b 
 u d t y v 
 f z y m t 
 l g k u@"
15,"#input
fhxzmv
xon
ndhr
xfjff
mfog
#output
","v m z x h f 
 n o x 
 r h d n 
 f f j f x 
 g o f m","v m z x h f 
 n o x 
 r h d n 
 f f j f x 
 g o f m@"
16,"#input
jxznt
yuk
cxji
xxro
iiyqed
#output
","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i","t n z x j 
 k u y 
 i j x c 
 o r x x 
 d e q y i i@"
17,"#input
geohl
pieg
femwvy
wfc
suse
#output
","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s@"
