,example_input,example_output,all-generated-output
0,"#input
dmwse
rvsuh
qjovi
yuk
chnfra
#output
","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c","e s w m d 
 h u s v r 
 i v o j q 
 k u y 
 a r f n h c@"
1,"#input
enhy
dpfd
zlyjns
nmeaw
xkdsl
#output
","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x","y h n e 
 d f p d 
 s n j y l z 
 w a e m n 
 l s d k x@"
2,"#input
fezfj
pfgz
pafm
wbtvr
twkgww
#output
","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t","j f z e f 
 z g f p 
 m f a p 
 r v t b w 
 w w g k w t@"
3,"#input
txbjeo
rcalr
pqdl
amnrp
xkkm
#output
","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x","o e j b x t 
 r l a c r 
 l d q p 
 p r n m a 
 m k k x@"
4,"#input
rpkx
qqvhy
ekpqgd
mbbma
yhif
#output
","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y","x k p r 
 y h v q q 
 d g q p k e 
 a m b b m 
 f i h y@"
5,"#input
znvjgk
ketk
riwiq
didv
xwebi
#output
","k g j v n z 
 k t e k 
 q i w i r 
 v d i d 
 i b e w x","k g j v n z 
 k t e k 
 q i w i r 
 v d i d 
 i b e w x@"
6,"#input
uoqij
bvhp
csxvu
slkifd
fly
#output
","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f","j i q o u 
 p h v b 
 u v x s c 
 d f i k l s 
 y l f@"
7,"#input
xfjqd
vyfwvk
az
ntnfi
dpbri
#output
","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d","d q j f x 
 k v w f y v 
 z a 
 i f n t n 
 i r b p d@"
8,"#input
xeqw
zxfs
waer
sglqd
cadbfc
#output
","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c","w q e x 
 s f x z 
 r e a w 
 d q l g s 
 c f b d a c@"
9,"#input
doro
thr
evige
lzvpf
vovzwy
#output
","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v","o r o d 
 r h t 
 e g i v e 
 f p v z l 
 y w z v o v@"
10,"#input
qpmt
ctxj
nzqcs
hyrmrt
xdsw
#output
","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x","t m p q 
 j x t c 
 s c q z n 
 t r m r y h 
 w s d x@"
11,"#input
hcye
mjim
mfisq
ovmvly
iuvw
#output
","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i","e y c h 
 m i j m 
 q s i f m 
 y l v m v o 
 w v u i@"
12,"#input
greo
sityy
fcogeg
llzxu
gmg
#output
","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g","o e r g 
 y y t i s 
 g e g o c f 
 u x z l l 
 g m g@"
13,"#input
jacu
dks
sgzbdv
orcmt
qrksd
#output
","u c a j 
 s k d 
 v d b z g s 
 t m c r o 
 d s k r q","u c a j 
 s k d 
 v d b z g s 
 t m c r o 
 d s k r q@"
14,"#input
jmige
wl
eisyn
vcbfrjv
msqn
#output
","e g i m j 
 l w 
 n y s i e 
 v j r f b c v 
 n q s m","e g i m j 
 l w 
 n y s i e 
 v j r f b c v 
 n q s m@"
15,"#input
ovie
spc
yvyqto
zgpze
zwvrn
#output
","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z","e i v o 
 c p s 
 o t q y v y 
 e z p g z 
 n r v w z@"
16,"#input
grkak
vz
imnm
zxbkq
dgkzswk
#output
","k a k r g 
 z v 
 m n m i 
 q k b x z 
 k w s z k g d","k a k r g 
 z v 
 m n m i 
 q k b x z 
 k w s z k g d@"
17,"#input
geohl
pieg
femwvy
wfc
suse
#output
","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s","l h o e g 
 g e i p 
 y v w m e f 
 c f w 
 e s u s@"
18,"#input
zcxe
motw
dwr
fquwsq
akqya
#output
","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a","e x c z 
 w t o m 
 r w d 
 q s w u q f 
 a y q k a@"
19,"#input
styji
ipnlt
ixrkxv
rlm
ymu
#output
","i j y t s 
 t l n p i 
 v x k r x i 
 m l r 
 u m y","i j y t s 
 t l n p i 
 v x k r x i 
 m l r 
 u m y@"
20,"#input
sthp
mimuoj
sm
ffppi
pogyc
#output
","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p","p h t s 
 j o u m i m 
 m s 
 i p p f f 
 c y g o p@"
21,"#input
sfycs
krgz
wo
acrblv
swyqp
#output
","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s","s c y f s 
 z g r k 
 o w 
 v l b r c a 
 p q y w s@"
22,"#input
brgsw
rrmknz
ypw
alg
ggsvm
#output
","w s g r b 
 z n k m r r 
 w p y 
 g l a 
 m v s g g","w s g r b 
 z n k m r r 
 w p y 
 g l a 
 m v s g g@"
23,"#input
gskpz
vnbk
qyqiha
jtm
kkol
#output
","z p k s g 
 k b n v 
 a h i q y q 
 m t j 
 l o k k","z p k s g 
 k b n v 
 a h i q y q 
 m t j 
 l o k k@"
24,"#input
mgmij
vzoz
orxjd
dlbkijv
j
#output
","j i m g m 
 z o z v 
 d j x r o 
 v j i k b l d 
 j","j i m g m 
 z o z v 
 d j x r o 
 v j i k b l d 
 j@"
25,"#input
mtgfc
qsbue
uck
fqb
vefufu
#output
","c f g t m 
 e u b s q 
 k c u 
 b q f 
 u f u f e v","c f g t m 
 e u b s q 
 k c u 
 b q f 
 u f u f e v@"
26,"#input
ysdyns
iiph
wmnnl
lydep
vo
#output
","s n y d s y 
 h p i i 
 l n n m w 
 p e d y l 
 o v","s n y d s y 
 h p i i 
 l n n m w 
 p e d y l 
 o v@"
27,"#input
ykh
abxz
rfxwwx
vktf
enztu
#output
","h k y 
 z x b a 
 x w w x f r 
 f t k v 
 u t z n e","h k y 
 z x b a 
 x w w x f r 
 f t k v 
 u t z n e@"
28,"#input
sl
dyzbt
cavo
faagyq
pnscz
#output
","l s 
 t b z y d 
 o v a c 
 q y g a a f 
 z c s n p","l s 
 t b z y d 
 o v a c 
 q y g a a f 
 z c s n p@"
29,"#input
wlbis
ifbkc
xvctjc
lom
ggf
#output
","s i b l w 
 c k b f i 
 c j t c v x 
 m o l 
 f g g","s i b l w 
 c k b f i 
 c j t c v x 
 m o l 
 f g g@"
30,"#input
s
wnypq
chmqv
vxjiu
ttzhvq
#output
","s 
 q p y n w 
 v q m h c 
 u i j x v 
 q v h z t t","s 
 q p y n w 
 v q m h c 
 u i j x v 
 q v h z t t@"
31,"#input
yod
iici
ydsq
posrk
xwrsjv
#output
","d o y 
 i c i i 
 q s d y 
 k r s o p 
 v j s r w x","d o y 
 i c i i 
 q s d y 
 k r s o p 
 v j s r w x@"
32,"#input
jb
kinzya
fvfr
hjvbl
warqh
#output
","b j 
 a y z n i k 
 r f v f 
 l b v j h 
 h q r a w","b j 
 a y z n i k 
 r f v f 
 l b v j h 
 h q r a w@"
33,"#input
ihxndx
yvlrc
oscyt
dtku
ms
#output
","x d n x h i 
 c r l v y 
 t y c s o 
 u k t d 
 s m","x d n x h i 
 c r l v y 
 t y c s o 
 u k t d 
 s m@"
34,"#input
xfuzj
s
idbrn
pawgll
icaig
#output
","j z u f x 
 s 
 n r b d i 
 l l g w a p 
 g i a c i","j z u f x 
 s 
 n r b d i 
 l l g w a p 
 g i a c i@"
