,example_input,example_output,all-generated-output
0,"#input
vjqfo
mzgs
hfnr
lkumd
kudip
ycmp
jntgr
rxa
xhfn
epahz
#output
","o f q j v 
 s g z m 
 r n f h 
 d m u k l 
 p i d u k 
 p m c y 
 r g t n j 
 a x r 
 n f h x 
 z h a p e","o f q j v 
 s g z m 
 r n f h 
 d m u k l 
 p i d u k 
 r m u n k 
 z a n j 
 z q s q j@"
1,"#input
wigsc
eo
ihjtr
zcam
ozawm
vhf
fbbsd
hkbwg
zhffh
egkti
#output
","c s g i w 
 o e 
 r t j h i 
 m a c z 
 m w a z o 
 f h v 
 d s b b f 
 g w b k h 
 h f f h z 
 i t k g e","c s g i w 
 o e 
 r t j h i 
 m a c z 
 m w a z o 
 q 
 h s h b f 
 q s b f b 
 q t q z@"
2,"#input
xih
gecbw
piye
sghuk
krdm
jygc
rgjxb
eapy
swuye
orwcx
#output
","h i x 
 w b c e g 
 e y i p 
 k u h g s 
 m d r k 
 c g y j 
 b x j g r 
 y p a e 
 e y u w s 
 x c w r o","h i x 
 w b c e g 
 e y i p 
 k u h g s 
 m d r k 
 b c g y j 
 b j g j 
 b w j w j@"
3,"#input
sbluo
vxs
jrl
shud
hxsjb
mkzx
dfujf
uvovv
yyxg
gnnul
#output
","o u l b s 
 s x v 
 l r j 
 d u h s 
 b j s x h 
 x z k m 
 f j u f d 
 v v o v u 
 g x y y 
 l u n n g","o u l b s 
 s x v 
 l r j 
 d u h s 
 b j s x h 
 f z k m 
 q u n k m 
 l v y d m@"
4,"#input
vbwao
edoag
unsu
jmcko
sboh
lxn
umlee
gqbgb
jud
hlti
#output
","o a w b v 
 g a o d e 
 u s n u 
 o k c m j 
 h o b s 
 n x l 
 e e l m u 
 b g b q g 
 d u j 
 i t l h","o a w b v 
 g a o d e 
 u s n u 
 o k c m j 
 h o b s 
 b n l s 
 b e l u 
 b q u m 
 z m u j@"
5,"#input
ayi
l
eqvdj
gwwly
ntlmf
lruuz
itrqc
wocfg
qrgrj
mgws
#output
","i y a 
 l 
 j d v q e 
 y l w w g 
 f m l t n 
 z u u r l 
 c q r t i 
 g f c o w 
 j r g r q 
 s w g m","i y a 
 l 
 j d v q e 
 y l w w g 
 f m l t n 
 z u r l 
 j r m l 
 j r q z q@"
6,"#input
fnry
sgx
kgtds
uzaj
iknc
ewej
qsqo
qzkvy
nywfi
ibiek
#output
","y r n f 
 x g s 
 s d t g k 
 j a z u 
 c n k i 
 j e w e 
 o q s q 
 y v k z q 
 i f w y n 
 k e i b i","y r n f 
 x g s 
 s d t g k 
 j a z u 
 c n k i 
 o e w i 
 w q z e 
 w q z q@"
7,"#input
gjkxr
fccal
ashws
acu
jjcxe
hkzap
kows
pg
syvaq
sntu
#output
","r x k j g 
 l a c c f 
 s w h s a 
 u c a 
 e x c j j 
 p a z k h 
 s w o k 
 g p 
 q a v y s 
 u t n s","r x k j g 
 l a c c f 
 s w h s a 
 u c a 
 e x c j j 
 p h j 
 q u q y 
 m v y s@"
8,"#input
ugucg
agopb
dn
dbid
rwdqt
ijoru
uipnb
ffgpy
wsspt
s
#output
","g c u g u 
 b p o g a 
 n d 
 d i b d 
 t q d w r 
 u r o j i 
 b n p i u 
 y p g f f 
 t p s s w 
 s","g c u g u 
 b p o g a 
 n d 
 d i b d 
 t q d w r 
 b p j r 
 y p a i 
 t p s f@"
9,"#input
kyqds
iut
wo
wxavd
asibf
jman
pxak
hitcv
iuclg
hvwv
#output
","s d q y k 
 t u i 
 o w 
 d v a x w 
 f b i s a 
 n a m j 
 k a x p 
 v c t i h 
 g l c u i 
 v w v h","s d q y k 
 t u i 
 o w 
 d v a x w 
 f b i s a 
 q j m a 
 v m j u 
 v c h j h@"
