,example_input,example_output,all-generated-output
0,"#input
cemcx
ghcpo
tqgat
emzyx
#output
",c g t e e h q m m c g z c p a y x o t x,c g t e e h q m m c g z c p a y x@
1,"#input
bsufw
oculn
xqkhe
samjj
#output
",b o x s s c q a u u k m f l h j w n e j,b o x s s c q a u k k m f l h j@
2,"#input
jrlxh
kmybb
sjguq
tewof
#output
",j k s t r m j e l y g w x b u o h b q f,j k s t r m j e l y g w x b u o h@
3,"#input
hdqdn
djkcc
kzrxf
rwdml
#output
",h d k r d j z w q k r d d c x m n c f l,h d k r d j z w q k r d d c x m n@
4,"#input
wneqr
rcdtt
jsutf
qwdpw
#output
",w r j q n c s w e d u d q t t p r t f w,w r j q n c s w e d u d q t t p r@
5,"#input
caena
vqedk
dydkn
qqggc
#output
",c v d q a q y q e e d g n d k g a k n c,c v d q a q y q e d d g n d k g a k n c@
6,"#input
szoez
ygewf
blvzg
owrkj
#output
",s y b o z g l w o e v r e w z k z f g j,s y b o z g l w o e v r e w z k@
7,"#input
dkknz
gfkxh
ejrfe
kgcdw
#output
",d g e k k f j g k k r c n x f d z h e w,d g e k k f j g k r r c n x f d z h e w@
8,"#input
oluhm
reemp
vhupf
bwasy
#output
",o r v b l e h w u e u a h m p s m p f y,o r v b l e h w u e u a h m p s@
9,"#input
foisu
rhnqp
moypp
pjbmu
#output
",f r m p o h o j i n y b s q p m u p p u,f r m p o h o j i n y b s q p m u@
10,"#input
caqtq
lpdqt
bfhix
ijbuy
#output
",c l b i a p f j q d h b t q i u q t x y,c l b i a p f j q d h b t q i u@
11,"#input
pegst
ugmtv
fvvbe
xykuk
#output
",p u f x e g v y g m v k s t b u t v e k,p u f x e g v y g m v k s t b u@
12,"#input
ziuda
xgura
mohfj
fhxnx
#output
",z x m f i g o h u u h x d r f n a a j x,z x m f i g o h u h h x d r f n a a j x@
13,"#input
bkwql
jyqhx
dbwrx
pwrdg
#output
",b j d p k y b w w q w r q h r d l x x g,b j d p k y b w w q h r q h r d l x x g@
14,"#input
zxsol
qimsi
brulb
sewpa
#output
",z q b s x i r e s m u w o s l p l i b a,z q b s x i r e s m u w o s l p@
15,"#input
gzfeh
eslww
kpvuw
aodtn
#output
",g e k a z s p o f l v d e w u t h w w n,g e k a z s p o f l v d e w u t h w n@
16,"#input
rkiab
mfjnr
hslxp
cljsu
#output
",r m h c k f s l i j l j a n x s b r p u,r m h c k f s l i j l j a n x s b@
17,"#input
rugxi
fqbxx
vtlgz
ocekk
#output
",r f v o u q t c g b l e x x g k i x z k,r f v o u q t c g b l e x x g k i@
18,"#input
htwxx
gwwza
vprgj
xacur
#output
",h g v x t w p a w w r c x z g u x a j r,h g v x t w p a w r z c x z g u x a j r@
19,"#input
virbb
vjrtr
hnmrf
mjpyj
#output
",v v h m i j n j r r m p b t r y b r f j,v v h m i j n j r r m p b t r y b@
20,"#input
ltowt
yxyvu
aulii
eqwcj
#output
",l y a e t x u q o y l w w v i c t u i j,l y a e t x u q o y l w w v i j t u i j@
21,"#input
fyyxl
eximr
xwnlp
lsxij
#output
",f e x l y x w s y i n x x m l i l r p j,f e x l y x w s y i n x x m l i@
22,"#input
chcb
ymcw
qufo
ekwl
#output
",c y q e h m u k c c f w b w o l,c y q e h m u k c f w f b w o l@
23,"#input
atud
itke
klma
jppw
#output
",a i k j t t l p u k m p d e a w,a i k j t l p p u k m p d e a w@
24,"#input
mfmg
rqdi
otkr
fmhd
#output
",m r o f f q t m m d k h g i r d,m r o f f q t m d k h h g i r d@
25,"#input
qenm
meuk
spio
aufs
#output
",q m s a e e p u n u i f m k o s,q m s a e p p u n u i f m k o s@
26,"#input
iswh
xsao
zpdd
wqbl
#output
",i x z w s s p q w a d b h o d l,i x z w s p p q w a d b h o d l@
27,"#input
qzbl
uxbt
julz
mktb
#output
",q u j m z x u k b b l t l t z b,q u j m z x u k b l t z l t z b@
