,example_input,example_output,all-generated-output
0,"#input
vjqfo
mzgs
hfnr
lkumd
kudip
ycmp
jntgr
rxa
xhfn
epahz
#output
","o f q j v 
 s g z m 
 r n f h 
 d m u k l 
 p i d u k 
 p m c y 
 r g t n j 
 a x r 
 n f h x 
 z h a p e","o f q j v 
 s g z m 
 r n f h 
 d m u k l 
 p i d u k 
 m c y 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
1,"#input
wigsc
eo
ihjtr
zcam
ozawm
vhf
fbbsd
hkbwg
zhffh
egkti
#output
","c s g i w 
 o e 
 r t j h i 
 m a c z 
 m w a z o 
 f h v 
 d s b b f 
 g w b k h 
 h f f h z 
 i t k g e","c s g i w 
 o e 
 r t j h i 
 m a c z 
 m w a z o 
 d f b f 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
2,"#input
xih
gecbw
piye
sghuk
krdm
jygc
rgjxb
eapy
swuye
orwcx
#output
","h i x 
 w b c e g 
 e y i p 
 k u h g s 
 m d r k 
 c g y j 
 b x j g r 
 y p a e 
 e y u w s 
 x c w r o","h i x 
 w b c e g 
 e y i p 
 k u h g s 
 m d r k 
 c x g y j 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
3,"#input
sbluo
vxs
jrl
shud
hxsjb
mkzx
dfujf
uvovv
yyxg
gnnul
#output
","o u l b s 
 s x v 
 l r j 
 d u h s 
 b j s x h 
 x z k m 
 f j u f d 
 v v o v u 
 g x y y 
 l u n n g","o u l b s 
 s x v 
 l r j 
 d u h s 
 b j s x h 
 x z s x k 
 v u s d@"
4,"#input
vbwao
edoag
unsu
jmcko
sboh
lxn
umlee
gqbgb
jud
hlti
#output
","o a w b v 
 g a o d e 
 u s n u 
 o k c m j 
 h o b s 
 n x l 
 e e l m u 
 b g b q g 
 d u j 
 i t l h","o a w b v 
 g a o d e 
 u s n u 
 o k c m j 
 h o b s 
 e n x l 
 e b l m@"
5,"#input
ayi
l
eqvdj
gwwly
ntlmf
lruuz
itrqc
wocfg
qrgrj
mgws
#output
","i y a 
 l 
 j d v q e 
 y l w w g 
 f m l t n 
 z u u r l 
 c q r t i 
 g f c o w 
 j r g r q 
 s w g m","i y a 
 l 
 j d v q e 
 y l w w g 
 f m l t n 
 c q u r l@"
6,"#input
fnry
sgx
kgtds
uzaj
iknc
ewej
qsqo
qzkvy
nywfi
ibiek
#output
","y r n f 
 x g s 
 s d t g k 
 j a z u 
 c n k i 
 j e w e 
 o q s q 
 y v k z q 
 i f w y n 
 k e i b i","y r n f 
 x g s 
 s d t g k 
 j a z u 
 c n k i 
 j e w e 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
7,"#input
gjkxr
fccal
ashws
acu
jjcxe
hkzap
kows
pg
syvaq
sntu
#output
","r x k j g 
 l a c c f 
 s w h s a 
 u c a 
 e x c j j 
 p a z k h 
 s w o k 
 g p 
 q a v y s 
 u t n s","r x k j g 
 l a c c f 
 s w h s a 
 u c a 
 e x c j j 
 p a z k j 
 #input
 d 
 g 
 g 
 #output
 d 
 g 
 g@"
8,"#input
ugucg
agopb
dn
dbid
rwdqt
ijoru
uipnb
ffgpy
wsspt
s
#output
","g c u g u 
 b p o g a 
 n d 
 d i b d 
 t q d w r 
 u r o j i 
 b n p i u 
 y p g f f 
 t p s s w 
 s","g c u g u 
 b p o g a 
 n d 
 d i b d 
 t q d w r 
 u r o i 
 y p i s@"
9,"#input
kyqds
iut
wo
wxavd
asibf
jman
pxak
hitcv
iuclg
hvwv
#output
","s d q y k 
 t u i 
 o w 
 d v a x w 
 f b i s a 
 n a m j 
 k a x p 
 v c t i h 
 g l c u i 
 v w v h","s d q y k 
 t u i 
 o w 
 d v a x w 
 f b i s a 
 k a s j 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
10,"#input
uxnds
ikq
rvbdn
jcj
hrqmw
xxwkc
nfdub
imv
olpvo
zgv
#output
","s d n x u 
 q k i 
 n d b v r 
 j c j 
 w m q r h 
 c k w x x 
 b u d f n 
 v m i 
 o v p l o 
 v g z","s d n x u 
 q k i 
 n d b v r 
 j c j 
 w m q r h 
 c k w x h 
 v l p l@"
11,"#input
n
gbsc
pmpb
grcf
ylvne
htfvg
gfsj
tyep
ywrld
cbvwn
#output
","n 
 c s b g 
 b p m p 
 f c r g 
 e n v l y 
 g v f t h 
 j s f g 
 p e y t 
 d l r w y 
 n w v b c","n 
 c s b g 
 b p m p 
 f c r g 
 e n v l y 
 g v f t h@"
12,"#input
yhpvt
ubsji
qtmrp
ykx
yzsf
wpux
xpus
sx
bhhb
cyvhc
#output
","t v p h y 
 i j s b u 
 p r m t q 
 x k y 
 f s z y 
 x u p w 
 s u p x 
 x s 
 b h h b 
 c h v y c","t v p h y 
 i j s b u 
 p r m t q 
 x k y 
 f s z y 
 u p w 
 s p x@"
13,"#input
li
mif
zlztr
wlffb
gzljy
qlhq
myjms
fn
incxx
thfpw
#output
","i l 
 f i m 
 r t z l z 
 b f f l w 
 y j l z g 
 q h l q 
 s m j y m 
 n f 
 x x c n i 
 w p f h t","i l 
 f i m 
 r t z l z 
 b f f l w 
 y j l z g 
 m h l q 
 #input
 d 
 g 
 g 
 #output
 d 
 g 
 g@"
14,"#input
a
ip
konq
hsslz
awmz
xnaer
gdlcg
vophi
cgiea
aoyov
#output
","a 
 p i 
 q n o k 
 z l s s h 
 z m w a 
 r e a n x 
 g c l d g 
 i h p o v 
 a e i g c 
 v o y o a","a 
 p i 
 q n o k 
 z l s s h 
 z m w a 
 i e a n x@"
15,"#input
bupj
rbpsr
iuju
zxid
oirqd
fuqj
s
nkgkc
fsesf
jfej
#output
","j p u b 
 r s p b r 
 u j u i 
 d i x z 
 d q r i o 
 j q u f 
 s 
 c k g k n 
 f s e s f 
 j e f j","j p u b 
 r s p b r 
 u j u i 
 d i x z 
 q r i o 
 j q u f 
 #input
 x 
 g 
 g 
 #output
 x 
 g 
 g@"
16,"#input
dunc
g
yig
yuyyb
ounuk
lbpb
srzuh
djsis
lbohv
qhqp
#output
","c n u d 
 g 
 g i y 
 b y y u y 
 k u n u o 
 b p b l 
 h u z r s 
 s i s j d 
 v h o b l 
 p q h q","c n u d 
 g 
 g i y 
 b y y u y 
 k u n u o 
 h b p b l 
 h i s b l@"
