,example_input,example_output,all-generated-output
0,"#input
dtcgy
vpagx
tbjc
cjoft
hkrdy
jcnr
#output
","d t c g y 
 v p a g x 
 t b j c 
 c j o f t 
 h k r d y 
 j c n r","d t c g y 
 v p a g x 
 t b j c 
 c j o f t 
 h k r d y 
 j c n r@"
1,"#input
pvqmy
acbhr
ahtvv
ngrt
jqsgu
fyur
#output
","p v q m y 
 a c b h r 
 a h t v v 
 n g r t 
 j q s g u 
 f y u r","p v q m y 
 a c b h r 
 a h t v v 
 n g r t 
 j q s g u 
 f y u r@"
2,"#input
khzx
bywd
fxqv
ndhyd
xbgox
ndefl
#output
","k h z x 
 b y w d 
 f x q v 
 n d h y d 
 x b g o x 
 n d e f l","k h z x 
 b y w d 
 f x q v 
 n d h y d 
 x b g o x 
 n d e f l@"
3,"#input
nwv
ecao
cktuj
povvm
qiqfc
sxwoz
#output
","n w v 
 e c a o 
 c k t u j 
 p o v v m 
 q i q f c 
 s x w o z","n w v 
 e c a o 
 c k t u j 
 p o v v m 
 q i q f c 
 s x w o z@"
4,"#input
jhrpj
fvxji
dtyn
qdfr
tyab
iemgs
#output
","j h r p j 
 f v x j i 
 d t y n 
 q d f r 
 t y a b 
 i e m g s","j h r p j 
 f v x j i 
 d t y n 
 q d f r 
 t y a b 
 i e m g s@"
5,"#input
yzwpr
djufj
frjdu
afz
lqpba
hmcl
#output
","y z w p r 
 d j u f j 
 f r j d u 
 a f z 
 l q p b a 
 h m c l","y z w p r 
 d j u f j 
 f r j d u 
 a f z 
 l q p b a 
 h m c l@"
6,"#input
sduyi
bou
gqiee
usgp
xofj
cgukh
#output
","s d u y i 
 b o u 
 g q i e e 
 u s g p 
 x o f j 
 c g u k h","s d u y i 
 b o u 
 g q i e e 
 u s g p 
 x o f j 
 c g u k h@"
7,"#input
qliaz
jkb
fqguv
lhgs
mffwx
smsn
#output
","q l i a z 
 j k b 
 f q g u v 
 l h g s 
 m f f w x 
 s m s n","q l i a z 
 j k b 
 f q g u v 
 l h g s 
 m f f w x 
 s m s n@"
8,"#input
qrodh
fkah
rbf
zjnyv
acbvp
rdhq
#output
","q r o d h 
 f k a h 
 r b f 
 z j n y v 
 a c b v p 
 r d h q","q r o d h 
 f k a h 
 r b f 
 z j n y v 
 a c b v p 
 r d h q@"
9,"#input
xmybv
gce
iqls
ojiax
egyac
evbv
#output
","x m y b v 
 g c e 
 i q l s 
 o j i a x 
 e g y a c 
 e v b v","x m y b v 
 g c e 
 i q l s 
 o j i a x 
 e g y a c 
 e v b v@"
10,"#input
lxdxy
rwq
gveho
gcwj
heuqf
mwdo
#output
","l x d x y 
 r w q 
 g v e h o 
 g c w j 
 h e u q f 
 m w d o","l x d x y 
 r w q 
 g v e h o 
 g c w j 
 h e u q f 
 m w d o@"
11,"#input
uusyy
qzim
ofvkh
mzy
ropy
byaki
#output
","u u s y y 
 q z i m 
 o f v k h 
 m z y 
 r o p y 
 b y a k i","u u s y y 
 q z i m 
 o f v k h 
 m z y 
 r o p y 
 b y a k i@"
12,"#input
afbb
ontrr
bj
ldwuf
ie
hw
wtpqr
#output
","a f b b 
 o n t r r 
 b j 
 l d w u f 
 i e 
 h w 
 w t p q r","a f b b 
 o n t r r 
 b j 
 l d w u f 
 i e 
 h w 
 w t p q r@"
13,"#input
gawc
gwos
oajdy
yqfm
zalvs
cwyg
#output
","g a w c 
 g w o s 
 o a j d y 
 y q f m 
 z a l v s 
 c w y g","g a w c 
 g w o s 
 o a j d y 
 y q f m 
 z a l v s 
 c w y g@"
14,"#input
lhyin
jmi
yhuaq
rdjkl
o
gp
pwfh
#output
","l h y i n 
 j m i 
 y h u a q 
 r d j k l 
 o 
 g p 
 p w f h","l h y i n 
 j m i 
 y h u a q 
 r d j k l 
 o 
 g p 
 p w f h@"
15,"#input
ehd
otqto
zqb
rcoqu
bahtn
zwwko
#output
","e h d 
 o t q t o 
 z q b 
 r c o q u 
 b a h t n 
 z w w k o","e h d 
 o t q t o 
 z q b 
 r c o q u 
 b a h t n 
 z w w k o@"
16,"#input
xebpb
bu
gxfnn
qgsv
tneol
rgvhq
#output
","x e b p b 
 b u 
 g x f n n 
 q g s v 
 t n e o l 
 r g v h q","x e b p b 
 b u 
 g x f n n 
 q g s v 
 t n e o l 
 r g v h q@"
17,"#input
kbyo
byfn
lcgex
gn
hqcjs
jqynt
#output
","k b y o 
 b y f n 
 l c g e x 
 g n 
 h q c j s 
 j q y n t","k b y o 
 b y f n 
 l c g e x 
 g n 
 h q c j s 
 j q y n t@"
18,"#input
fhshp
umzp
argk
bxg
itfy
sytes
#output
","f h s h p 
 u m z p 
 a r g k 
 b x g 
 i t f y 
 s y t e s","f h s h p 
 u m z p 
 a r g k 
 b x g 
 i t f y 
 s y t e s@"
19,"#input
fwld
tozy
zaro
mqbrp
rjs
nvjag
#output
","f w l d 
 t o z y 
 z a r o 
 m q b r p 
 r j s 
 n v j a g","f w l d 
 t o z y 
 z a r o 
 m q b r p 
 r j s 
 n v j a g@"
20,"#input
rczho
jllqn
p
cwqtm
pwoad
kjqg
#output
","r c z h o 
 j l l q n 
 p 
 c w q t m 
 p w o a d 
 k j q g","r c z h o 
 j l l q n 
 p 
 c w q t m 
 p w o a d 
 k j q g@"
