,example_input,example_output,all-generated-output
0,"#input
jqofxq
wgkdfx
uxwxei
#output
","j q o f x q 
 w g k d f x 
 u x w x e i","j q o f x q 
 w g k d f x 
 u x w x e i@"
1,"#input
nkqjpa
fmdwej
rcikce
#output
","n k q j p a 
 f m d w e j 
 r c i k c e","n k q j p a 
 f m d w e j 
 r c i k c e@"
2,"#input
ygxuak
jowodt
hltulq
#output
","y g x u a k 
 j o w o d t 
 h l t u l q","y g x u a k 
 j o w o d t 
 h l t u l q@"
3,"#input
awdwfj
hgtgnw
bwegub
#output
","a w d w f j 
 h g t g n w 
 b w e g u b","a w d w f j 
 h g t g n w 
 b w e g u b@"
4,"#input
zpycna
pwdtvm
qkokms
#output
","z p y c n a 
 p w d t v m 
 q k o k m s","z p y c n a 
 p w d t v m 
 q k o k m s@"
5,"#input
nzyhzn
rsnbip
splkiq
#output
","n z y h z n 
 r s n b i p 
 s p l k i q","n z y h z n 
 r s n b i p 
 s p l k i q@"
6,"#input
vywcoc
mkhvui
#output
","v y w c o c 
 m k h v u i","v y w c o c 
 m k h v u i@"
7,"#input
yhmwey
sniunz
#output
","y h m w e y 
 s n i u n z","y h m w e y 
 s n i u n z@"
8,"#input
xbgypw
zapqei
#output
","x b g y p w 
 z a p q e i","x b g y p w 
 z a p q e i@"
9,"#input
fgxhyg
vjifsd
#output
","f g x h y g 
 v j i f s d","f g x h y g 
 v j i f s d@"
10,"#input
kbsfgd
ukhffk
#output
","k b s f g d 
 u k h f f k","k b s f g d 
 u k h f f k@"
11,"#input
saurzk
lliuzc
#output
","s a u r z k 
 l l i u z c","s a u r z k 
 l l i u z c@"
12,"#input
kotajk
ekxvzx
#output
","k o t a j k 
 e k x v z x","k o t a j k 
 e k x v z x@"
13,"#input
kemkyk
ifdoxl
#output
","k e m k y k 
 i f d o x l","k e m k y k 
 i f d o x l@"
14,"#input
szdvtg
qcrfaq
#output
","s z d v t g 
 q c r f a q","s z d v t g 
 q c r f a q@"
15,"#input
cqtirv
vserpb
#output
","c q t i r v 
 v s e r p b","c q t i r v 
 v s e r p b@"
16,"#input
bccwgd
kiqtyg
#output
","b c c w g d 
 k i q t y g","b c c w g d 
 k i q t y g@"
17,"#input
kzhwuy
ybntmt
#output
","k z h w u y 
 y b n t m t","k z h w u y 
 y b n t m t@"
18,"#input
pideuw
ktsjrz
#output
","p i d e u w 
 k t s j r z","p i d e u w 
 k t s j r z@"
19,"#input
zoesmf
yrigom
#output
","z o e s m f 
 y r i g o m","z o e s m f 
 y r i g o m@"
20,"#input
kzjowm
eakzqj
#output
","k z j o w m 
 e a k z q j","k z j o w m 
 e a k z q j@"
21,"#input
bmjcnd
nrsohh
#output
","b m j c n d 
 n r s o h h","b m j c n d 
 n r s o h h@"
22,"#input
xmstwj
rtvdnu
#output
","x m s t w j 
 r t v d n u","x m s t w j 
 r t v d n u@"
23,"#input
pqocgd
lxxwie
#output
","p q o c g d 
 l x x w i e","p q o c g d 
 l x x w i e@"
24,"#input
wfrutg
hedyrv
#output
","w f r u t g 
 h e d y r v","w f r u t g 
 h e d y r v@"
25,"#input
vmrlcj
hpmzpo
#output
","v m r l c j 
 h p m z p o","v m r l c j 
 h p m z p o@"
26,"#input
hqevxc
omsnva
#output
","h q e v x c 
 o m s n v a","h q e v x c 
 o m s n v a@"
27,"#input
pcnrjy
xfhkkg
#output
","p c n r j y 
 x f h k k g","p c n r j y 
 x f h k k g@"
28,"#input
awewwd
biuwar
#output
","a w e w w d 
 b i u w a r","a w e w w d 
 b i u w a r@"
29,"#input
tbzpmw
usgtiw
#output
","t b z p m w 
 u s g t i w","t b z p m w 
 u s g t i w@"
30,"#input
vzzeck
xvcqyj
#output
","v z z e c k 
 x v c q y j","v z z e c k 
 x v c q y j@"
31,"#input
ngcuvq
yrmwhi
#output
","n g c u v q 
 y r m w h i","n g c u v q 
 y r m w h i@"
32,"#input
wkrhiv
oekyys
#output
","w k r h i v 
 o e k y y s","w k r h i v 
 o e k y y s@"
33,"#input
temrdn
oxpmsw
#output
","t e m r d n 
 o x p m s w","t e m r d n 
 o x p m s w@"
