,example_input,example_output,all-generated-output
0,"#input
cspzm
yyshe
x
aahz
fms
ty
xtkyi
#output
","c s p z m 
 y y s h e 
 x 
 a a h z 
 f m s 
 t y 
 x t k y i","c s p z m 
 y y s h e 
 x 
 a a h z 
 f m s 
 t y 
 x t k y i@"
1,"#input
dmrz
gid
q
wugwm
vsjtt
xj
vpzhn
#output
","d m r z 
 g i d 
 q 
 w u g w m 
 v s j t t 
 x j 
 v p z h n","d m r z 
 g i d 
 q 
 w u g w m 
 v s j t t 
 x j 
 v p z h n@"
2,"#input
epfkt
mjpoq
mosgx
rhd
q
fy
xtci
#output
","e p f k t 
 m j p o q 
 m o s g x 
 r h d 
 q 
 f y 
 x t c i","e p f k t 
 m j p o q 
 m o s g x 
 r h d 
 q 
 f y 
 x t c i@"
3,"#input
baof
ptio
wnbmb
fa
ciqlg
b
jvvi
#output
","b a o f 
 p t i o 
 w n b m b 
 f a 
 c i q l g 
 b 
 j v v i","b a o f 
 p t i o 
 w n b m b 
 f a 
 c i q l g 
 b 
 j v v i@"
4,"#input
lhyin
jmi
yhuaq
rdjkl
o
gp
pwfh
#output
","l h y i n 
 j m i 
 y h u a q 
 r d j k l 
 o 
 g p 
 p w f h","l h y i n 
 j m i 
 y h u a q 
 r d j k l 
 o 
 g p 
 p w f h@"
5,"#input
alvfn
okwll
g
mzl
jkp
of
zvxgg
#output
","a l v f n 
 o k w l l 
 g 
 m z l 
 j k p 
 o f 
 z v x g g","a l v f n 
 o k w l l 
 g 
 m z l 
 j k p 
 o f 
 z v x g g@"
6,"#input
rlyea
yh
frvf
gv
wxxfe
z
kswud
#output
","r l y e a 
 y h 
 f r v f 
 g v 
 w x x f e 
 z 
 k s w u d","r l y e a 
 y h 
 f r v f 
 g v 
 w x x f e 
 z 
 k s w u d@"
7,"#input
sabz
vhp
bzd
yw
tutzg
e
q
pvgg
#output
","s a b z 
 v h p 
 b z d 
 y w 
 t u t z g 
 e 
 q 
 p v g g","s a b z 
 v h p 
 b z d 
 y w 
 t u t z g 
 e 
 q 
 p v g g@"
8,"#input
jbmey
tfsqp
soix
dihpq
uu
umrs
#output
","j b m e y 
 t f s q p 
 s o i x 
 d i h p q 
 u u 
 u m r s","j b m e y 
 t f s q p 
 s o i x 
 d i h p q 
 u u 
 u m r s@"
9,"#input
ipjkj
dsoxh
buaed
h
fveku
yvhd
#output
","i p j k j 
 d s o x h 
 b u a e d 
 h 
 f v e k u 
 y v h d","i p j k j 
 d s o x h 
 b u a e d 
 h 
 f v e k u 
 y v h d@"
10,"#input
kqh
yfel
zwls
xqra
yti
k
yhdfj
#output
","k q h 
 y f e l 
 z w l s 
 x q r a 
 y t i 
 k 
 y h d f j","k q h 
 y f e l 
 z w l s 
 x q r a 
 y t i 
 k 
 y h d f j@"
11,"#input
dtyd
wpemc
p
xzz
oxuqr
v
prcjy
#output
","d t y d 
 w p e m c 
 p 
 x z z 
 o x u q r 
 v 
 p r c j y","d t y d 
 w p e m c 
 p 
 x z z 
 o x u q r 
 v 
 p r c j y@"
12,"#input
ppyli
yhw
re
wwk
uirc
af
tvjwo
#output
","p p y l i 
 y h w 
 r e 
 w w k 
 u i r c 
 a f 
 t v j w o","p p y l i 
 y h w 
 r e 
 w w k 
 u i r c 
 a f 
 t v j w o@"
13,"#input
cdbz
bezb
wvjlu
alhzg
ej
xbezy
#output
","c d b z 
 b e z b 
 w v j l u 
 a l h z g 
 e j 
 x b e z y","c d b z 
 b e z b 
 w v j l u 
 a l h z g 
 e j 
 x b e z y@"
14,"#input
hzt
xkod
ddbkm
wdin
x
cl
qwee
#output
","h z t 
 x k o d 
 d d b k m 
 w d i n 
 x 
 c l 
 q w e e","h z t 
 x k o d 
 d d b k m 
 w d i n 
 x 
 c l 
 q w e e@"
15,"#input
k
epk
eqnn
gippi
ishlz
gk
peg
#output
","k 
 e p k 
 e q n n 
 g i p p i 
 i s h l z 
 g k 
 p e g","k 
 e p k 
 e q n n 
 g i p p i 
 i s h l z 
 g k 
 p e g@"
16,"#input
xero
ktjl
icc
rbnoh
zq
pm
qrq
#output
","x e r o 
 k t j l 
 i c c 
 r b n o h 
 z q 
 p m 
 q r q","x e r o 
 k t j l 
 i c c 
 r b n o h 
 z q 
 p m 
 q r q@"
17,"#input
fdxs
ur
pouds
jf
zfzbo
wx
jvj
#output
","f d x s 
 u r 
 p o u d s 
 j f 
 z f z b o 
 w x 
 j v j","f d x s 
 u r 
 p o u d s 
 j f 
 z f z b o 
 w x 
 j v j@"
18,"#input
mjyak
ewxzg
zzd
ky
sqq
fe
gys
#output
","m j y a k 
 e w x z g 
 z z d 
 k y 
 s q q 
 f e 
 g y s","m j y a k 
 e w x z g 
 z z d 
 k y 
 s q q 
 f e 
 g y s@"
19,"#input
laqmh
x
wvwkr
qyqd
n
vb
keshv
#output
","l a q m h 
 x 
 w v w k r 
 q y q d 
 n 
 v b 
 k e s h v","l a q m h 
 x 
 w v w k r 
 q y q d 
 n 
 v b 
 k e s h v@"
20,"#input
nsotv
jmf
uavqs
edu
ujacq
abt
#output
","n s o t v 
 j m f 
 u a v q s 
 e d u 
 u j a c q 
 a b t","n s o t v 
 j m f 
 u a v q s 
 e d u 
 u j a c q 
 a b t@"
21,"#input
xntw
xgvz
vjsjn
opksy
l
wuyhq
#output
","x n t w 
 x g v z 
 v j s j n 
 o p k s y 
 l 
 w u y h q","x n t w 
 x g v z 
 v j s j n 
 o p k s y 
 l 
 w u y h q@"
22,"#input
mwr
yau
k
hjs
u
zuzqo
ob
gjft
#output
","m w r 
 y a u 
 k 
 h j s 
 u 
 z u z q o 
 o b 
 g j f t","m w r 
 y a u 
 k 
 h j s 
 u 
 z u z q o 
 o b 
 g j f t@"
23,"#input
kejfc
hkep
namc
upbnk
ps
qliu
#output
","k e j f c 
 h k e p 
 n a m c 
 u p b n k 
 p s 
 q l i u","k e j f c 
 h k e p 
 n a m c 
 u p b n k 
 p s 
 q l i u@"
24,"#input
mjftj
im
iyh
dmb
p
ahstt
dhie
#output
","m j f t j 
 i m 
 i y h 
 d m b 
 p 
 a h s t t 
 d h i e","m j f t j 
 i m 
 i y h 
 d m b 
 p 
 a h s t t 
 d h i e@"
25,"#input
sfsx
urj
oo
yqp
hj
phpqy
wz
r
#output
","s f s x 
 u r j 
 o o 
 y q p 
 h j 
 p h p q y 
 w z 
 r","s f s x 
 u r j 
 o o 
 y q p 
 h j 
 p h p q y 
 w z 
 r@"
26,"#input
oayb
yqy
hh
eqwrc
tufob
ye
ah
#output
","o a y b 
 y q y 
 h h 
 e q w r c 
 t u f o b 
 y e 
 a h","o a y b 
 y q y 
 h h 
 e q w r c 
 t u f o b 
 y e 
 a h@"
27,"#input
j
s
oi
u
hpvio
cqttu
yj
gnwpm
#output
","j 
 s 
 o i 
 u 
 h p v i o 
 c q t t u 
 y j 
 g n w p m","j 
 s 
 o i 
 u 
 h p v i o 
 c q t t u 
 y j 
 g n w p m@"
28,"#input
zmah
ybevt
xij
ajn
j
gp
zhlym
#output
","z m a h 
 y b e v t 
 x i j 
 a j n 
 j 
 g p 
 z h l y m","z m a h 
 y b e v t 
 x i j 
 a j n 
 j 
 g p 
 z h l y m@"
29,"#input
rz
jmh
pfco
pb
dznqt
zo
jaizq
#output
","r z 
 j m h 
 p f c o 
 p b 
 d z n q t 
 z o 
 j a i z q","r z 
 j m h 
 p f c o 
 p b 
 d z n q t 
 z o 
 j a i z q@"
30,"#input
lwma
nnnzf
xt
wy
qnm
nl
gbvzm
#output
","l w m a 
 n n n z f 
 x t 
 w y 
 q n m 
 n l 
 g b v z m","l w m a 
 n n n z f 
 x t 
 w y 
 q n m 
 n l 
 g b v z m@"
31,"#input
v
bu
phkbt
icth
itnys
qf
frbm
#output
","v 
 b u 
 p h k b t 
 i c t h 
 i t n y s 
 q f 
 f r b m","v 
 b u 
 p h k b t 
 i c t h 
 i t n y s 
 q f 
 f r b m@"
32,"#input
pnun
ihdy
netoi
ba
hupgx
yxqx
#output
","p n u n 
 i h d y 
 n e t o i 
 b a 
 h u p g x 
 y x q x","p n u n 
 i h d y 
 n e t o i 
 b a 
 h u p g x 
 y x q x@"
33,"#input
i
fdcy
deqsj
xih
jijte
x
kktt
#output
","i 
 f d c y 
 d e q s j 
 x i h 
 j i j t e 
 x 
 k k t t","i 
 f d c y 
 d e q s j 
 x i h 
 j i j t e 
 x 
 k k t t@"
34,"#input
ohmst
gbl
cczl
ymt
sxlkt
giai
#output
","o h m s t 
 g b l 
 c c z l 
 y m t 
 s x l k t 
 g i a i","o h m s t 
 g b l 
 c c z l 
 y m t 
 s x l k t 
 g i a i@"
35,"#input
uiyx
nlwnv
yk
kqt
nsnuz
vkays
#output
","u i y x 
 n l w n v 
 y k 
 k q t 
 n s n u z 
 v k a y s","u i y x 
 n l w n v 
 y k 
 k q t 
 n s n u z 
 v k a y s@"
36,"#input
y
lfy
qmhm
og
ddjl
rm
oc
yery
#output
","y 
 l f y 
 q m h m 
 o g 
 d d j l 
 r m 
 o c 
 y e r y","y 
 l f y 
 q m h m 
 o g 
 d d j l 
 r m 
 o c 
 y e r y@"
37,"#input
vcotx
igtu
jm
qmr
nxdmk
wmuut
#output
","v c o t x 
 i g t u 
 j m 
 q m r 
 n x d m k 
 w m u u t","v c o t x 
 i g t u 
 j m 
 q m r 
 n x d m k 
 w m u u t@"
38,"#input
sa
zmogb
nesuk
dxtcd
n
bc
lhp
#output
","s a 
 z m o g b 
 n e s u k 
 d x t c d 
 n 
 b c 
 l h p","s a 
 z m o g b 
 n e s u k 
 d x t c d 
 n 
 b c 
 l h p@"
39,"#input
siweh
mdgg
lmv
en
rorym
znvpc
#output
","s i w e h 
 m d g g 
 l m v 
 e n 
 r o r y m 
 z n v p c","s i w e h 
 m d g g 
 l m v 
 e n 
 r o r y m 
 z n v p c@"
40,"#input
zk
bvqox
w
goefp
xp
fvjpr
ykl
#output
","z k 
 b v q o x 
 w 
 g o e f p 
 x p 
 f v j p r 
 y k l","z k 
 b v q o x 
 w 
 g o e f p 
 x p 
 f v j p r 
 y k l@"
41,"#input
sjlh
llj
ogzxa
havv
vqncq
fhr
#output
","s j l h 
 l l j 
 o g z x a 
 h a v v 
 v q n c q 
 f h r","s j l h 
 l l j 
 o g z x a 
 h a v v 
 v q n c q 
 f h r@"
42,"#input
dtlm
s
lgpta
obdic
qz
qp
hcpn
#output
","d t l m 
 s 
 l g p t a 
 o b d i c 
 q z 
 q p 
 h c p n","d t l m 
 s 
 l g p t a 
 o b d i c 
 q z 
 q p 
 h c p n@"
43,"#input
w
rw
gsgrc
whwhz
xucri
jopdq
#output
","w 
 r w 
 g s g r c 
 w h w h z 
 x u c r i 
 j o p d q","w 
 r w 
 g s g r c 
 w h w h z 
 x u c r i 
 j o p d q@"
44,"#input
jotwb
yxxcw
mbq
ihm
bfplz
zf
#output
","j o t w b 
 y x x c w 
 m b q 
 i h m 
 b f p l z 
 z f","j o t w b 
 y x x c w 
 m b q 
 i h m 
 b f p l z 
 z f@"
