,example_input,example_output,all-generated-output
0,"#input
qvrvnbbfw
bjylzna
gtjqqrp
qlpixbw
ppkxsxiduc
wzinfpc
kxmqatxjx
#output
","w f b b n v r v q 
 a n z l y j b 
 p r q q j t g 
 w b x i p l q 
 c u d i x s x k p p 
 c p f n i z w 
 x j x t a q m x k","n b v r v q 
 n l y j b 
 z l y j b 
 q j x t w 
 f x p l p@"
1,"#input
itlwksdxhr
ybkkqhdp
mjwmeap
dxluya
nhuecv
pzdolloiyt
nsiyknrpk
#output
","r h x d s k w l t i 
 p d h q k k b y 
 p a e m w j m 
 a y u l x d 
 v c e u h n 
 t y i o l l o d z p 
 k p r n k y i s n","k s l t i 
 h l l b y 
 q k k b y 
 l m w j n 
 k f l h n@"
2,"#input
zfdtog
ewsukaslf
cnlcrkgvyp
hbrmhf
yfspuud
kroxymoln
ctcopkpkh
#output
","g o t d f z 
 f l s a k u s w e 
 p y v g k r c l n c 
 f h m r b h 
 d u u p s f y 
 n l o m y x o r k 
 h k p k p o c t c","o t d f z 
 k u s w e@"
3,"#input
lttupy
rypjgbf
syfxga
rurojzr
ykifnuj
rbxgmmb
bxcscfx
jycmlrvr
#output
","y p u t t l 
 f b g j p y r 
 a g x f y s 
 r z j o r u r 
 j u n f i k y 
 b m m g x b r 
 x f c s c x b 
 r v r l m c y j","p u t t l 
 g j p y r@"
4,"#input
cdilgiss
fpzgjbkm
rnclkdrgau
mxnotf
karaszr
bgunasqblc
wurasmz
#output
","s s i g l i d c 
 m k b j g z p f 
 u a g r d k l c n r 
 f t o n x m 
 r z s a r a k 
 c l b q s a n u g b 
 z m s a r u w","g i l i c 
 j g z p f 
 j k w n w 
 a a r n w@"
5,"#input
ycfotwt
eiuaaiwlnc
sldrxq
fsvysasrd
csvzhjl
rchkxie
lwvbxdommk
#output
","t w t o f c y 
 c n l w i a a u i e 
 q x r d l s 
 d r s a s y v s f 
 l j h z v s c 
 e i x k h c r 
 k m m o d x b v w l","t t o f c y 
 a a u i e 
 a a u i e 
 l m v l s 
 l f f f@"
6,"#input
hsjnbnzt
svfqsz
pyccrx
guisqhtg
ewaozuoxd
pcqieilbo
ihhlsndozr
#output
","t z n b n j s h 
 z s q f v s 
 x r c c y p 
 g t h q s i u g 
 d x o u z o a w e 
 o b l i e i q c p 
 r z o d n s l h h i","b n j j h 
 s q f v s 
 s q f v s 
 c q c y p 
 o d o u g@"
7,"#input
istmpbhnul
kqufqoeg
expbmki
ppelrphvu
nukaqucd
tcqiza
vpyvdfdu
#output
","l u n h b p m t s i 
 g e o q f u q k 
 i k m b p x e 
 u v h p r l e p p 
 d c u q a k u n 
 a z i q c t 
 u d f d v y p v","p m t s i 
 l u u u u 
 q f u q k 
 m a p x k 
 u d u p p@"
8,"#input
akoyoedtt
yaivfyffls
agcjbq
chehqhq
hbhtyn
faejbrem
luoycodlbf
#output
","t t d e o y o k a 
 s l f f y f v i a y 
 q b j c g a 
 q h q h e h c 
 n y t h b h 
 m e r b j e a f 
 f b l d o c y o u l","o o o k a 
 f t t t t t t w f 
 f q v u y 
 f b l c a 
 b f c h h@"
9,"#input
enqvpyoy
oqznxssfzs
tcrkqmskae
ythsgn
mszxzkks
xektzvxx
nxanef
#output
","y o y p v q n e 
 s z f s s x n z q o 
 e a k s m q k r c t 
 n g s h t y 
 s k k z x z s m 
 x x v z t k e x 
 f e n a x n","p p v q n e 
 s n z q o@"
10,"#input
nkxmizjpf
ueasxgt
euoetzsu
hosmrxa
phqubaiuqc
ptxnpeec
jwtzcqz
#output
","f p j z i m x k n 
 t g x s a e u 
 u s z t e o u e 
 a x r m s o h 
 c q u i a b u q h p 
 c e e p n x t p 
 z q c z t w j","i m x k n 
 x s a e u 
 x s a e e 
 t q o w e@"
11,"#input
njcimaxa
nhqkhbumqj
rwfasb
rmoxlbe
vimqyz
cynqizycn
aoyjcdvvqy
#output
","a x a m i c j n 
 j q m u b h k q h n 
 b s a f w r 
 e b l x o m r 
 z y q m i v 
 n c y z i q n y c 
 y q v v d c j y o a","m i c j n 
 h k q h n 
 s k k k 
 l q o m r 
 y q o i v@"
12,"#input
bbcrfm
smkehrqu
ooujvoqii
cdasknlga
emxgwhz
zpkrpzc
ardrjtvhck
#output
","m f r c b b 
 u q r h e k m s 
 i i q o v j u o o 
 a g l n k s a d c 
 z h w g x m e 
 c z p r k p z 
 k c h v t j r d r a","f m r c b b 
 h e k m s 
 r q u w w 
 p r a i o 
 k a c r c@"
13,"#input
qzwpasocek
gyuciu
ofeofciub
ybyrftftnc
yiogalt
hwgslkl
gkymrox
#output
","k e c o s a p w z q 
 u i c u y g 
 b u i c f o e f o 
 c n t f t f r y b y 
 t l a g o i y 
 l k l s g w h 
 x o r m y k g","a p w z q 
 k e e e e 
 i c u y g 
 f o e f o 
 f o y k g@"
14,"#input
tymgbdrdl
zpvxsfcdue
fcrcqj
zahlrrom
gskfwaaz
ltylmm
pkcbcwlsa
#output
","l d r d b g m y t 
 e u d c f s x v p z 
 j q c r c f 
 m o r r l h a z 
 z a a w f k s g 
 m m l y t l 
 a s l w c b c k p","b d m m t 
 s x v p z@"
15,"#input
nuatasj
bkmtbhmirl
toyzjki
pddavsjod
wohszqv
nzyppro
ucjeybnfq
#output
","j s a t a u n 
 l r i m h b t m k b 
 i k j z y o t 
 d o j s v a d d p 
 v q z s h o w 
 o r p p y z n 
 q f n b y e j c u","a t a u n 
 b t m k b 
 b b m m b 
 q f w o w 
 d f c f@"
16,"#input
hehnka
mtyjbpjhm
vgmlzuexic
qpjcennu
kzsmqxvk
lrlxjvy
qoiyqrit
#output
","a k n h e h 
 m h j p b j y t m 
 c i x e u z l m g v 
 u n n e c j p q 
 k v x q m s z k 
 y v j x l r l 
 t i r q y i o q","k n h e h 
 b j y t m 
 j l l j 
 q l m g v 
 r i l g l@"
17,"#input
cgzkzs
nnfvugpt
bkkygpc
sbgnlc
vszmslojkt
apxoarmhyg
rrpncazgs
#output
","s z k z g c 
 t p g u v f n n 
 c p g y k k b 
 c l n g b s 
 t k j o l s m z s v 
 g y h m r a o x p a 
 s g z a c n p r r","z z z g c 
 u v f n n 
 t p p t 
 a n z k b 
 s c p r v@"
18,"#input
vprpayd
ovngpipze
ycmuypzo
toavvbyt
tnvzzi
gijecdgqkf
epnbiiid
#output
","d y a p r p v 
 e z p i p g n v o 
 o z p y u m c y 
 t y b v v a o t 
 i z z v n t 
 f k q g d c e j i g 
 d i i i b n p e","a a p g v 
 p g n v o 
 p g n g w 
 y e m c y 
 d i d@"
19,"#input
kipovy
pvapxanb
hxhkzmxm
ehubds
dbzduaijmo
psomtmnrd
tmtjuqscc
#output
","y v o p i k 
 b n a x p a v p 
 m x m z k h x h 
 s d b u h e 
 o m j i a u d z b d 
 d r n m t m o s p 
 c c s q u j t m t","v o p i k 
 x p a v p 
 z m n x m 
 m c m m p 
 u c u h p@"
20,"#input
bsruqzdjq
kxjhsaabdj
tavobyr
irgyqlotz
pvuyawq
tjieflf
alhpamm
#output
","q j d z q u r s b 
 j d b a a s h j x k 
 r y b o v a t 
 z t o l q y g r i 
 q w a y u v p 
 f l f e i j t 
 m m a p h l a","q q u r b 
 s f j j w 
 s s j g s 
 a m h v p 
 f f m f f@"
