,example_input,example_output,all-generated-output
0,"#input
lk
rbvww
thz
exovk
etuzi
#output
","k l 
 w w v b r 
 z h t 
 k v o x e 
 i z u t e","k l 
 w w v b r 
 z h t 
 k v o x e 
 i z u u t@"
1,"#input
p
vkbqp
egg
nxexm
ccvmu
#output
","p 
 p q b k v 
 g g e 
 m x e x n 
 u m v c c","p 
 p q b k v 
 g g e 
 m x e x c 
 u m v c c@"
2,"#input
mmmif
opw
yt
kwfzi
#output
","f i m m m 
 w p o 
 t y 
 i z f w k","f i m m 
 w p o 
 t y 
 i z f w k@"
3,"#input
snwzi
ydc
jdbwc
#output
","i z w n s 
 c d y 
 c w b d j","i z w n s 
 c d y 
 c b d j@"
4,"#input
nr
w
cbq
wduqq
#output
","r n 
 w 
 q b c 
 q q u d w","r n 
 w 
 q b c 
 q d w@"
5,"#input
e
lxxje
nl
x
i
#output
","e 
 e j x x l 
 l n 
 x 
 i","e 
 e j x l 
 l n 
 x 
 i@"
6,"#input
hrtu
sae
yrrrh
#output
","u t r h 
 e a s 
 h r r r y","u t r h 
 e a s 
 h r r n y@"
7,"#input
d
mr
w
jgmqk
#output
","d 
 r m 
 w 
 k q m g j","d 
 r m 
 w 
 k q g j@"
8,"#input
bvb
az
dmtna
#output
","b v b 
 z a 
 a n t m d","b v b 
 z a 
 a 
 a n t m d@"
9,"#input
hrtp
x
jqmdx
#output
","p t r h 
 x 
 x d m q j","p t r h 
 x 
 x 
 x d m q j@"
10,"#input
zy
ky
rrukv
#output
","y z 
 y k 
 v k u r r","y z 
 y k 
 v k r r@"
11,"#input
d
y
w
upown
#output
","d 
 y 
 w 
 n w o p u","d 
 y 
 w 
 n w p u u@"
12,"#input
ih
o
keso
#output
","h i 
 o 
 o s e k","h i 
 o 
 o e k@"
13,"#input
f
f
mhzfk
#output
","f 
 f 
 k f z h m","f 
 f 
 k f h m@"
14,"#input
p
e
emeew
#output
","p 
 e 
 w e e m e","p 
 e 
 w e m e@"
