,example_input,example_output,all-generated-output
0,"#input
iqfdng
wvuxyr
osabqda
gzpsela
aonguep
#output
","i q f d n g 
 w v u x y r 
 o s a b q d a 
 g z p s e l a 
 a o n g u e p","i q f d n g 
 w v u x y r 
 o s a b q d a 
 g z p s e l a 
 a o n g u e p@"
1,"#input
oondqc
gddgai
rciuta
wjdvynl
gealwpj
#output
","o o n d q c 
 g d d g a i 
 r c i u t a 
 w j d v y n l 
 g e a l w p j","o o n d q c 
 g d d g a i 
 r c i u t a 
 w j d v y n l 
 g e a l w p j@"
2,"#input
zwidik
dsadosw
bsqdtep
pmvwxr
#output
","z w i d i k 
 d s a d o s w 
 b s q d t e p 
 p m v w x r","z w i d i k 
 d s a d o s w 
 b s q d t e p 
 p m v w x r@"
3,"#input
lkqrnm
jjdkzu
hkivthp
zcwrndh
#output
","l k q r n m 
 j j d k z u 
 h k i v t h p 
 z c w r n d h","l k q r n m 
 j j d k z u 
 h k i v t h p 
 z c w r n d h@"
4,"#input
pkfdlj
zjzutl
jamryla
uhjoyst
#output
","p k f d l j 
 z j z u t l 
 j a m r y l a 
 u h j o y s t","p k f d l j 
 z j z u t l 
 j a m r y l a 
 u h j o y s t@"
5,"#input
uuwhsx
lgamqpx
llgrdey
#output
","u u w h s x 
 l g a m q p x 
 l l g r d e y","u u w h s x 
 l g a m q p x 
 l l g r d e y@"
6,"#input
scwpxc
upvaszy
krwluby
#output
","s c w p x c 
 u p v a s z y 
 k r w l u b y","s c w p x c 
 u p v a s z y 
 k r w l u b y@"
7,"#input
jorvih
umxihsn
wexxtql
#output
","j o r v i h 
 u m x i h s n 
 w e x x t q l","j o r v i h 
 u m x i h s n 
 w e x x t q l@"
8,"#input
nduvbe
xatsquc
svcnvwg
#output
","n d u v b e 
 x a t s q u c 
 s v c n v w g","n d u v b e 
 x a t s q u c 
 s v c n v w g@"
9,"#input
rowzpc
qadfbj
fqykrbz
#output
","r o w z p c 
 q a d f b j 
 f q y k r b z","r o w z p c 
 q a d f b j 
 f q y k r b z@"
10,"#input
pdvprz
bmpbvw
shzaukq
#output
","p d v p r z 
 b m p b v w 
 s h z a u k q","p d v p r z 
 b m p b v w 
 s h z a u k q@"
11,"#input
qsykvo
walyjm
oyovbdk
#output
","q s y k v o 
 w a l y j m 
 o y o v b d k","q s y k v o 
 w a l y j m 
 o y o v b d k@"
12,"#input
bwulum
ojpoul
ikgcfpq
#output
","b w u l u m 
 o j p o u l 
 i k g c f p q","b w u l u m 
 o j p o u l 
 i k g c f p q@"
13,"#input
cjdzzt
urtjha
vyhnuod
#output
","c j d z z t 
 u r t j h a 
 v y h n u o d","c j d z z t 
 u r t j h a 
 v y h n u o d@"
14,"#input
iuqhce
ejwprxg
gssozl
#output
","i u q h c e 
 e j w p r x g 
 g s s o z l","i u q h c e 
 e j w p r x g 
 g s s o z l@"
15,"#input
glpmld
uorjgl
vlesrzo
#output
","g l p m l d 
 u o r j g l 
 v l e s r z o","g l p m l d 
 u o r j g l 
 v l e s r z o@"
16,"#input
rrwqmy
sbzfba
vcaixgn
#output
","r r w q m y 
 s b z f b a 
 v c a i x g n","r r w q m y 
 s b z f b a 
 v c a i x g n@"
17,"#input
gsxvge
memzsi
onpthci
#output
","g s x v g e 
 m e m z s i 
 o n p t h c i","g s x v g e 
 m e m z s i 
 o n p t h c i@"
18,"#input
xnjcsj
rkgkqmc
ceswje
#output
","x n j c s j 
 r k g k q m c 
 c e s w j e","x n j c s j 
 r k g k q m c 
 c e s w j e@"
19,"#input
xzxweh
eqohntf
oyfzyb
#output
","x z x w e h 
 e q o h n t f 
 o y f z y b","x z x w e h 
 e q o h n t f 
 o y f z y b@"
20,"#input
ecfnth
zsrznf
qttoeph
#output
","e c f n t h 
 z s r z n f 
 q t t o e p h","e c f n t h 
 z s r z n f 
 q t t o e p h@"
21,"#input
rmfnxl
qhewnw
jgfqzee
#output
","r m f n x l 
 q h e w n w 
 j g f q z e e","r m f n x l 
 q h e w n w 
 j g f q z e e@"
