,example_input,example_output,all-generated-output
0,"#input
ctsx
lskiwopne
tjya
jgt
okueo
#output
","c t s x 
 l s k i w o p n e 
 t j y a 
 j g t 
 o k u e o","c t s x 
 l s k i w o p n e 
 t j y a 
 j g t 
 o k u e o@"
1,"#input
kzqfw
lhkilyztk
jnldh
rwi
ar
#output
","k z q f w 
 l h k i l y z t k 
 j n l d h 
 r w i 
 a r","k z q f w 
 l h k i l y z t k 
 j n l d h 
 r w i 
 a r@"
2,"#input
vycx
wcqtayje
bgrby
wsc
eqzy
#output
","v y c x 
 w c q t a y j e 
 b g r b y 
 w s c 
 e q z y","v y c x 
 w c q t a y j e 
 b g r b y 
 w s c 
 e q z y@"
3,"#input
wnpw
wsim
ikhavavwp
pe
uecf
#output
","w n p w 
 w s i m 
 i k h a v a v w p 
 p e 
 u e c f","w n p w 
 w s i m 
 i k h a v a v w p 
 p e 
 u e c f@"
4,"#input
xlajx
upgi
qzr
rkeylnatcs
e
#output
","x l a j x 
 u p g i 
 q z r 
 r k e y l n a t c s 
 e","x l a j x 
 u p g i 
 q z r 
 r k e y l n a t c s 
 e@"
5,"#input
dwgl
icvyesmwx
gquv
jbmp
y
#output
","d w g l 
 i c v y e s m w x 
 g q u v 
 j b m p 
 y","d w g l 
 i c v y e s m w x 
 g q u v 
 j b m p 
 y@"
6,"#input
jhej
qtsxuylggx
kdhq
fpzqv
#output
","j h e j 
 q t s x u y l g g x 
 k d h q 
 f p z q v","j h e j 
 q t s x u y l g g x 
 k d h q 
 f p z q v@"
7,"#input
zsgw
sjcjaem
mts
xmp
svbax
#output
","z s g w 
 s j c j a e m 
 m t s 
 x m p 
 s v b a x","z s g w 
 s j c j a e m 
 m t s 
 x m p 
 s v b a x@"
8,"#input
dxpj
ug
sxbi
mvcn
jqsaqfus
#output
","d x p j 
 u g 
 s x b i 
 m v c n 
 j q s a q f u s","d x p j 
 u g 
 s x b i 
 m v c n 
 j q s a q f u s@"
9,"#input
zngh
lwlwfreg
ah
twza
jvcp
#output
","z n g h 
 l w l w f r e g 
 a h 
 t w z a 
 j v c p","z n g h 
 l w l w f r e g 
 a h 
 t w z a 
 j v c p@"
10,"#input
goptl
jgdpstae
fxhxe
cpmib
#output
","g o p t l 
 j g d p s t a e 
 f x h x e 
 c p m i b","g o p t l 
 j g d p s t a e 
 f x h x e 
 c p m i b@"
11,"#input
ghss
m
zzwk
dqkxu
hsfzihyp
#output
","g h s s 
 m 
 z z w k 
 d q k x u 
 h s f z i h y p","g h s s 
 m 
 z z w k 
 d q k x u 
 h s f z i h y p@"
12,"#input
vbvop
jbxyc
dunawsmc
tzojh
#output
","v b v o p 
 j b x y c 
 d u n a w s m c 
 t z o j h","v b v o p 
 j b x y c 
 d u n a w s m c 
 t z o j h@"
13,"#input
ygumw
jyp
jyyscryoto
tulnt
#output
","y g u m w 
 j y p 
 j y y s c r y o t o 
 t u l n t","y g u m w 
 j y p 
 j y y s c r y o t o 
 t u l n t@"
14,"#input
rqduj
aayvdkf
cijmb
dh
est
#output
","r q d u j 
 a a y v d k f 
 c i j m b 
 d h 
 e s t","r q d u j 
 a a y v d k f 
 c i j m b 
 d h 
 e s t@"
15,"#input
hvfh
pukgu
qmmrlaglk
udkny
#output
","h v f h 
 p u k g u 
 q m m r l a g l k 
 u d k n y","h v f h 
 p u k g u 
 q m m r l a g l k 
 u d k n y@"
16,"#input
ndrol
fkvfdxneq
hnyy
tdxv
#output
","n d r o l 
 f k v f d x n e q 
 h n y y 
 t d x v","n d r o l 
 f k v f d x n e q 
 h n y y 
 t d x v@"
17,"#input
sli
nigs
laoyl
h
wwsryihi
#output
","s l i 
 n i g s 
 l a o y l 
 h 
 w w s r y i h i","s l i 
 n i g s 
 l a o y l 
 h 
 w w s r y i h i@"
18,"#input
qfrl
bvqlz
tymi
zuixlrwyo
#output
","q f r l 
 b v q l z 
 t y m i 
 z u i x l r w y o","q f r l 
 b v q l z 
 t y m i 
 z u i x l r w y o@"
19,"#input
lbi
ez
xrknl
fdmtjvcoku
z
#output
","l b i 
 e z 
 x r k n l 
 f d m t j v c o k u 
 z","l b i 
 e z 
 x r k n l 
 f d m t j v c o k u 
 z@"
20,"#input
xluxj
pjdhwcswwm
bys
utaa
#output
","x l u x j 
 p j d h w c s w w m 
 b y s 
 u t a a","x l u x j 
 p j d h w c s w w m 
 b y s 
 u t a a@"
21,"#input
fgqwu
mdbbg
bjkupnc
wwnmt
#output
","f g q w u 
 m d b b g 
 b j k u p n c 
 w w n m t","f g q w u 
 m d b b g 
 b j k u p n c 
 w w n m t@"
22,"#input
tgkwh
xvap
iuhv
uuforwpli
#output
","t g k w h 
 x v a p 
 i u h v 
 u u f o r w p l i","t g k w h 
 x v a p 
 i u h v 
 u u f o r w p l i@"
23,"#input
yvu
obszjou
mq
dqka
rxgtg
#output
","y v u 
 o b s z j o u 
 m q 
 d q k a 
 r x g t g","y v u 
 o b s z j o u 
 m q 
 d q k a 
 r x g t g@"
24,"#input
t
oyp
lsest
bmc
ymylqssao
#output
","t 
 o y p 
 l s e s t 
 b m c 
 y m y l q s s a o","t 
 o y p 
 l s e s t 
 b m c 
 y m y l q s s a o@"
25,"#input
nltlu
okujspf
eqtsp
vdrei
#output
","n l t l u 
 o k u j s p f 
 e q t s p 
 v d r e i","n l t l u 
 o k u j s p f 
 e q t s p 
 v d r e i@"
26,"#input
lsvjg
xvqhl
dhbhtbt
slxej
#output
","l s v j g 
 x v q h l 
 d h b h t b t 
 s l x e j","l s v j g 
 x v q h l 
 d h b h t b t 
 s l x e j@"
27,"#input
m
qnrmvitjr
ouwjy
cftw
fn
#output
","m 
 q n r m v i t j r 
 o u w j y 
 c f t w 
 f n","m 
 q n r m v i t j r 
 o u w j y 
 c f t w 
 f n@"
28,"#input
tsqp
yvnmtefolf
qgo
jxery
#output
","t s q p 
 y v n m t e f o l f 
 q g o 
 j x e r y","t s q p 
 y v n m t e f o l f 
 q g o 
 j x e r y@"
29,"#input
ani
lolawbqske
re
onsa
dp
#output
","a n i 
 l o l a w b q s k e 
 r e 
 o n s a 
 d p","a n i 
 l o l a w b q s k e 
 r e 
 o n s a 
 d p@"
30,"#input
dmmh
gvrmund
hayhy
tul
pk
#output
","d m m h 
 g v r m u n d 
 h a y h y 
 t u l 
 p k","d m m h 
 g v r m u n d 
 h a y h y 
 t u l 
 p k@"
31,"#input
r
kgcq
jyid
qhbe
aqmojcot
#output
","r 
 k g c q 
 j y i d 
 q h b e 
 a q m o j c o t","r 
 k g c q 
 j y i d 
 q h b e 
 a q m o j c o t@"
32,"#input
kcfib
wldqykh
tkjlw
qnf
x
#output
","k c f i b 
 w l d q y k h 
 t k j l w 
 q n f 
 x","k c f i b 
 w l d q y k h 
 t k j l w 
 q n f 
 x@"
33,"#input
mhud
evpoeomwou
khi
ipwlp
#output
","m h u d 
 e v p o e o m w o u 
 k h i 
 i p w l p","m h u d 
 e v p o e o m w o u 
 k h i 
 i p w l p@"
34,"#input
eutil
ej
cllikablv
hl
rpr
#output
","e u t i l 
 e j 
 c l l i k a b l v 
 h l 
 r p r","e u t i l 
 e j 
 c l l i k a b l v 
 h l 
 r p r@"
35,"#input
ytsuf
zsgw
kxucl
mncyiooh
#output
","y t s u f 
 z s g w 
 k x u c l 
 m n c y i o o h","y t s u f 
 z s g w 
 k x u c l 
 m n c y i o o h@"
36,"#input
ktdh
qot
fkjnypc
fn
gzptf
#output
","k t d h 
 q o t 
 f k j n y p c 
 f n 
 g z p t f","k t d h 
 q o t 
 f k j n y p c 
 f n 
 g z p t f@"
37,"#input
ztpro
eaq
yqfph
rjnxlncsr
#output
","z t p r o 
 e a q 
 y q f p h 
 r j n x l n c s r","z t p r o 
 e a q 
 y q f p h 
 r j n x l n c s r@"
38,"#input
jcbv
u
ifhaqxwn
ayu
neysg
#output
","j c b v 
 u 
 i f h a q x w n 
 a y u 
 n e y s g","j c b v 
 u 
 i f h a q x w n 
 a y u 
 n e y s g@"
39,"#input
xovq
wk
uvuokbatis
deu
ei
#output
","x o v q 
 w k 
 u v u o k b a t i s 
 d e u 
 e i","x o v q 
 w k 
 u v u o k b a t i s 
 d e u 
 e i@"
40,"#input
q
xpcg
cydl
bufdqpmfh
jqb
#output
","q 
 x p c g 
 c y d l 
 b u f d q p m f h 
 j q b","q 
 x p c g 
 c y d l 
 b u f d q p m f h 
 j q b@"
41,"#input
nvaxx
xqmbl
jedclrixrt
gn
#output
","n v a x x 
 x q m b l 
 j e d c l r i x r t 
 g n","n v a x x 
 x q m b l 
 j e d c l r i x r t 
 g n@"
42,"#input
panc
vo
myo
kkobsycpfb
sm
#output
","p a n c 
 v o 
 m y o 
 k k o b s y c p f b 
 s m","p a n c 
 v o 
 m y o 
 k k o b s y c p f b 
 s m@"
43,"#input
vlua
ei
ollnchept
iymjy
c
#output
","v l u a 
 e i 
 o l l n c h e p t 
 i y m j y 
 c","v l u a 
 e i 
 o l l n c h e p t 
 i y m j y 
 c@"
44,"#input
gr
jeoi
hseqg
m
hugzvosgi
#output
","g r 
 j e o i 
 h s e q g 
 m 
 h u g z v o s g i","g r 
 j e o i 
 h s e q g 
 m 
 h u g z v o s g i@"
45,"#input
sts
peyikuz
gf
qwydx
aonf
#output
","s t s 
 p e y i k u z 
 g f 
 q w y d x 
 a o n f","s t s 
 p e y i k u z 
 g f 
 q w y d x 
 a o n f@"
46,"#input
ppybx
urtc
hnng
enopjnhax
#output
","p p y b x 
 u r t c 
 h n n g 
 e n o p j n h a x","p p y b x 
 u r t c 
 h n n g 
 e n o p j n h a x@"
47,"#input
n
tlbc
tady
dxdakhxb
bhcl
#output
","n 
 t l b c 
 t a d y 
 d x d a k h x b 
 b h c l","n 
 t l b c 
 t a d y 
 d x d a k h x b 
 b h c l@"
48,"#input
sop
j
lrsl
msxblqet
vbkem
#output
","s o p 
 j 
 l r s l 
 m s x b l q e t 
 v b k e m","s o p 
 j 
 l r s l 
 m s x b l q e t 
 v b k e m@"
49,"#input
laek
dm
dtm
taehkq
fjoxq
#output
","l a e k 
 d m 
 d t m 
 t a e h k q 
 f j o x q","l a e k 
 d m 
 d t m 
 t a e h k q 
 f j o x q@"
50,"#input
zzf
vbthtvwoq
cuvkp
pwrv
#output
","z z f 
 v b t h t v w o q 
 c u v k p 
 p w r v","z z f 
 v b t h t v w o q 
 c u v k p 
 p w r v@"
51,"#input
iw
puko
u
nknqisdqj
zzgf
#output
","i w 
 p u k o 
 u 
 n k n q i s d q j 
 z z g f","i w 
 p u k o 
 u 
 n k n q i s d q j 
 z z g f@"
52,"#input
aahk
fdzuqcukgu
lpsd
cxw
#output
","a a h k 
 f d z u q c u k g u 
 l p s d 
 c x w","a a h k 
 f d z u q c u k g u 
 l p s d 
 c x w@"
53,"#input
qkel
cknrorrjq
c
mhx
bvj
#output
","q k e l 
 c k n r o r r j q 
 c 
 m h x 
 b v j","q k e l 
 c k n r o r r j q 
 c 
 m h x 
 b v j@"
54,"#input
mhhp
ckc
azvlgckvc
lm
pm
#output
","m h h p 
 c k c 
 a z v l g c k v c 
 l m 
 p m","m h h p 
 c k c 
 a z v l g c k v c 
 l m 
 p m@"
55,"#input
y
ktsq
ol
iekec
dpftjfrg
#output
","y 
 k t s q 
 o l 
 i e k e c 
 d p f t j f r g","y 
 k t s q 
 o l 
 i e k e c 
 d p f t j f r g@"
56,"#input
rhkx
zjpw
xhndbaxprs
ipo
#output
","r h k x 
 z j p w 
 x h n d b a x p r s 
 i p o","r h k x 
 z j p w 
 x h n d b a x p r s 
 i p o@"
