,example_input,example_output,all-generated-output
0,"#input
jslvfq
ddvmr
bfaai
qibxi
irosk
ocejw
#output
","j s l v f q 
 d d v m r 
 b f a a i 
 q i b x i 
 i r o s k 
 o c e j w","j s l v f q 
 d d v m r 
 b f a a i 
 q i b x i 
 i r o s k 
 o c e j w@"
1,"#input
mgxzku
bhtc
iqrbb
ckqb
sbyuk
ipah
#output
","m g x z k u 
 b h t c 
 i q r b b 
 c k q b 
 s b y u k 
 i p a h","m g x z k u 
 b h t c 
 i q r b b 
 c k q b 
 s b y u k 
 i p a h@"
2,"#input
vrje
juulaq
kmmy
ddzry
nyvz
kwpz
#output
","v r j e 
 j u u l a q 
 k m m y 
 d d z r y 
 n y v z 
 k w p z","v r j e 
 j u u l a q 
 k m m y 
 d d z r y 
 n y v z 
 k w p z@"
3,"#input
hwyoc
kxovm
jfjrk
scaa
uv
lxerwv
#output
","h w y o c 
 k x o v m 
 j f j r k 
 s c a a 
 u v 
 l x e r w v","h w y o c 
 k x o v m 
 j f j r k 
 s c a a 
 u v 
 l x e r w v@"
4,"#input
vbnwr
cgka
vrvh
ahrlqy
iur
sxnbc
#output
","v b n w r 
 c g k a 
 v r v h 
 a h r l q y 
 i u r 
 s x n b c","v b n w r 
 c g k a 
 v r v h 
 a h r l q y 
 i u r 
 s x n b c@"
5,"#input
cykhg
dbw
pzunx
jgqczq
bsyzu
wpm
#output
","c y k h g 
 d b w 
 p z u n x 
 j g q c z q 
 b s y z u 
 w p m","c y k h g 
 d b w 
 p z u n x 
 j g q c z q 
 b s y z u 
 w p m@"
6,"#input
tdxw
fbkwsl
ropgm
rddku
wjanw
vy
#output
","t d x w 
 f b k w s l 
 r o p g m 
 r d d k u 
 w j a n w 
 v y","t d x w 
 f b k w s l 
 r o p g m 
 r d d k u 
 w j a n w 
 v y@"
7,"#input
ub
zylua
xrjno
wruujz
uhf
bxxcs
#output
","u b 
 z y l u a 
 x r j n o 
 w r u u j z 
 u h f 
 b x x c s","u b 
 z y l u a 
 x r j n o 
 w r u u j z 
 u h f 
 b x x c s@"
8,"#input
fgjz
gnzddi
kjcdm
rznr
zopvj
jk
#output
","f g j z 
 g n z d d i 
 k j c d m 
 r z n r 
 z o p v j 
 j k","f g j z 
 g n z d d i 
 k j c d m 
 r z n r 
 z o p v j 
 j k@"
9,"#input
qjhjhg
gdeq
cpt
ujfg
axtpd
mfax
#output
","q j h j h g 
 g d e q 
 c p t 
 u j f g 
 a x t p d 
 m f a x","q j h j h g 
 g d e q 
 c p t 
 u j f g 
 a x t p d 
 m f a x@"
10,"#input
hnev
rbm
qshcrw
cfy
sovtt
ijpqm
#output
","h n e v 
 r b m 
 q s h c r w 
 c f y 
 s o v t t 
 i j p q m","h n e v 
 r b m 
 q s h c r w 
 c f y 
 s o v t t 
 i j p q m@"
11,"#input
heirc
senor
rnt
lgxvt
jbmirp
x
#output
","h e i r c 
 s e n o r 
 r n t 
 l g x v t 
 j b m i r p 
 x","h e i r c 
 s e n o r 
 r n t 
 l g x v t 
 j b m i r p 
 x@"
12,"#input
bujqv
b
abhgyp
pmk
ajffv
xtfvc
#output
","b u j q v 
 b 
 a b h g y p 
 p m k 
 a j f f v 
 x t f v c","b u j q v 
 b 
 a b h g y p 
 p m k 
 a j f f v 
 x t f v c@"
13,"#input
ize
pdwetd
fxevg
rinr
jq
sjdgj
#output
","i z e 
 p d w e t d 
 f x e v g 
 r i n r 
 j q 
 s j d g j","i z e 
 p d w e t d 
 f x e v g 
 r i n r 
 j q 
 s j d g j@"
14,"#input
lmzzgh
sfkkl
jjldo
lstt
o
amsn
#output
","l m z z g h 
 s f k k l 
 j j l d o 
 l s t t 
 o 
 a m s n","l m z z g h 
 s f k k l 
 j j l d o 
 l s t t 
 o 
 a m s n@"
15,"#input
macbu
izutdw
q
mbykn
vgjju
pkg
#output
","m a c b u 
 i z u t d w 
 q 
 m b y k n 
 v g j j u 
 p k g","m a c b u 
 i z u t d w 
 q 
 m b y k n 
 v g j j u 
 p k g@"
16,"#input
cqhun
hqon
ngjz
qvy
uim
peprty
#output
","c q h u n 
 h q o n 
 n g j z 
 q v y 
 u i m 
 p e p r t y","c q h u n 
 h q o n 
 n g j z 
 q v y 
 u i m 
 p e p r t y@"
17,"#input
kdqdlp
nvuf
thce
peak
kgjwt
ka
#output
","k d q d l p 
 n v u f 
 t h c e 
 p e a k 
 k g j w t 
 k a","k d q d l p 
 n v u f 
 t h c e 
 p e a k 
 k g j w t 
 k a@"
18,"#input
dqv
sxyk
gas
zznvjf
uedtq
gklo
#output
","d q v 
 s x y k 
 g a s 
 z z n v j f 
 u e d t q 
 g k l o","d q v 
 s x y k 
 g a s 
 z z n v j f 
 u e d t q 
 g k l o@"
19,"#input
vvxea
ihiln
d
ucia
thzhjl
ycfi
#output
","v v x e a 
 i h i l n 
 d 
 u c i a 
 t h z h j l 
 y c f i","v v x e a 
 i h i l n 
 d 
 u c i a 
 t h z h j l 
 y c f i@"
20,"#input
mrq
mwkps
qbui
hvut
glhais
gqv
#output
","m r q 
 m w k p s 
 q b u i 
 h v u t 
 g l h a i s 
 g q v","m r q 
 m w k p s 
 q b u i 
 h v u t 
 g l h a i s 
 g q v@"
21,"#input
oyecn
ngowi
l
cuihca
wsua
nmqi
#output
","o y e c n 
 n g o w i 
 l 
 c u i h c a 
 w s u a 
 n m q i","o y e c n 
 n g o w i 
 l 
 c u i h c a 
 w s u a 
 n m q i@"
22,"#input
caytg
qlku
lwasts
gkj
hm
pvqrg
#output
","c a y t g 
 q l k u 
 l w a s t s 
 g k j 
 h m 
 p v q r g","c a y t g 
 q l k u 
 l w a s t s 
 g k j 
 h m 
 p v q r g@"
23,"#input
vlufhf
wyij
sl
hxlm
oomum
bgzj
#output
","v l u f h f 
 w y i j 
 s l 
 h x l m 
 o o m u m 
 b g z j","v l u f h f 
 w y i j 
 s l 
 h x l m 
 o o m u m 
 b g z j@"
24,"#input
ewysei
likx
sb
vtabb
edncy
ymc
#output
","e w y s e i 
 l i k x 
 s b 
 v t a b b 
 e d n c y 
 y m c","e w y s e i 
 l i k x 
 s b 
 v t a b b 
 e d n c y 
 y m c@"
25,"#input
gi
fyzny
fzbvd
rnh
hkeepb
ymb
#output
","g i 
 f y z n y 
 f z b v d 
 r n h 
 h k e e p b 
 y m b","g i 
 f y z n y 
 f z b v d 
 r n h 
 h k e e p b 
 y m b@"
26,"#input
o
eljmkw
ntgtp
leus
bqhb
rarx
#output
","o 
 e l j m k w 
 n t g t p 
 l e u s 
 b q h b 
 r a r x","o 
 e l j m k w 
 n t g t p 
 l e u s 
 b q h b 
 r a r x@"
27,"#input
avpljs
l
ywiy
itehu
yrq
bkjdr
#output
","a v p l j s 
 l 
 y w i y 
 i t e h u 
 y r q 
 b k j d r","a v p l j s 
 l 
 y w i y 
 i t e h u 
 y r q 
 b k j d r@"
28,"#input
cyc
jvdin
wgfoy
vi
wehwtx
wrd
#output
","c y c 
 j v d i n 
 w g f o y 
 v i 
 w e h w t x 
 w r d","c y c 
 j v d i n 
 w g f o y 
 v i 
 w e h w t x 
 w r d@"
29,"#input
ryo
nqwhvs
wxrhc
dxyw
r
aqacx
#output
","r y o 
 n q w h v s 
 w x r h c 
 d x y w 
 r 
 a q a c x","r y o 
 n q w h v s 
 w x r h c 
 d x y w 
 r 
 a q a c x@"
30,"#input
uvvmta
daqv
fuq
rsb
hrqet
nkm
#output
","u v v m t a 
 d a q v 
 f u q 
 r s b 
 h r q e t 
 n k m","u v v m t a 
 d a q v 
 f u q 
 r s b 
 h r q e t 
 n k m@"
