,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
","z e k t e 
 l y m i q 
 y z m o j f p o o 
 w m o t s 
 u p u j z","z e k t e 
 l y m i q 
 y m j f p o o 
 w m o t s 
 u p u j z@"
1,"#input
jiptd
wsazt
dufdd
gtoghwvmaj
moxs
#output
","d t p i j 
 t z a s w 
 d d f u d 
 j a m v w h g o t g 
 s x o m","d t p i j 
 t z a s w 
 d d f u d 
 a w h g o t g 
 s x o m@"
2,"#input
svjh
dtpxe
qycdl
kjboa
asyytnxkmv
#output
","h j v s 
 e x p t d 
 l d c y q 
 a o b j k 
 v m k x n t y y s a","h j v s 
 e x p t d 
 l d c y q 
 a o b j k 
 v t m t y y s a@"
3,"#input
nvnxyrpocz
ydnd
xykjd
thiwo
ohgl
#output
","z c o p r y x n v n 
 d n d y 
 d j k y x 
 o w i h t 
 l g h o","z o x n v n 
 d n d y 
 d j k y x 
 o w i h t 
 l g h o@"
4,"#input
waxb
vdqad
kxls
ppekihjopf
mpphw
#output
","b x a w 
 d a q d v 
 s l x k 
 f p o j h i k e p p 
 w h p p m","b x a w 
 d a q d v 
 s l x k 
 f o j k e p p 
 w h p p m@"
5,"#input
cpkbiedbl
oryxx
tfwok
zjkq
dhewa
#output
","l b d e i b k p c 
 x x y r o 
 k o w f t 
 q k j z 
 a w e h d","b b b k p c 
 x x y r o 
 k o w f t 
 q k j z 
 a w e h d@"
6,"#input
berwi
grnqelejfy
abxlh
yhizg
oue
#output
","i w r e b 
 y f j e l e q n r g 
 h l x b a 
 g z i h y 
 e u o","i w r e b 
 y e e q n r g 
 h l x b a 
 g z i h y 
 e u o@"
7,"#input
ivtqazzrnl
ren
ubbnk
teqnr
gbpqe
#output
","l n r z z a q t v i 
 n e r 
 k n b b u 
 r n q e t 
 e q p b g","l z q t v i 
 n e r 
 k n b b u 
 r n q e t 
 e q p b g@"
8,"#input
pwerz
pkfw
dqpcs
pgxfo
yorbcipcx
#output
","z r e w p 
 w f k p 
 s c p q d 
 o f x g p 
 x c p i c b r o y","z r e w p 
 w f k p 
 s c p q d 
 o f x g p 
 x c b r o y@"
9,"#input
gbeu
lqvov
unvtwpyose
xlizd
homw
#output
","u e b g 
 v o v q l 
 e s o y p w t v n u 
 d z i l x 
 w m o h","u e b g 
 v o v q l 
 s o w t v n u 
 d z i l x 
 w m o h@"
10,"#input
fhpat
gxs
unwvk
bczeflpssk
yolbj
#output
","t a p h f 
 s x g 
 k v w n u 
 k s s p l f e z c b 
 j b l o y","t a p h f 
 s x g 
 k v w n u 
 s f e z c b 
 j b l o y@"
11,"#input
hnuxf
ooukz
mtvzqflmah
mlcj
imnj
#output
","f x u n h 
 z k u o o 
 h a m l f q z v t m 
 j c l m 
 j n m i","f x u n h 
 z k u o o 
 h m q z v t m 
 j c l m 
 j n m i@"
