,example_input,example_output,all-generated-output
0,"#input
ysgnf
trjhx
sbgcj
jkwbs
pppcu
#output
",y t s j p s r b k p g j g w p n h c b c f x j s u,y t s j p s r b k p g j g w p n h c b c f x j s u@
1,"#input
xxajb
kbnlk
dvuya
aeefs
gypsp
#output
",x k d a g x b v e y a n u e p j l y f s b k a s p,x k d a g x b v e y a n u e p j l y f s b k a s p@
2,"#input
lrrkw
zcbhf
oszky
ytryn
crhkp
#output
",l z o y c r c s t r r b z r h k h k y k w f y n p,l z o y c r c s t r r b z r h k h k y k w f y n p@
3,"#input
jbsht
fzetc
oxcmt
qlfec
rpnwx
#output
",j f o q r b z x l p s e c f n h t m e w t c t c x,j f o q r b z x l p s e c f n h t m e w t c t c x@
4,"#input
hmbow
qthis
fkzkr
cihlb
qfxyx
#output
",h q f c q m t k i f b h z h x o i k l y w s r b x,h q f c q m t k i f b h z h x o i k l y w s r b x@
5,"#input
uedlf
zqewf
juvkv
ktice
xkams
#output
",u z j k x e q u t k d e v i a l w k c m f f v e s,u z j k x e q u t k d e v i a l w k c m f f v e s@
6,"#input
kbwvk
ewzje
jgqjd
pnbth
oalph
#output
",k e j p o b w g n a w z q b l v j j t p k e d h h,k e j p o b w g n a w z q b l v j j t p k e d h h@
7,"#input
ozyml
kkdrz
akzqa
gcvms
dgcpc
#output
",o k a g d z k k c g y d z v c m r q m p l z a s c,o k a g d z k k c g y d z v c m r q m p l z a s c@
8,"#input
cilzz
aueib
vemnq
orzvm
fbdfi
#output
",c a v o f i u e r b l e m z d z i n v f z b q m i,c a v o f i u e r b l e m z d z i n v f z b q m i@
9,"#input
kuwdr
yfnnd
nmplx
tyikc
dsgoc
#output
",k y n t d u f m y s w n p i g d n l k o r d x c c,k y n t d u f m y s w n p i g d n l k o r d x c c@
10,"#input
zpukl
bjnba
bxohk
vfyhe
ikuoc
#output
",z b b v i p j x f k u n o y u k b h h o l a k e c,z b b v i p j x f k u n o y u k b h h o l a k e c@
11,"#input
ipith
bgouu
dhodj
tvbxg
cmvhn
#output
",i b d t c p g h v m i o o b v t u d x h h u j g n,i b d t c p g h v m i o o b v t u d x h h u j g n@
12,"#input
evyds
pknlj
afbwc
htxre
wmawg
#output
",e p a h w v k f t m y n b x a d l w r w s j c e g,e p a h w v k f t m y n b x a d l w r w s j c e g@
13,"#input
hqrmm
biijx
wazai
vqacv
nurcz
#output
",h b w v n q i a q u r i z a r m j a c c m x i v z,h b w v n q i a q u r i z a r m j a c c m x i v z@
14,"#input
empam
ofpyh
oaorx
zlpmq
gctyo
#output
",e o o z g m f a l c p p o p t a y r m y m h x q o,e o o z g m f a l c p p o p t a y r m y m h x q o@
15,"#input
varsn
eablq
dehew
hoxnr
zoviq
#output
",v e d h z a a e o o r b h x v s l e n i n q w r q,v e d h z a a e o o r b h x v s l e n i n q w r q@
16,"#input
jsvwf
bxima
yrxzh
dfpjr
hmmkj
#output
",j b y d h s x r f m v i x p m w m z j k f a h r j,j b y d h s x r f m v i x p m w m z j k f a h r j@
17,"#input
tmume
qkeqv
oingu
kblku
kuyva
#output
",t q o k k m k i b u u e n l y m q g k v e v u u a,t q o k k m k i b u u e n l y m q g k v e v u u a@
18,"#input
dzuub
nomgx
ksulm
qcqfv
lxgoi
#output
",d n k q l z o s c x u m u q g u g l f o b x m v i,d n k q l z o s c x u m u q g u g l f o b x m v i@
19,"#input
kbctd
cfwlh
hhkcr
shuhg
abdqm
#output
",k c h s a b f h h b c w k u d t l c h q d h r g m,k c h s a b f h h b c w k u d t l c h q d h r g m@
20,"#input
ernvn
cdrrj
qbmnw
rhfbw
domzi
#output
",e c q r d r d b h o n r m f m v r n b z n j w w i,e c q r d r d b h o n r m f m v r n b z n j w w i@
21,"#input
yhvws
pbxko
exxfq
oaifo
ihfjh
#output
",y p e o i h b x a h v x x i f w k f f j s o q o h,y p e o i h b x a h v x x i f w k f f j s o q o h@
