,example_input,example_output,all-generated-output
0,"#input
truvvad
fwua
ofjfb
mwi
csqo
jhza
gtl
rukn
#output
","t r u v v a d 
 f w u a 
 o f j f b 
 m w i 
 c s q o 
 j h z a 
 g t l 
 r u k n","t r u v v a d 
 f w u a 
 o f j f b 
 m w i 
 c s q o 
 j h z a 
 g t l 
 r u k n@"
1,"#input
zcd
sxnlj
pqsxq
ityye
otpnv
bpml
wmoaur
#output
","z c d 
 s x n l j 
 p q s x q 
 i t y y e 
 o t p n v 
 b p m l 
 w m o a u r","z c d 
 s x n l j 
 p q s x q 
 i t y y e 
 o t p n v 
 b p m l 
 w m o a u r@"
2,"#input
lltsp
dsrl
ge
awfls
vgqh
hqhmf
k
ysmetn
#output
","l l t s p 
 d s r l 
 g e 
 a w f l s 
 v g q h 
 h q h m f 
 k 
 y s m e t n","l l t s p 
 d s r l 
 g e 
 a w f l s 
 v g q h 
 h q h m f 
 k 
 y s m e t n@"
3,"#input
tkgfxf
dl
nzezd
dvyky
wpovt
htjd
j
idlp
#output
","t k g f x f 
 d l 
 n z e z d 
 d v y k y 
 w p o v t 
 h t j d 
 j 
 i d l p","t k g f x f 
 d l 
 n z e z d 
 d v y k y 
 w p o v t 
 h t j d 
 j 
 i d l p@"
4,"#input
twzznsd
wtzgk
aodfv
maxob
hdkd
bxb
sgju
#output
","t w z z n s d 
 w t z g k 
 a o d f v 
 m a x o b 
 h d k d 
 b x b 
 s g j u","t w z z n s d 
 w t z g k 
 a o d f v 
 m a x o b 
 h d k d 
 b x b 
 s g j u@"
5,"#input
dtjsn
apf
eqqp
alfpzy
sbpfm
hhdlp
uiln
#output
","d t j s n 
 a p f 
 e q q p 
 a l f p z y 
 s b p f m 
 h h d l p 
 u i l n","d t j s n 
 a p f 
 e q q p 
 a l f p z y 
 s b p f m 
 h h d l p 
 u i l n@"
6,"#input
hhcwr
jbt
cfponvd
npfk
gxhit
ynjpf
agm
#output
","h h c w r 
 j b t 
 c f p o n v d 
 n p f k 
 g x h i t 
 y n j p f 
 a g m","h h c w r 
 j b t 
 c f p o n v d 
 n p f k 
 g x h i t 
 y n j p f 
 a g m@"
7,"#input
nka
sn
wuog
opirk
aqlcdz
gohh
wi
pccgi
#output
","n k a 
 s n 
 w u o g 
 o p i r k 
 a q l c d z 
 g o h h 
 w i 
 p c c g i","n k a 
 s n 
 w u o g 
 o p i r k 
 a q l c d z 
 g o h h 
 w i 
 p c c g i@"
8,"#input
dunoa
yki
kjmy
ohieoygu
b
jnz
aol
ugld
#output
","d u n o a 
 y k i 
 k j m y 
 o h i e o y g u 
 b 
 j n z 
 a o l 
 u g l d","d u n o a 
 y k i 
 k j m y 
 o h i e o y g u 
 b 
 j n z 
 a o l 
 u g l d@"
9,"#input
dahfd
izb
xupqlz
aghr
vz
za
xhmw
qyndy
#output
","d a h f d 
 i z b 
 x u p q l z 
 a g h r 
 v z 
 z a 
 x h m w 
 q y n d y","d a h f d 
 i z b 
 x u p q l z 
 a g h r 
 v z 
 z a 
 x h m w 
 q y n d y@"
10,"#input
lpfkr
rlxmr
poiz
na
pegwkh
ao
tf
tjjxz
#output
","l p f k r 
 r l x m r 
 p o i z 
 n a 
 p e g w k h 
 a o 
 t f 
 t j j x z","l p f k r 
 r l x m r 
 p o i z 
 n a 
 p e g w k h 
 a o 
 t f 
 t j j x z@"
11,"#input
jclzh
eefpvlpv
rm
zpjlw
iiaf
ytf
galhs
#output
","j c l z h 
 e e f p v l p v 
 r m 
 z p j l w 
 i i a f 
 y t f 
 g a l h s","j c l z h 
 e e f p v l p v 
 r m 
 z p j l w 
 i i a f 
 y t f 
 g a l h s@"
12,"#input
umsuvwcl
efve
mkl
kvjw
kltv
uehem
sqlp
#output
","u m s u v w c l 
 e f v e 
 m k l 
 k v j w 
 k l t v 
 u e h e m 
 s q l p","u m s u v w c l 
 e f v e 
 m k l 
 k v j w 
 k l t v 
 u e h e m 
 s q l p@"
13,"#input
popczxe
vtwfy
rawah
hlm
yln
mfif
ovfhp
#output
","p o p c z x e 
 v t w f y 
 r a w a h 
 h l m 
 y l n 
 m f i f 
 o v f h p","p o p c z x e 
 v t w f y 
 r a w a h 
 h l m 
 y l n 
 m f i f 
 o v f h p@"
