,example_input,example_output,all-generated-output
0,"#input
igzgt
fltph
syr
wh
liajl
hw
tjksn
qfgbj
#output
","i g z g t 
 f l t p h 
 s y r 
 w h 
 l i a j l 
 h w 
 t j k s n 
 q f g b j","i g z g t 
 f l t p h 
 s y r 
 w h 
 l i a j l 
 h w 
 t j k s n 
 q f g b j@"
1,"#input
dxubp
kyt
zrsc
q
aipy
ybjtc
dwqvd
yxgm
#output
","d x u b p 
 k y t 
 z r s c 
 q 
 a i p y 
 y b j t c 
 d w q v d 
 y x g m","d x u b p 
 k y t 
 z r s c 
 q 
 a i p y 
 y b j t c 
 d w q v d 
 y x g m@"
2,"#input
avfxd
t
aaxj
ywj
imq
yyuue
irvh
atiti
#output
","a v f x d 
 t 
 a a x j 
 y w j 
 i m q 
 y y u u e 
 i r v h 
 a t i t i","a v f x d 
 t 
 a a x j 
 y w j 
 i m q 
 y y u u e 
 i r v h 
 a t i t i@"
3,"#input
foiqy
uwnh
sif
po
rnfj
zufx
oczs
feps
#output
","f o i q y 
 u w n h 
 s i f 
 p o 
 r n f j 
 z u f x 
 o c z s 
 f e p s","f o i q y 
 u w n h 
 s i f 
 p o 
 r n f j 
 z u f x 
 o c z s 
 f e p s@"
4,"#input
proem
yeum
bpyhh
r
szgzc
qlcm
b
cpzne
#output
","p r o e m 
 y e u m 
 b p y h h 
 r 
 s z g z c 
 q l c m 
 b 
 c p z n e","p r o e m 
 y e u m 
 b p y h h 
 r 
 s z g z c 
 q l c m 
 b 
 c p z n e@"
5,"#input
ejd
uirja
shdy
lek
mu
fel
etpwy
ybtbc
#output
","e j d 
 u i r j a 
 s h d y 
 l e k 
 m u 
 f e l 
 e t p w y 
 y b t b c","e j d 
 u i r j a 
 s h d y 
 l e k 
 m u 
 f e l 
 e t p w y 
 y b t b c@"
6,"#input
oydxr
awwn
rkeu
calzr
hwzm
hkpod
dysr
#output
","o y d x r 
 a w w n 
 r k e u 
 c a l z r 
 h w z m 
 h k p o d 
 d y s r","o y d x r 
 a w w n 
 r k e u 
 c a l z r 
 h w z m 
 h k p o d 
 d y s r@"
7,"#input
igms
zqcuz
xmdjx
h
rrfbm
k
ymva
cgtb
#output
","i g m s 
 z q c u z 
 x m d j x 
 h 
 r r f b m 
 k 
 y m v a 
 c g t b","i g m s 
 z q c u z 
 x m d j x 
 h 
 r r f b m 
 k 
 y m v a 
 c g t b@"
8,"#input
upc
nlzn
b
bwbgr
xdqp
nfbq
zu
vnm
tz
#output
","u p c 
 n l z n 
 b 
 b w b g r 
 x d q p 
 n f b q 
 z u 
 v n m 
 t z","u p c 
 n l z n 
 b 
 b w b g r 
 x d q p 
 n f b q 
 z u 
 v n m 
 t z@"
9,"#input
yvnm
bnc
aiu
i
jsis
lzrux
d
way
onvh
#output
","y v n m 
 b n c 
 a i u 
 i 
 j s i s 
 l z r u x 
 d 
 w a y 
 o n v h","y v n m 
 b n c 
 a i u 
 i 
 j s i s 
 l z r u x 
 d 
 w a y 
 o n v h@"
10,"#input
masr
ngd
qbq
ugu
rvg
wkhd
nfjl
mycsm
#output
","m a s r 
 n g d 
 q b q 
 u g u 
 r v g 
 w k h d 
 n f j l 
 m y c s m","m a s r 
 n g d 
 q b q 
 u g u 
 r v g 
 w k h d 
 n f j l 
 m y c s m@"
11,"#input
bgyw
m
ppyxq
nbm
nnp
uvgy
miqq
stuzf
#output
","b g y w 
 m 
 p p y x q 
 n b m 
 n n p 
 u v g y 
 m i q q 
 s t u z f","b g y w 
 m 
 p p y x q 
 n b m 
 n n p 
 u v g y 
 m i q q 
 s t u z f@"
12,"#input
kyha
nul
fu
hjqem
pbip
zul
lwvx
utmf
#output
","k y h a 
 n u l 
 f u 
 h j q e m 
 p b i p 
 z u l 
 l w v x 
 u t m f","k y h a 
 n u l 
 f u 
 h j q e m 
 p b i p 
 z u l 
 l w v x 
 u t m f@"
13,"#input
k
sbj
wsi
qi
on
zsxkf
iy
pzoxj
adlep
#output
","k 
 s b j 
 w s i 
 q i 
 o n 
 z s x k f 
 i y 
 p z o x j 
 a d l e p","k 
 s b j 
 w s i 
 q i 
 o n 
 z s x k f 
 i y 
 p z o x j 
 a d l e p@"
14,"#input
mbp
oz
qorbk
xfel
fqmva
wd
fbgq
krjx
#output
","m b p 
 o z 
 q o r b k 
 x f e l 
 f q m v a 
 w d 
 f b g q 
 k r j x","m b p 
 o z 
 q o r b k 
 x f e l 
 f q m v a 
 w d 
 f b g q 
 k r j x@"
15,"#input
tixod
t
zfvjo
ag
jy
cz
bi
fkamy
xbdn
#output
","t i x o d 
 t 
 z f v j o 
 a g 
 j y 
 c z 
 b i 
 f k a m y 
 x b d n","t i x o d 
 t 
 z f v j o 
 a g 
 j y 
 c z 
 b i 
 f k a m y 
 x b d n@"
16,"#input
idvk
rr
htes
m
npywl
iha
dfa
r
ystrh
#output
","i d v k 
 r r 
 h t e s 
 m 
 n p y w l 
 i h a 
 d f a 
 r 
 y s t r h","i d v k 
 r r 
 h t e s 
 m 
 n p y w l 
 i h a 
 d f a 
 r 
 y s t r h@"
17,"#input
yggn
yvv
biso
byv
xw
xha
ht
czya
tvg
#output
","y g g n 
 y v v 
 b i s o 
 b y v 
 x w 
 x h a 
 h t 
 c z y a 
 t v g","y g g n 
 y v v 
 b i s o 
 b y v 
 x w 
 x h a 
 h t 
 c z y a 
 t v g@"
18,"#input
byjzw
hoeb
jhuhk
dlqlo
hi
wdzp
qfhtg
#output
","b y j z w 
 h o e b 
 j h u h k 
 d l q l o 
 h i 
 w d z p 
 q f h t g","b y j z w 
 h o e b 
 j h u h k 
 d l q l o 
 h i 
 w d z p 
 q f h t g@"
19,"#input
qkgy
nms
plcd
dtfy
fh
lqezt
acl
rfpg
#output
","q k g y 
 n m s 
 p l c d 
 d t f y 
 f h 
 l q e z t 
 a c l 
 r f p g","q k g y 
 n m s 
 p l c d 
 d t f y 
 f h 
 l q e z t 
 a c l 
 r f p g@"
20,"#input
tqe
zgb
qpgz
dzi
wxs
fdrm
z
mi
bghsp
#output
","t q e 
 z g b 
 q p g z 
 d z i 
 w x s 
 f d r m 
 z 
 m i 
 b g h s p","t q e 
 z g b 
 q p g z 
 d z i 
 w x s 
 f d r m 
 z 
 m i 
 b g h s p@"
21,"#input
kqzoe
hqziq
lje
y
wdhi
ibk
prn
qsxsb
#output
","k q z o e 
 h q z i q 
 l j e 
 y 
 w d h i 
 i b k 
 p r n 
 q s x s b","k q z o e 
 h q z i q 
 l j e 
 y 
 w d h i 
 i b k 
 p r n 
 q s x s b@"
22,"#input
mp
wed
bxry
gv
mherh
uqon
gocm
trhae
#output
","m p 
 w e d 
 b x r y 
 g v 
 m h e r h 
 u q o n 
 g o c m 
 t r h a e","m p 
 w e d 
 b x r y 
 g v 
 m h e r h 
 u q o n 
 g o c m 
 t r h a e@"
23,"#input
om
doa
kvlzb
srwmu
glb
sjohc
akyl
hr
#output
","o m 
 d o a 
 k v l z b 
 s r w m u 
 g l b 
 s j o h c 
 a k y l 
 h r","o m 
 d o a 
 k v l z b 
 s r w m u 
 g l b 
 s j o h c 
 a k y l 
 h r@"
